date,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
2021-12-13,3537.9400,5098.1600,3008.8500,6129.9700,5581.3900,8180.3500,28492.4000,1816.5000,2773.4700,11201.8500,2543.3300,2408.0200,3306.4000,3119.2700,10583.4700,2591.5100,8010.9300,2198.4000,13380.8600,1922.5500,5140.7900,690.1400,2149.1600,3636.6800,1892.0500,7007.8400,1771.9800,2427.1400,2461.3200,2226.7400,8179.5200
2021-12-14,3537.5000,5063.3700,2953.7100,5987.8200,5581.5000,8020.4200,28661.2300,1809.0000,2777.1100,11282.7600,2556.4900,2375.6400,3267.7800,3113.1300,10594.0000,2606.3000,7827.6800,2170.4100,13287.9300,1947.2700,5209.6900,697.3800,2171.9000,3583.8100,1881.5500,6910.1500,1771.9600,2371.7200,2420.9400,2242.7800,8112.6000
2021-12-15,3505.0400,5020.6100,2976.5300,5897.7300,5528.2900,7948.7400,28257.6100,1807.4500,2779.1200,11021.6100,2609.1400,2375.6700,3293.1000,3081.2200,10543.8600,2645.5600,7822.0200,2206.4500,13316.0800,1936.0700,5184.1600,697.9200,2179.0500,3578.8400,1887.0900,6872.7500,1765.9500,2404.3200,2416.5200,2264.1800,7993.4700
2021-12-16,3494.0100,5066.9300,3063.7800,5939.7700,5539.3700,7961.7500,28039.4000,1811.9800,2791.7600,11063.7200,2635.1900,2397.0100,3311.1500,3095.1800,10633.4400,2682.3200,7911.1000,2250.8600,13393.3200,1955.8800,5208.8200,709.7500,2182.2900,3603.0800,1902.9000,6901.5800,1790.8700,2555.8100,2458.4200,2317.2100,8060.2500
2021-12-17,3489.4900,4999.9100,3050.2200,5874.8900,5414.2000,7824.0600,27334.3500,1806.8700,2775.7200,10977.6400,2640.4500,2394.9800,3309.0600,3040.0100,10531.2300,2669.7800,7873.4800,2256.7400,13089.8300,1921.9600,5144.5800,707.4800,2165.2300,3587.9100,1881.6400,6770.4100,1767.8100,2503.9100,2455.6500,2313.0400,7840.2700
2021-12-20,3482.3400,4898.3900,3008.7100,5730.7800,5290.0100,7820.0200,27379.6300,1800.1600,2749.0200,10892.2900,2554.8900,2397.6000,3333.6200,3012.2500,10368.7400,2648.4700,7772.7200,2273.9500,12530.8000,1875.9500,5064.2100,688.4000,2116.2800,3584.1300,1859.3100,6672.6600,1743.6000,2446.4800,2405.5900,2284.1000,7698.4400
2021-12-21,3510.7300,4929.5900,3045.5600,5749.0500,5355.5400,7987.1900,27238.4600,1849.1100,2798.8900,10993.7900,2584.8400,2424.3100,3500.3600,3037.0100,10652.4400,2702.9700,7977.5600,2301.4600,12548.7900,1886.9300,5158.2400,700.9900,2158.3100,3597.9600,1882.0000,6790.8600,1762.7300,2481.8100,2419.5500,2316.0700,7812.1800
2021-12-22,3576.3500,4975.0500,3017.7000,5752.5900,5471.5000,7993.4300,27318.7100,1842.0900,2833.2000,11060.0500,2576.0200,2420.6500,3440.4700,3033.0600,10694.4900,2716.6600,8082.9800,2271.3200,12606.2600,1888.8600,5182.9700,717.8200,2166.8200,3568.9300,1865.2000,6834.1500,1759.4700,2490.5900,2428.4600,2297.5500,7822.9000
2021-12-23,3663.0700,4973.8800,3013.1100,5774.2300,5496.9500,7972.7300,27861.4900,1822.9000,2802.8700,10963.1800,2668.4900,2416.2900,3394.2300,3021.3300,10544.4400,2675.6100,8084.2600,2268.1400,12701.1600,1904.2000,5165.8600,709.4900,2161.4200,3572.7400,1863.7000,6952.6700,1759.6300,2556.8000,2440.8600,2296.1500,7744.1400
2021-12-24,3718.4600,4851.9800,2928.3700,5573.4600,5464.6100,7915.0900,28362.8700,1793.7500,2788.9300,11036.1600,2662.3300,2409.1100,3349.8500,3079.7800,10527.8800,2612.4700,8060.3900,2228.7400,12125.0200,1892.4400,5111.7900,705.7600,2115.8400,3558.9600,1849.1400,6760.8400,1729.7700,2510.2000,2406.8500,2250.4400,7713.7100
2021-12-27,3715.5800,4882.6400,2917.2600,5548.7600,5441.3000,8070.0000,28046.4000,1802.7700,2832.5800,11192.5600,2659.2500,2429.5000,3350.7900,3084.5900,10605.6200,2650.1900,8188.5800,2225.7300,12097.3600,1887.4800,5080.1300,694.7200,2125.8600,3539.4200,1853.3500,6720.3100,1736.7800,2527.7200,2405.5800,2272.0300,7680.2000
2021-12-28,3693.4100,4959.1300,2948.8500,5687.5200,5456.9300,8290.6800,28136.4100,1812.5900,2852.6600,11233.7400,2607.5500,2434.8400,3334.4700,3087.7500,10743.9700,2671.9900,8115.4100,2204.8600,12351.4700,1897.2900,5156.4800,697.1800,2150.6800,3554.4200,1871.6100,6749.6600,1755.0900,2447.6000,2409.6600,2267.6800,7697.2000
2021-12-29,3633.0100,4977.6700,2956.9700,5664.1100,5391.2000,8159.7300,26981.0800,1810.5000,2863.2700,11168.9200,2564.4100,2456.0300,3317.8300,3041.1000,10764.9400,2684.2200,8053.3300,2200.9400,12303.1000,1927.6000,5105.9200,686.9500,2144.7200,3506.3400,1852.7600,6697.6100,1751.9100,2432.4200,2411.1800,2274.3000,7639.7300
2021-12-30,3655.8700,4963.9300,2968.5100,5677.9300,5501.9500,8186.5800,27241.5100,1823.5600,2889.3600,11268.4100,2593.2600,2446.7100,3316.7500,3060.1800,10906.1700,2716.0600,8094.4900,2216.3000,12350.7000,1972.9400,5167.4800,721.0500,2166.6800,3527.9900,1871.3300,6680.9600,1758.1400,2415.5500,2411.2200,2273.4200,7684.9800
2021-12-31,3720.1200,5006.4400,2999.3500,5751.4200,5493.9100,8204.5000,27044.3700,1844.0800,2909.2700,11385.4500,2628.4900,2448.5800,3371.5900,3085.0500,11041.3500,2728.4300,8166.8300,2238.8100,12536.8700,1978.1900,5197.1100,730.1400,2178.0100,3527.3700,1872.8000,6689.8200,1764.6800,2408.5400,2428.9100,2293.1700,7668.6100
2022-01-04,3896.2400,4966.0000,3024.5500,5645.6100,5497.8600,8290.3100,27031.9300,1880.4100,2929.7300,11237.3700,2601.3600,2510.2000,3423.0700,3090.5300,11270.3500,2815.0800,8116.6800,2247.8800,12143.5100,1963.7100,5268.4100,756.2400,2193.1500,3534.3900,1871.9400,6686.6400,1763.1100,2448.3800,2436.4700,2308.5400,7648.9100
2022-01-05,3896.3400,4880.0700,2970.5600,5500.5400,5296.1100,8400.3100,26877.3300,1887.2200,2897.4900,11003.7400,2525.6100,2512.2800,3450.4300,3069.9000,11254.7200,2765.8400,8033.7100,2218.5700,11703.8900,1875.0600,5215.6500,760.9300,2158.7200,3596.6100,1867.0200,6513.7200,1730.9900,2412.9000,2458.0100,2285.2400,7585.8900
2022-01-06,3861.7900,4923.3000,3037.2200,5565.7700,5273.4500,8337.6000,26456.4800,1899.7000,2926.4700,11026.8500,2515.2600,2492.1500,3438.1100,3051.6400,11149.2200,2789.6500,8216.2600,2297.7800,11698.6900,1858.8900,5164.2900,748.1500,2157.4000,3573.5100,1835.6200,6508.6200,1755.0500,2417.7000,2489.9100,2321.1100,7399.0100
2022-01-07,3778.1700,4838.7200,3063.7600,5441.5700,5202.6300,8548.0100,26022.7000,1872.1800,2903.9300,10936.7800,2476.5400,2493.2100,3522.0200,3010.9400,10945.9400,2754.7000,8357.1700,2318.0900,11494.5000,1830.4000,5067.1500,735.2800,2130.3200,3629.1800,1852.9900,6427.3000,1743.8900,2416.6700,2504.9000,2274.0100,7253.7400
2022-01-10,3913.7200,4872.5600,3052.9000,5488.8200,5218.0000,8557.6100,26048.6300,1889.2600,2936.7000,11095.6800,2465.9300,2493.9100,3566.2800,3029.7100,10970.7800,2762.2400,8352.6200,2334.3200,11422.1200,1820.7500,5131.1100,733.9800,2153.1800,3642.8400,1854.2000,6492.6700,1744.6600,2458.9100,2515.1200,2282.6500,7379.9000
2022-01-11,3814.0400,4860.1500,3053.3700,5474.4900,5098.6800,8382.7300,25630.6500,1895.2400,2908.4400,11150.5300,2465.2400,2497.2800,3568.2700,2984.3700,10820.9500,2755.7100,8228.9500,2307.7700,11313.6200,1772.0200,5034.4500,718.1100,2129.3600,3684.2600,1851.8600,6385.4900,1725.5600,2431.4700,2493.2400,2270.7100,7349.3000
2022-01-12,3860.4200,4935.7400,3009.9800,5646.8800,5182.9100,8350.5800,25957.9400,1905.2900,2935.1600,11253.6300,2474.6900,2498.6200,3544.7700,3058.0200,11092.3500,2773.2300,8102.5900,2294.5900,11761.5700,1807.3800,5076.8500,726.6300,2131.6800,3675.0500,1853.8100,6555.9600,1742.3300,2439.8300,2524.9900,2281.2800,7431.0700
