date,农林牧渔,基础化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服饰,轻工制造,医药生物,公用事业,交通运输,房地产,商贸零售,社会服务,综合,建筑材料,建筑装饰,电力设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备,煤炭,石油石化,环保,美容护理
2022-01-24,-1.483487,-1.898176,-1.088207,-0.618271,-1.610234,-1.441824,-1.646232,-1.559082,-1.923168,-0.888873,-1.226834,-1.307471,-0.618251,0.618900,0.490139,-1.297140,-1.125405,-1.034013,-1.226347,-1.435692,0.636333,-1.485119,-0.868561,0.138025,-0.966964,-2.071006,-2.662865,-0.406578,-1.594241,-2.142104,-0.954577
2022-01-25,-1.048967,-1.233505,-0.715774,-0.250600,-1.199711,-0.637518,-1.235034,-0.421888,-1.307411,-0.604785,-1.133595,-0.275490,-0.524287,0.690642,0.900701,-0.622636,-1.042904,-0.653197,-1.456107,-0.674927,1.002283,-1.154460,-0.173226,0.393151,-0.461796,-1.305885,-1.806126,-0.687990,-1.448584,-1.199294,-0.972465
2022-01-26,-1.644793,-2.125185,-1.452662,-1.795954,-1.953081,-1.281675,-1.144383,-1.615390,-2.300301,-1.208068,-1.318019,-1.513517,-1.193921,-1.098787,-0.083336,-1.367787,-1.397336,-1.268692,-1.299349,-1.437552,0.282314,-2.243567,-0.886025,-0.471025,-0.656051,-1.703027,-2.427831,-0.983361,-1.678012,-2.107675,-1.535284
2022-01-27,-1.453022,-1.830664,-1.212448,-1.277118,-1.526003,-0.601653,-0.955826,-1.359404,-2.407351,-1.006892,-1.329296,-1.490618,-1.033513,-0.696594,-1.166253,-0.666809,-1.621878,-0.907875,-1.114303,-1.574319,0.092420,-2.145694,0.182379,-0.014705,-0.044887,-1.654895,-1.846447,-1.139639,-1.635061,-1.641268,-1.103931
2022-01-28,-1.083131,-1.715641,-0.550778,-1.172558,-1.548776,-0.967558,-0.977007,-1.299712,-2.140991,-1.224832,-1.314079,-1.032815,-1.067005,0.672023,-0.292370,-1.130852,-1.301542,-1.093293,-0.311664,-1.515281,-0.478086,-2.135637,-0.649893,0.439210,-0.227215,-1.209526,-1.977757,-0.982986,-0.973899,-1.828336,-1.289056
2022-02-07,-0.777293,-1.292198,0.292977,-0.651015,-1.417809,-1.269947,-0.880614,-0.829732,-1.908997,-1.322517,-1.236288,-0.439004,-0.615551,-0.758484,-0.415714,-0.900563,-0.093260,0.783160,-1.025063,-1.823359,-0.635295,-2.032707,-0.903909,1.216456,-0.653518,-1.501163,-1.826807,-0.962802,0.818347,-1.390917,-1.239501
2022-02-08,-1.092393,-1.006837,0.756983,-1.085885,-1.093014,-1.330473,-0.844675,-0.589325,-1.626616,-1.175102,-1.056115,0.637607,-0.473166,0.813625,0.628653,-0.317941,-0.094906,1.767353,-0.670785,-1.599687,-0.365654,-1.918604,-0.148340,1.879972,-0.121937,-1.410725,-1.650122,0.646192,0.832596,-1.162138,-1.276331
2022-02-09,0.468550,-0.795791,-0.013852,0.783033,-1.305770,-0.969557,-0.723807,-0.571249,-1.170151,-0.707045,-0.757962,-0.193765,0.079888,-0.122858,0.265167,-0.366213,-0.222724,0.922178,-1.206907,-1.331923,0.695339,-1.203150,2.270723,1.052874,-0.574555,-1.198480,-1.469262,0.331611,-0.101131,-0.942168,-1.595416
2022-02-10,1.136917,-0.293970,-0.282339,0.724382,-1.604718,-0.736291,-1.570010,-0.836497,-1.127330,-0.728006,-0.878692,0.429956,-0.212868,2.307063,1.358206,-0.770527,-0.195909,1.904174,-0.169215,-1.833107,0.035861,-0.995992,1.174312,-0.055337,-0.635780,-1.484921,-1.477639,-0.230686,0.199456,0.613919,-1.455258
2022-02-11,0.041102,0.378615,-0.098920,0.810510,-1.221487,-0.313490,-0.766432,-0.477303,-1.129097,-0.777408,-0.955280,0.191634,0.548666,1.896886,2.231399,-0.603040,0.791238,1.337608,-0.521369,-1.712393,0.648069,-0.746322,0.544968,1.489530,1.261349,-1.125430,-1.232584,0.748242,0.811716,0.568363,-0.998187
2022-02-14,-0.627187,-0.568874,-0.792048,-0.032126,-1.651360,-0.845970,-1.420667,-0.305575,-1.491710,-1.209594,-1.029029,-0.150508,0.059511,0.569177,2.743328,-0.261195,-0.190315,0.347682,-1.465998,-1.227357,-0.173065,-1.134120,0.116959,0.689817,1.875064,-1.471786,-1.534763,-0.684238,1.041089,-0.681138,-1.214489
2022-02-15,-1.220910,-0.932879,-1.275867,-0.683245,-1.277856,-1.236330,-1.309467,-0.511732,-1.612609,-0.659482,-1.191186,-1.096395,-0.825063,-0.370130,1.927554,-0.190755,-1.187764,0.448286,-0.892412,-1.266170,-0.576004,-1.234321,-0.134189,0.364649,-0.938172,-1.136441,-1.295528,-1.011621,-0.439520,-1.367743,-0.244998
2022-02-16,-1.137611,-0.258090,-0.385913,-0.046811,-1.693510,-1.459847,-1.807481,-0.588328,-1.561808,-0.904458,-1.182559,-1.080489,-1.109202,-0.803014,1.856496,-0.208632,-0.657873,2.254749,-1.526932,-1.587772,-0.459232,-1.214191,0.059405,-0.898776,-1.368583,-1.280872,-0.800317,-1.187171,-1.016832,-0.995270,-0.758873
2022-02-17,-0.710591,1.548683,-0.811126,2.696749,-1.332218,-1.176057,-1.759823,-0.173804,-1.159434,-1.132391,-0.831451,-1.218991,-0.859867,-0.102426,1.382782,0.354364,-0.361673,2.306267,0.010103,-0.951465,-0.420299,-1.192705,0.884336,-0.574310,-1.371771,-1.250065,-0.434194,-1.299891,-0.901715,2.901940,-1.233668
2022-02-18,-0.944028,0.045286,1.113683,0.252157,-2.056483,-1.488407,-1.909532,-1.000597,-1.690439,-1.069533,-1.115322,-1.041640,0.086257,-1.510311,0.052226,-0.198335,0.065084,2.133423,-1.523764,-1.674288,0.091186,-1.601603,0.151718,-0.633338,-1.424562,-1.773360,-1.260827,0.579315,-0.917616,1.601504,-1.565355
2022-02-21,-0.691133,0.125079,0.219158,-0.302530,-1.388630,-1.254659,-1.388101,-0.524531,-1.334085,-0.496820,-0.887681,-1.229823,-0.247067,-0.832139,0.475122,0.061633,-0.441095,1.568739,-1.237338,-1.139552,1.577070,-1.030668,3.641685,-0.868180,-0.613731,-1.539861,-0.881187,0.859108,-0.832979,0.426540,-0.945674
2022-02-22,-0.885511,0.837076,0.691826,1.660677,-0.798573,-0.609615,-0.640786,-0.324940,-0.795247,-0.556507,-0.526072,-1.105276,-0.090310,-0.047559,0.446135,0.040999,-0.583437,1.411437,-0.593321,-0.509349,1.337890,-0.815044,2.008993,-0.676564,-0.394098,-1.302020,-0.121312,0.343266,0.753908,0.286363,-0.872320
2022-02-23,0.425472,2.687323,-0.245617,1.183149,0.818958,-1.349953,-1.205078,-0.576347,-0.762185,-0.676117,-0.641382,-0.755243,-0.354091,-0.553082,0.574756,0.524670,-0.014801,0.848262,0.300248,0.457833,1.188714,-1.238742,1.945330,-0.429231,-0.578333,-0.286546,0.111406,-0.186037,0.294644,0.037156,-0.892912
2022-02-24,1.098962,3.931417,0.956417,3.991855,1.159426,-0.046022,0.476055,1.362016,0.226480,0.413326,0.723888,1.062755,0.350230,1.490991,1.206179,1.358916,1.326565,2.009823,1.577951,3.512055,1.770544,-0.086551,2.102550,0.297819,0.980652,0.432519,1.706012,0.320603,4.131135,1.530844,-0.048092
2022-02-25,-0.495978,1.134272,1.241282,1.967612,-0.487298,-0.926288,-1.091811,0.147644,-1.308145,-0.023709,0.569186,-0.040637,-0.767321,-0.291006,-0.875448,0.120377,-0.482485,0.722735,0.245255,0.537038,-0.426882,-1.607342,0.035360,-0.342613,-0.835734,-0.747382,-0.015553,1.078874,2.019868,-0.242672,0.095847
2022-02-28,-0.721200,0.975188,-0.724977,1.631642,-1.111377,-0.141758,-1.228017,-0.370983,-0.957617,-0.401786,0.418643,1.579064,-0.941403,-0.791696,-1.277105,0.363091,-0.917090,-0.322398,-0.110765,0.246619,-0.506997,-1.723009,-0.665439,-0.773095,-0.921334,-1.123925,-0.447113,-0.205174,1.635894,-0.483446,-0.719810
2022-03-01,0.575660,1.023598,-0.377337,1.483740,-1.294627,-0.329126,-0.050863,-0.892850,-1.018432,-0.689661,-0.291823,1.049873,-0.948472,-0.760959,-0.350455,0.690157,-0.570972,-0.065215,0.456492,0.624819,-0.282956,-1.602330,0.351407,-0.345416,-0.645990,-0.631900,-0.538487,-0.173397,1.025902,-0.423233,-1.268693
2022-03-02,1.042835,0.366117,-0.988489,1.147359,-1.395775,-1.054716,-1.339373,-0.739885,-1.301532,-0.457957,-0.415080,0.470562,-0.658374,-0.899860,-1.093563,0.084332,-1.027883,-0.436993,-0.202584,-0.551959,-0.343807,-1.714793,-0.764445,-0.974088,-1.634017,-0.926407,-0.485090,0.811686,3.263658,-0.922587,-1.194025
2022-03-04,0.186614,0.847102,1.133072,0.860971,-0.716025,-0.845344,-0.777074,0.239396,-0.625888,0.488562,-0.013262,3.016968,-0.159035,0.489308,0.219041,1.222255,-0.923153,-0.473615,-0.649598,-0.286164,-0.486327,-1.000616,-1.066952,-0.453923,-0.972829,-0.022558,0.089520,1.781861,2.857450,-0.006947,-0.282011
2022-03-07,0.111047,0.726737,1.087923,1.382412,-0.383843,-0.110524,0.470226,0.905144,-0.337462,0.185391,-0.177821,2.168343,0.087177,0.788811,0.280051,0.657964,-0.514061,-0.038036,-0.388064,-0.574008,-0.791890,-1.306364,-0.351793,0.467396,-0.416964,-0.453746,-0.175907,1.632050,2.549911,-0.360324,0.286666
2022-03-08,0.229576,1.142851,1.061561,2.782119,0.093785,0.043306,0.367590,1.078439,0.537447,0.311693,-0.158404,1.001376,-0.084748,0.331994,0.621669,3.917340,-0.108669,0.552034,0.597221,-0.143729,-0.401236,-1.067542,-0.023241,0.483860,-0.141485,-0.214139,0.158508,0.945722,1.597252,0.241920,0.547604
2022-03-09,0.106786,1.077348,0.806509,1.606707,0.562834,0.384173,0.603418,0.944394,0.368930,0.310370,0.407807,1.477314,0.752084,0.529072,0.274754,3.376218,0.095855,1.262446,0.896968,0.377894,0.078662,-1.028653,1.097916,1.631043,0.630891,-0.167810,0.309459,1.123780,1.246688,1.016981,0.546129
2022-03-10,-0.798109,1.056123,-0.387732,0.818334,0.244840,-0.237438,0.046903,0.279579,-0.252705,0.331944,0.479799,0.422639,-0.818445,0.044227,-0.338763,2.140749,-0.170615,1.088123,1.616923,-0.505554,-0.303984,-1.188731,0.850962,0.118666,-0.520480,-0.668709,-0.040220,0.352594,0.903958,0.957448,0.367454
2022-03-11,0.874963,0.792615,-0.606708,-0.434377,-0.352931,-0.732015,0.498778,-0.388042,-0.872554,1.491269,-0.139377,0.779551,-0.579343,0.044976,-0.274286,2.751525,-0.971228,0.213822,0.221431,-1.088719,-0.320239,-1.225779,0.637564,0.330857,0.712433,-0.729646,-0.503653,0.356768,0.298591,-0.049751,0.038687
2022-03-14,0.298369,-0.120689,-1.316805,-0.662246,-1.272304,-1.050779,0.119779,-0.161123,-0.309627,2.269846,-0.664927,0.234358,-0.408610,0.434933,-0.658298,1.829799,-1.163046,-0.419213,-0.846139,-0.555997,-0.662788,-1.356723,0.469636,0.118443,-0.454692,-1.222657,-1.121248,0.244197,-0.139514,-0.324113,-0.282867
2022-03-15,0.318145,0.401648,0.447609,0.576462,-0.098107,-0.176407,1.118223,0.690697,0.361019,1.616818,-0.046572,1.770938,0.672583,0.681925,-0.641490,1.115045,0.371890,0.947032,0.061963,-0.342667,-0.287775,-1.110711,1.027356,2.270102,1.357279,-0.570050,-0.336182,0.680694,0.466453,0.089014,-0.125084
2022-03-16,-0.145563,0.939113,-0.431548,0.334796,0.857305,-0.036794,1.317152,0.359903,-0.098759,1.573907,-0.215312,1.457968,0.618097,0.125636,0.288287,1.095988,0.154160,0.798387,1.772384,-0.103937,0.169321,-0.928852,2.075958,1.873317,3.220235,0.085289,-0.048075,-0.477426,0.070789,-0.099231,-0.155578
2022-03-17,-0.019996,1.334176,-0.380895,0.279705,1.404571,0.337230,1.252006,0.632320,0.407125,2.324310,-0.352897,0.854663,1.286499,0.647324,1.532926,1.179127,0.790097,0.524062,2.087746,-0.051722,0.757623,-0.473915,2.591933,1.296210,3.001844,0.451454,0.353739,-0.188523,0.091315,-0.027855,0.057979
2022-03-18,-0.343915,-0.373377,-1.401463,-0.870534,-0.911773,-0.557435,-0.697807,-0.967133,-0.700948,1.359927,-0.454246,0.534033,1.608474,-1.337760,0.273124,0.117710,0.284064,1.279066,-0.825215,-0.837141,-0.646179,-1.099543,0.320789,1.318063,1.121704,-0.710349,-0.659238,0.082064,-0.095266,-0.662461,-0.904447
2022-03-21,1.516892,0.046582,-0.784630,-0.549405,-0.731785,-0.965757,-0.822954,-0.955226,-0.680936,1.568241,-0.517890,0.154617,1.474131,-1.150324,0.303043,0.920174,0.644306,0.951691,-0.336312,-0.669602,-0.531183,-1.108868,-0.209001,-0.195461,0.126728,-0.142096,-0.609983,-0.188115,-0.452172,0.042327,-0.778194
2022-03-22,1.173900,-0.192367,-1.089849,-0.961408,-1.256144,-1.113072,-1.579706,-1.085741,-0.529294,1.168433,-0.818608,0.550488,3.850884,-1.453471,0.138222,0.749814,0.306965,0.631393,-0.960847,-0.828609,-0.526161,-0.855096,-0.441992,0.045930,-0.672624,-0.808591,-0.346961,0.247480,-0.233384,-0.593798,-1.185619
2022-03-24,-0.078709,0.276644,-1.845718,-0.480116,-1.358793,-1.356810,-1.224125,-1.257909,-0.920343,1.557180,-0.700522,-0.873037,2.651045,-2.006325,-0.902311,1.363841,0.002795,-0.157873,-1.009587,-0.918757,-1.347979,-1.343025,1.558584,-1.070632,-1.226092,-1.015723,-0.244290,-0.091324,-0.549005,-1.276456,-0.346618
2022-03-25,1.672951,0.673411,-1.833487,-0.764275,-1.238421,-0.833575,-0.806395,0.128649,-0.803922,1.482734,-0.929457,-0.539962,3.080964,-0.584813,-0.773066,1.093211,-0.378640,-0.140158,-1.404694,-0.878138,-1.530943,-1.050950,-0.409100,-1.013146,-1.267757,-0.617777,-0.831596,-0.870349,-0.757943,-1.333249,-0.665173
2022-03-28,1.843029,0.098751,-1.392932,-1.067329,-1.539009,-1.111603,-0.106101,-0.520248,-1.204442,0.446349,-0.966132,-0.524105,3.349011,-0.477282,-0.541298,0.418414,-0.582738,-0.192613,-1.435447,-1.243214,-1.530515,-0.610069,-1.099308,-0.449049,-1.379312,-0.769017,-1.520559,-0.006860,-0.691638,-1.559941,-1.114756
2022-03-29,2.442266,0.720333,-1.837790,-1.386821,-0.753577,-1.322013,-1.062986,-0.785745,-1.628739,0.857922,-1.046082,-0.952890,2.723630,-0.596238,-0.584984,0.132702,-1.186911,-0.699303,-1.586647,-0.422184,-1.532144,-0.781194,-1.248746,-1.155770,-1.851683,-1.304390,-1.404814,0.121469,-1.196694,-1.333974,-0.859846
2022-03-30,2.267040,0.307424,-1.378637,-1.030104,-0.907644,-0.875221,-0.344162,-1.029950,-1.293418,0.987816,-1.085797,-0.556416,4.156920,0.660372,-0.629041,0.475767,1.297606,0.277210,-0.721412,-1.048889,-1.579973,-0.800836,-1.216606,-0.151963,0.707825,-0.468793,-1.176188,0.471245,-0.995831,-1.410815,0.296933
2022-04-01,1.084365,-0.016340,-1.183999,-1.732717,-1.498501,-0.431845,-0.361046,-1.244732,-1.041104,0.548331,-1.383302,2.820827,4.440789,2.823433,0.496217,0.180611,0.462188,-0.220155,-1.734697,-1.247850,-1.243194,0.282640,-0.897919,1.487738,0.224318,-1.208295,-1.382541,0.152732,-1.334206,-0.579260,-0.124918
2022-04-06,0.817758,-0.544361,1.420349,-1.535207,-1.038684,-0.747986,-1.262758,-0.822741,-0.479326,0.359973,-1.080832,2.427053,3.974729,2.911230,1.277540,0.564517,1.378505,1.097847,-1.516190,-1.083450,-1.241078,0.348809,-1.133773,2.336462,-0.250314,-0.822042,-0.987773,0.043966,-1.010240,-0.683664,-0.125633
