date,农林牧渔,采掘,化工,黑色金属,有色金属,建筑建材,机械设备,电子,交运设备,信息设备,家用电器,食品饮料,纺织服装,轻工制造,医药生物,公用事业,交通运输,房地产,金融服务,商业贸易,餐饮旅游,信息服务,综合
2010-01-04,93.54,57.12,168.85,43.51,94.06,117.66,156.59,106.09,114.66,87.05,36.56,72.28,39.23,45.56,101.80,65.54,102.74,142.35,251.45,96.71,20.27,80.11,37.36
2010-01-05,66.80,125.82,180.56,50.74,172.88,115.89,173.67,136.84,115.78,100.66,47.67,70.39,43.03,49.98,106.98,72.01,115.49,208.24,392.08,97.51,22.59,107.81,41.80
2010-01-06,55.78,130.68,180.31,57.99,184.81,127.27,193.59,110.52,167.09,75.27,57.41,77.04,47.17,59.27,122.99,81.39,116.99,165.99,311.15,95.10,23.08,89.56,42.92
2010-01-07,58.74,108.49,185.15,54.67,196.21,124.41,200.59,104.47,165.23,72.90,61.02,90.15,44.24,55.63,107.48,72.95,115.88,166.91,294.91,97.23,34.60,91.09,55.24
2010-01-08,42.04,87.48,155.67,49.70,117.38,101.65,141.92,90.67,131.64,63.37,33.93,65.46,34.96,37.29,76.99,56.97,108.09,148.89,222.48,73.61,18.77,84.49,45.50
2010-01-11,46.84,91.11,195.89,49.83,109.61,134.24,175.16,133.58,139.49,99.27,43.18,68.22,48.86,48.02,109.14,63.41,138.60,183.35,551.72,99.10,25.69,138.97,46.34
2010-01-12,72.26,132.59,213.82,63.50,122.44,139.79,193.47,119.22,153.40,108.87,44.54,73.73,60.40,63.44,137.10,81.48,180.79,187.68,374.23,91.94,35.40,138.81,44.24
2010-01-13,81.58,174.23,263.15,82.89,161.63,144.92,193.05,116.46,143.47,120.10,44.33,86.11,58.12,69.01,159.60,80.62,168.48,175.31,478.20,100.26,33.03,179.25,49.85
2010-01-14,70.02,108.30,241.37,64.14,111.65,136.56,203.69,131.30,141.13,134.44,68.74,105.39,59.33,66.19,175.18,80.96,148.50,140.64,282.42,111.77,28.31,171.18,45.49
2010-01-15,59.09,82.83,225.68,56.15,94.87,141.51,223.21,96.42,134.51,103.03,52.54,81.62,65.91,65.35,142.30,81.24,118.99,190.66,228.57,97.08,28.40,122.12,43.07
2010-01-18,81.33,81.49,226.23,57.33,105.21,161.26,222.47,100.62,137.89,87.25,49.89,85.77,65.66,64.09,155.15,79.06,188.80,184.58,282.10,112.59,33.62,114.14,52.37
2010-01-19,84.14,109.40,215.78,66.41,116.82,151.58,203.50,98.30,125.40,79.07,49.37,67.97,61.68,72.25,153.34,80.09,164.36,179.72,265.35,117.27,34.96,111.78,53.73
2010-01-20,83.49,111.59,253.24,73.09,126.86,176.98,282.11,128.58,160.21,104.02,48.51,82.20,70.27,79.62,169.42,95.18,220.84,208.11,304.52,125.74,40.63,128.30,76.87
2010-01-21,62.80,102.93,160.74,57.64,104.83,115.92,194.47,74.40,93.90,58.37,41.39,67.16,52.01,46.61,106.05,70.20,143.52,146.68,244.63,93.80,20.13,84.40,63.96
2010-01-22,66.17,105.56,181.80,68.56,114.52,138.99,181.53,79.87,109.52,69.62,43.87,65.13,63.41,50.26,122.45,74.70,168.51,177.18,379.11,100.15,25.33,91.32,56.78
2010-01-25,50.35,43.65,107.13,58.29,60.69,71.41,107.92,50.88,71.93,46.35,25.74,44.42,29.79,31.73,81.71,50.44,89.49,98.70,198.71,64.73,24.33,60.86,43.88
2010-01-26,53.04,63.39,124.41,47.76,71.35,96.14,146.20,59.50,77.91,52.11,30.04,52.82,33.81,36.60,99.51,57.12,99.00,124.34,223.94,71.49,23.20,73.36,40.01
2010-01-27,55.02,65.94,106.76,38.62,60.89,72.88,114.94,46.04,62.36,56.55,27.88,41.27,24.74,32.16,76.02,45.22,76.25,97.35,206.64,53.77,16.42,62.49,27.94
2010-01-28,53.99,51.50,100.48,35.98,73.14,70.26,109.79,47.74,63.69,44.94,20.58,46.10,22.78,31.21,76.61,48.82,79.46,90.12,171.45,45.27,19.59,58.84,28.18
2010-01-29,71.04,50.21,111.36,38.72,65.13,94.09,128.46,64.92,67.40,55.88,25.24,49.48,27.54,37.37,104.87,54.39,98.09,99.87,169.96,62.55,23.47,70.10,38.50
2010-02-01,90.24,61.02,110.60,36.18,68.73,105.00,125.97,59.64,78.73,52.95,22.98,51.14,30.55,39.38,129.51,50.10,100.24,116.06,206.82,61.71,17.48,79.70,49.85
2010-02-02,54.67,52.81,107.84,33.10,93.20,85.78,123.47,52.25,68.86,55.88,23.78,39.00,24.78,32.05,99.29,42.31,100.38,118.28,172.60,61.53,23.94,63.96,52.89
2010-02-03,59.50,101.37,121.08,42.04,89.77,109.75,135.31,60.24,83.06,56.79,25.81,50.68,31.83,41.41,121.53,66.94,136.94,139.50,243.14,79.41,30.14,71.20,57.13
2010-02-04,71.69,75.42,124.70,34.68,69.61,140.58,130.43,63.15,87.90,55.68,25.96,44.85,35.84,46.34,110.47,74.33,145.82,162.16,148.29,82.12,44.86,93.43,63.31
2010-02-05,96.11,69.94,130.91,37.97,69.25,130.49,132.85,61.85,75.88,52.39,24.06,57.71,30.78,40.45,97.26,80.88,154.99,142.63,141.07,78.93,49.03,78.07,61.64
2010-02-08,67.90,43.92,89.30,20.81,38.90,68.28,79.92,43.02,45.17,31.54,14.47,43.94,27.06,28.57,67.80,43.98,81.94,96.13,116.58,62.60,32.11,52.83,44.05
2010-02-09,34.40,40.64,79.67,22.00,52.16,59.65,74.25,42.04,41.82,32.74,14.87,34.28,25.05,21.06,56.08,54.02,121.85,74.82,103.77,47.44,15.24,40.22,33.73
2010-02-10,30.72,46.85,76.12,24.05,54.96,61.26,83.08,37.19,51.79,31.13,17.48,26.66,23.62,25.76,59.00,43.29,86.05,66.02,139.39,44.86,12.87,51.05,29.71
2010-02-11,35.89,32.99,79.14,45.41,53.56,62.88,83.49,34.14,47.64,31.57,19.58,34.12,21.61,24.06,64.11,36.59,70.07,80.92,98.16,39.86,15.19,46.64,28.66
2010-02-12,27.99,44.13,72.70,29.19,66.26,57.53,80.37,37.52,43.77,33.46,19.01,29.89,23.03,24.65,60.45,36.90,69.01,67.06,133.24,54.80,25.15,43.89,30.20
2010-02-22,47.93,43.90,93.62,28.29,58.25,83.07,94.08,39.21,54.14,33.75,17.37,37.09,33.46,29.66,66.49,41.25,105.51,76.91,133.13,64.17,23.88,41.81,38.19
2010-02-23,55.06,48.06,105.33,31.39,50.49,97.00,109.97,56.07,76.80,49.69,20.60,47.87,34.74,48.61,82.24,52.32,94.07,86.06,212.81,72.67,27.30,49.01,58.72
2010-02-24,90.97,45.92,135.34,58.63,51.83,108.90,150.74,64.44,89.73,58.69,28.96,46.49,39.33,53.99,126.78,79.88,106.90,99.59,145.86,82.07,30.21,63.37,71.29
2010-02-25,90.63,62.79,169.78,53.55,80.11,122.73,212.04,83.05,106.32,58.16,49.66,69.30,47.89,51.61,132.83,96.08,144.20,173.60,238.86,110.07,36.42,76.91,80.25
2010-02-26,77.22,48.99,158.58,40.11,60.31,124.14,165.72,67.04,113.68,54.71,31.15,54.22,48.32,53.99,137.97,75.89,126.49,128.90,146.86,100.96,30.03,76.13,90.80
2010-03-01,101.45,58.90,153.48,42.28,141.68,125.93,175.37,83.25,108.86,60.27,36.05,58.59,47.18,53.59,136.26,93.51,145.99,137.22,163.54,99.97,40.16,72.26,83.39
2010-03-02,80.53,68.51,165.38,35.84,94.33,126.96,170.89,95.48,105.84,88.21,31.28,61.47,64.72,53.96,122.19,90.52,132.22,154.79,157.99,89.00,37.84,71.59,87.19
