date,农林牧渔,采掘,化工,黑色金属,有色金属,建筑建材,机械设备,电子,交运设备,信息设备,家用电器,食品饮料,纺织服装,轻工制造,医药生物,公用事业,交通运输,房地产,金融服务,商业贸易,餐饮旅游,信息服务,综合
2010-01-04,2058.2700,6531.0500,3136.4800,3786.6700,4211.5200,2889.4900,4155.0000,1518.9600,3703.7400,1485.8200,2417.3400,4764.7200,2113.1300,1960.6500,3719.4500,2290.6900,2672.2600,3536.0300,2951.2600,4406.3300,2804.7200,2064.5900,1772.7500
2010-01-05,2081.2800,6746.3300,3160.1700,3770.0800,4345.6300,2894.7200,4175.2200,1553.6400,3651.6200,1510.7800,2387.5100,4783.0800,2128.5400,1973.0500,3734.3000,2307.4800,2702.7500,3459.3300,2987.5100,4421.3200,2835.0900,2125.0300,1786.7700
2010-01-06,2048.7000,6759.8000,3119.8300,3802.4800,4362.9300,2902.6800,4190.5800,1554.4500,3627.9100,1496.9500,2334.9800,4719.2700,2126.5300,1965.6200,3734.6800,2305.2900,2691.8400,3465.8000,2946.7800,4388.4900,2815.9000,2101.0900,1783.5600
2010-01-07,1999.3100,6647.2300,3045.2500,3686.8600,4311.0300,2844.6800,4123.5500,1518.0600,3515.6900,1449.2200,2258.9500,4603.9700,2074.0600,1931.5000,3643.9000,2256.7400,2641.2700,3442.2900,2884.2000,4285.9600,2828.8600,2056.8500,1758.4300
2010-01-08,2018.8100,6558.0200,3037.1300,3698.0800,4265.3600,2866.9000,4126.0100,1554.5800,3482.8200,1475.3700,2297.5000,4605.0400,2085.1300,1951.4600,3666.9900,2273.2100,2661.9500,3491.6300,2898.6500,4335.2200,2869.8700,2096.3100,1783.4100
2010-01-11,2019.4500,6517.5100,3035.3600,3674.8400,4307.1200,2865.9900,4120.8900,1592.7200,3456.0500,1510.5900,2255.9200,4585.4900,2125.0700,1965.5300,3659.3400,2281.7400,2685.4400,3423.2400,2919.2000,4333.3100,2909.4200,2146.0300,1787.5900
2010-01-12,2086.1900,6592.5600,3105.7700,3699.2400,4354.4100,2914.9600,4203.7200,1609.5400,3552.7600,1557.7100,2308.7900,4699.1400,2179.7000,2017.7400,3764.1000,2321.2300,2784.3000,3471.8900,2943.7400,4417.5200,2964.2600,2200.2400,1816.9200
2010-01-13,2063.9900,6219.2200,3041.7200,3577.4700,4156.2000,2842.5800,4123.0400,1597.8300,3480.3200,1584.3800,2285.1100,4660.5200,2161.2200,2006.1300,3781.5500,2287.6000,2740.4300,3360.5900,2804.0800,4358.4000,2954.5200,2236.1700,1790.8200
2010-01-14,2107.7400,6295.9100,3081.4300,3620.6700,4196.7100,2883.4700,4233.7400,1641.5700,3551.9900,1624.7700,2384.2700,4833.9700,2210.7400,2055.6200,3891.7000,2323.8300,2815.5700,3400.1700,2822.3000,4494.0900,3007.9100,2291.5800,1825.2800
2010-01-15,2112.8900,6269.9200,3104.6900,3614.5100,4211.1600,2908.8400,4302.5200,1638.9700,3600.5100,1616.1900,2382.6400,4849.5800,2237.0800,2074.7800,3906.3100,2328.2700,2818.1800,3467.0700,2827.5000,4506.4300,3022.7700,2285.8800,1843.4100
2010-01-18,2156.6600,6249.8300,3115.2300,3629.1900,4214.9800,2941.9100,4355.3800,1657.8800,3627.3300,1646.1200,2396.1800,4925.9700,2269.1300,2104.4200,3978.8900,2351.2200,2905.8800,3518.3500,2809.3100,4622.0700,3146.5800,2309.4800,1876.9400
2010-01-19,2150.3200,6303.0300,3117.7700,3655.4100,4260.0200,2950.4300,4339.0400,1649.1400,3599.4400,1620.7000,2403.3300,4892.6400,2260.5500,2102.9100,3958.2500,2343.8600,2905.7400,3518.5600,2819.5700,4634.8800,3163.8200,2295.4500,1883.5000
2010-01-20,2073.3800,6065.3900,2982.0400,3513.9100,4107.5100,2849.4700,4220.0800,1559.9500,3467.3200,1532.1700,2318.9900,4750.8900,2193.7100,2018.5400,3825.8900,2287.9100,2838.4800,3403.4000,2746.5100,4464.0500,3060.6100,2187.8300,1843.0500
