date,农林牧渔,采掘,化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服装,轻工制造,医药生物,公用事业,交通运输,房地产,商业贸易,休闲服务,综合,建筑材料,建筑装饰,电气设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备
2014-02-21,54.28,58.18,203.36,11.75,76.27,164.02,58.75,55.52,44.52,72.85,167.41,69.18,56.64,107.36,83.67,14.69,33.62,31.28,44.45,116.36,35.48,166.96,119.27,65.55,62.31,111.29,77.89,141.49
2014-02-24,57.89,44.52,186.57,13.69,71.33,186.06,85.04,56.55,42.84,69.68,236.23,65.87,54.60,144.33,79.81,16.14,36.79,40.23,56.51,119.26,38.64,182.15,136.94,74.30,82.76,108.67,93.58,156.26
2014-02-25,64.69,45.35,222.74,15.56,89.86,258.15,101.32,77.53,53.94,93.21,318.46,87.02,64.64,123.70,102.02,34.82,48.85,38.80,49.68,184.17,59.88,314.34,201.57,112.63,67.95,111.29,141.80,208.71
2014-02-26,45.93,32.60,174.17,12.25,99.75,165.89,76.07,53.26,39.64,67.33,218.56,55.46,44.35,90.63,72.10,25.79,41.83,33.91,38.94,142.48,33.94,199.33,133.27,75.01,51.20,84.86,122.31,133.55
2014-02-27,49.96,44.29,226.42,16.94,99.41,177.62,81.78,53.25,43.35,75.88,228.62,74.44,46.49,98.51,84.68,27.88,49.67,37.74,43.31,186.46,44.64,217.34,151.09,81.79,83.44,93.69,146.00,148.29
2014-02-28,40.90,37.58,179.61,14.96,87.25,140.30,61.75,55.12,37.84,59.25,186.12,62.73,41.51,81.34,69.68,19.55,45.85,27.24,49.15,146.52,29.14,204.04,107.18,68.01,58.06,127.80,118.48,120.51
2014-03-03,44.47,37.84,197.45,14.89,92.74,150.49,58.19,62.90,43.04,60.79,174.68,92.45,52.10,92.97,91.50,20.02,53.10,27.56,50.17,149.91,46.77,194.40,88.90,78.52,57.31,89.15,125.46,144.56
2014-03-04,41.44,46.41,189.46,13.97,116.19,157.39,60.18,55.20,40.91,66.84,168.49,69.48,54.01,124.17,84.03,18.34,57.40,25.52,52.86,147.17,46.19,175.08,91.57,71.13,60.88,89.08,129.53,139.10
2014-03-05,46.45,46.35,170.45,12.16,90.31,147.92,58.26,66.66,44.33,68.54,143.10,64.81,51.18,92.24,90.72,18.16,40.41,28.52,45.34,144.01,37.38,149.66,87.60,68.55,47.86,78.46,109.86,129.88
2014-03-06,34.67,35.01,161.68,12.67,69.82,134.23,57.72,55.53,47.25,61.61,168.74,53.46,51.52,149.55,77.89,16.13,54.57,30.18,46.56,131.69,29.87,156.71,101.65,77.06,62.15,93.85,99.30,123.32
