date,农林牧渔,采掘,化工,钢铁,有色金属,电子,家用电器,食品饮料,纺织服装,轻工制造,医药生物,公用事业,交通运输,房地产,商业贸易,休闲服务,综合,建筑材料,建筑装饰,电气设备,国防军工,计算机,传媒,通信,银行,非银金融,汽车,机械设备
2014-02-21,1854.3700,2796.4300,1861.8700,1483.7000,2458.8400,1955.0200,3031.9500,4652.6200,1742.2800,1842.1500,5383.2500,1836.8700,1635.8000,2425.7500,3222.2300,3272.5600,1802.5200,3068.0800,1492.4100,3836.7200,1001.2700,2851.4500,1000.6200,1629.9700,2049.0300,989.2400,2984.5000,993.6900
2014-02-24,1842.1100,2724.3000,1848.7900,1473.7800,2417.9400,1995.4400,2920.1600,4589.6500,1743.7500,1849.4400,5452.9400,1822.6000,1611.4700,2298.5200,3173.4700,3318.0800,1805.6700,2992.4900,1449.9700,3855.6500,989.1600,2890.5900,1017.5100,1635.4300,1994.1300,974.4700,2944.2500,988.6200
2014-02-25,1757.4500,2651.7000,1781.6600,1445.7400,2344.6600,1880.0200,2819.6300,4455.3400,1676.6700,1780.0700,5302.8300,1769.1200,1575.4900,2259.2400,3059.8500,3243.6400,1740.8100,2911.8300,1412.2700,3682.9400,934.9600,2779.3500,978.6700,1559.6600,1969.9500,946.6700,2830.4700,947.5600
2014-02-26,1760.3200,2675.8200,1800.6200,1456.5400,2423.4200,1877.0100,2823.5400,4441.2700,1690.7600,1787.7600,5332.4400,1768.7500,1576.1800,2279.3500,3071.3000,3266.4100,1773.1300,2928.3000,1410.7700,3740.8300,929.9000,2783.5800,959.0300,1550.9800,1976.7700,943.7800,2886.5300,948.6200
2014-02-27,1740.9200,2649.9600,1793.6700,1466.1100,2378.2600,1834.2900,2748.8000,4397.8900,1663.1900,1771.9400,5160.2300,1779.6300,1564.9500,2253.2800,3023.6700,3228.6600,1756.2400,2910.7400,1392.6800,3741.0000,935.6000,2752.8100,923.7700,1521.2500,2005.2400,945.4000,2865.1800,935.8100
2014-02-28,1751.9200,2648.8600,1803.5100,1468.5400,2416.5300,1859.9000,2816.7200,4515.6400,1679.0400,1779.3300,5164.7300,1794.1900,1566.3500,2286.6100,3047.5500,3259.1400,1796.8400,2948.9100,1411.5200,3809.6400,948.2200,2783.9400,931.6300,1545.1000,1993.5000,971.6100,2929.1900,949.7100
2014-03-03,1789.4600,2660.4200,1841.2400,1474.9800,2450.1200,1896.4300,2862.0000,4592.9500,1722.8400,1806.3800,5251.7500,1845.9800,1594.2600,2304.7600,3101.8400,3263.1400,1835.0900,2977.5100,1436.4900,3891.2200,972.0800,2856.9800,948.9300,1583.4900,1979.1500,962.8900,2988.0200,969.9800
2014-03-04,1781.6500,2654.0400,1841.8300,1467.6600,2461.3300,1891.6900,2831.8400,4542.8300,1724.0200,1812.2200,5225.2600,1827.3800,1596.1300,2341.2800,3100.4700,3232.7400,1856.9100,2966.1400,1429.0400,3877.5700,980.2900,2825.4000,942.6300,1589.5900,1992.3100,963.0300,2978.0100,967.4100
2014-03-05,1781.6600,2660.7300,1829.0600,1466.4700,2433.9400,1891.4200,2797.3800,4587.1300,1742.1900,1805.4300,5185.4800,1810.6900,1583.8800,2312.5500,3117.9700,3264.7200,1846.6000,2968.5300,1425.5300,3850.3700,966.5800,2823.7200,938.5800,1585.8300,1963.5000,952.7200,2954.2300,964.4200
2014-03-06,1773.4900,2642.8800,1835.4400,1473.7500,2420.9100,1886.5500,2821.3500,4575.1900,1744.1000,1807.7200,5154.3400,1800.4500,1591.3200,2388.9800,3129.4100,3292.2800,1836.6600,2994.4900,1433.8800,3842.5300,952.9500,2800.7700,945.0600,1602.7000,1982.8500,960.7300,2930.1500,963.4900
