industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
通信,10,0.2083333333,10,0,0.3000000000
国防军工,6,0.1250000000,6,0,0.3000000000
综合,6,0.1250000000,6,0,0.3000000000
计算机,6,0.1250000000,6,0,0.3000000000
有色金属,5,0.1041666667,5,0,0.3000000000
电子,5,0.1041666667,5,0,0.3000000000
石油石化,5,0.1041666667,5,0,0.3000000000
银行,5,0.1041666667,5,0,0.3000000000
煤炭,4,0.0833333333,4,0,0.3000000000
传媒,3,0.0625000000,3,0,0.3000000000
电力设备,3,0.0625000000,3,0,0.3000000000
美容护理,3,0.0625000000,3,0,0.3000000000
食品饮料,3,0.0625000000,3,0,0.3000000000
医药生物,2,0.0416666667,2,0,0.3000000000
家用电器,2,0.0416666667,2,0,0.3000000000
房地产,2,0.0416666667,2,0,0.3000000000
机械设备,2,0.0416666667,2,0,0.3000000000
汽车,2,0.0416666667,2,0,0.3000000000
社会服务,2,0.0416666667,2,0,0.3000000000
非银金融,2,0.0416666667,2,0,0.3000000000
公用事业,1,0.0208333333,1,0,0.3000000000
商贸零售,1,0.0208333333,1,0,0.3000000000
纺织服饰,1,0.0208333333,1,0,0.3000000000
