date,signal_date,end_date,trading_days,calendar_days,strategy_return,benchmark_return,industry_equal_weight_return,excess_vs_benchmark,excess_vs_equal_weight,exposure,turnover,cost,risk_on,market_trend,market_score,market_score_ok,selected_industries
2022-06-24,2022-06-23,2022-07-21,19,27,0.0044853530,-0.0361133802,-0.0048750151,0.0405987332,0.0093603681,0.3000000000,0.3000000000,0.0003000000,false,false,0.0420434399,true,纺织服饰;环保;钢铁
2022-07-22,2022-07-21,2022-08-18,19,27,-0.0017617538,-0.0137156313,0.0071917747,0.0119538775,-0.0089535285,0.3000000000,0.4000000000,0.0004000000,false,false,0.0740440180,true,非银金融;银行;纺织服饰
2022-08-19,2022-08-18,2022-09-16,19,28,0.0013499920,-0.0526105317,-0.0509477209,0.0539605238,0.0522977130,0.3000000000,0.4000000000,0.0004000000,false,false,0.0946746318,true,银行;家用电器;交通运输
2022-09-19,2022-09-16,2022-10-21,19,32,-0.0106362469,-0.0471257637,-0.0240833264,0.0364895168,0.0134470795,0.3000000000,0.4000000000,0.0004000000,false,false,-0.0972134975,false,商贸零售;银行;纺织服饰
2022-10-24,2022-10-21,2022-11-18,19,25,0.0165785918,0.0462931108,0.0540758266,-0.0297145190,-0.0374972348,0.3000000000,0.4000000000,0.0004000000,false,false,-0.1129130554,false,银行;非银金融;建筑装饰
2022-11-21,2022-11-18,2022-12-16,19,25,-0.0017160479,0.0491094762,0.0263493293,-0.0508255241,-0.0280653772,0.3000000000,0.6000000000,0.0006000000,false,false,-0.0971876906,false,通信;公用事业;钢铁
2022-12-19,2022-12-16,2023-01-16,19,28,0.0078617519,0.0628631313,0.0356664886,-0.0550013794,-0.0278047368,0.3000000000,0.4000000000,0.0004000000,false,false,0.0070935879,true,环保;公用事业;机械设备
2023-01-17,2023-01-16,2023-02-20,19,34,0.0460199322,-0.0009064014,0.0344560272,0.0469263336,0.0115639051,0.8471256047,1.1471256047,0.0011471256,true,true,0.0850041175,true,社会服务;传媒;食品饮料
2023-02-21,2023-02-20,2023-03-20,19,27,-0.0702506038,-0.0495300831,-0.0418430639,-0.0207205207,-0.0284075398,0.8194031314,0.6742558268,0.0006742558,true,true,0.0704275351,true,食品饮料;美容护理;社会服务
2023-03-21,2023-03-20,2023-04-18,19,28,0.0549073388,0.0451112149,0.0252105875,0.0097961239,0.0296967513,0.6350033428,1.4544064742,0.0014544065,false,true,-0.0057165123,false,计算机;通信;国防军工
2023-04-19,2023-04-18,2023-05-19,19,30,-0.0297448105,-0.0436458677,-0.0429302352,0.0139010572,0.0131854247,0.6577607925,0.5772425503,0.0005772426,true,true,0.0029569771,true,传媒;计算机;通信
2023-05-22,2023-05-19,2023-06-16,19,25,-0.0046235873,-0.0015065515,0.0066119021,-0.0031170358,-0.0112354894,0.3000000000,0.9577607925,0.0009577608,false,false,-0.0528424182,false,农林牧渔;交通运输;食品饮料
2023-06-19,2023-06-16,2023-07-18,19,29,0.0064744610,-0.0193263138,-0.0142431962,0.0258007747,0.0207176571,0.3000000000,0.6000000000,0.0006000000,false,false,0.0022073672,true,纺织服饰;钢铁;环保
2023-07-19,2023-07-18,2023-08-15,19,27,-0.0081054370,-0.0011244212,-0.0094842256,-0.0069810158,0.0013787886,0.3000000000,0.4000000000,0.0004000000,false,false,-0.0741789193,false,环保;农林牧渔;公用事业
