industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
银行,14,0.2916666667,3,11,0.1405770867
公用事业,12,0.2500000000,1,11,0.1102437369
交通运输,10,0.2083333333,0,10,0.1000000000
通信,10,0.2083333333,7,3,0.2469277847
国防军工,7,0.1458333333,4,3,0.1840826015
环保,7,0.1458333333,0,7,0.1000000000
食品饮料,7,0.1458333333,3,4,0.1609101798
家用电器,6,0.1250000000,3,3,0.1640375483
综合,6,0.1250000000,4,2,0.2559884394
计算机,6,0.1250000000,4,2,0.2408201047
电子,5,0.1041666667,4,1,0.2605441073
石油石化,5,0.1041666667,4,1,0.2691389402
纺织服饰,5,0.1041666667,0,5,0.1003818099
非银金融,5,0.1041666667,2,3,0.1800000000
有色金属,4,0.0833333333,4,0,0.2902601759
钢铁,4,0.0833333333,0,4,0.1000000000
传媒,3,0.0625000000,3,0,0.2880534183
农林牧渔,3,0.0625000000,0,3,0.1000000000
机械设备,3,0.0625000000,0,3,0.1823553083
煤炭,3,0.0625000000,1,2,0.2279539416
电力设备,3,0.0625000000,3,0,0.2777736362
美容护理,3,0.0625000000,1,2,0.2136819038
医药生物,2,0.0416666667,1,1,0.2434977061
商贸零售,2,0.0416666667,0,2,0.2000000000
建筑装饰,2,0.0416666667,0,2,0.1000000000
房地产,2,0.0416666667,2,0,0.1594962080
汽车,2,0.0416666667,1,1,0.2436892169
社会服务,2,0.0416666667,2,0,0.2745054250
基础化工,1,0.0208333333,0,1,0.1000000000
