industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
银行,14,0.2916666667,3,11,0.1405770867
公用事业,11,0.2291666667,0,11,0.1088766906
通信,11,0.2291666667,8,3,0.2449623719
交通运输,10,0.2083333333,0,10,0.1000000000
国防军工,7,0.1458333333,4,3,0.1840826015
环保,7,0.1458333333,0,7,0.1000000000
综合,6,0.1250000000,4,2,0.2601953215
计算机,6,0.1250000000,4,2,0.2604661085
食品饮料,6,0.1250000000,2,4,0.1668483355
家用电器,5,0.1041666667,2,3,0.1717888088
有色金属,5,0.1041666667,5,0,0.2922081407
电子,5,0.1041666667,4,1,0.2705555733
石油石化,5,0.1041666667,4,1,0.2691389402
纺织服饰,5,0.1041666667,0,5,0.1003818099
非银金融,5,0.1041666667,2,3,0.1800000000
煤炭,4,0.0833333333,2,2,0.2275602634
钢铁,4,0.0833333333,0,4,0.1000000000
传媒,3,0.0625000000,3,0,0.2880534183
农林牧渔,3,0.0625000000,0,3,0.1000000000
机械设备,3,0.0625000000,0,3,0.1823553083
电力设备,3,0.0625000000,3,0,0.2978218591
美容护理,3,0.0625000000,1,2,0.2136819038
医药生物,2,0.0416666667,1,1,0.2434977061
商贸零售,2,0.0416666667,0,2,0.2000000000
建筑装饰,2,0.0416666667,0,2,0.1000000000
房地产,2,0.0416666667,2,0,0.3000000000
汽车,2,0.0416666667,1,1,0.2436892169
社会服务,2,0.0416666667,2,0,0.2745054250
基础化工,1,0.0208333333,0,1,0.1000000000
