date,signal_date,end_date,trading_days,calendar_days,strategy_return,benchmark_return,industry_equal_weight_return,excess_vs_benchmark,excess_vs_equal_weight,exposure,turnover,cost,risk_on,market_trend,market_score,market_score_ok,selected_industries
2022-06-24,2022-06-23,2022-07-21,19,27,-0.0073099085,-0.0361133802,-0.0048750151,0.0288034718,-0.0024348934,0.4000000000,0.4000000000,0.0004000000,false,false,0.0420434399,true,煤炭;汽车;美容护理;石油石化;食品饮料
2022-07-22,2022-07-21,2022-08-18,19,27,0.0100023464,-0.0137156313,0.0071917747,0.0237179777,0.0028105717,0.4000000000,0.6400000000,0.0006400000,false,false,0.0740440180,true,电力设备;汽车;公用事业;有色金属;国防军工
2022-08-19,2022-08-18,2022-09-16,19,28,-0.0395053141,-0.0526105317,-0.0509477209,0.0131052176,0.0114424068,0.4000000000,0.4800000000,0.0004800000,false,false,0.0946746318,true,国防军工;美容护理;电力设备;机械设备;电子
2022-09-19,2022-09-16,2022-10-21,19,32,-0.0002831656,-0.0471257637,-0.0240833264,0.0468425982,0.0238001608,0.4000000000,0.8000000000,0.0008000000,false,false,-0.0972134975,false,煤炭;通信;综合;公用事业;石油石化
2022-10-24,2022-10-21,2022-11-18,19,25,0.0067951973,0.0462931108,0.0540758266,-0.0394979135,-0.0472806292,0.4000000000,0.3200000000,0.0003200000,false,false,-0.1129130554,false,煤炭;综合;石油石化;房地产;交通运输
2022-11-21,2022-11-18,2022-12-16,19,25,0.0240405926,0.0491094762,0.0263493293,-0.0250688836,-0.0023087367,0.4000000000,0.4800000000,0.0004800000,false,false,-0.0971876906,false,社会服务;综合;商贸零售;交通运输;医药生物
2022-12-19,2022-12-16,2023-01-16,19,28,0.0135239599,0.0628631313,0.0356664886,-0.0493391714,-0.0221425287,0.4000000000,0.1600000000,0.0001600000,false,false,0.0070935879,true,综合;医药生物;计算机;社会服务;商贸零售
2023-01-17,2023-01-16,2023-02-20,19,34,0.0438163894,-0.0009064014,0.0344560272,0.0447227907,0.0093603622,0.8689648041,1.1089648041,0.0011089648,true,true,0.0850041175,true,社会服务;传媒;食品饮料;美容护理;轻工制造
2023-02-21,2023-02-20,2023-03-20,19,27,-0.0249545310,-0.0495300831,-0.0418430639,0.0245755521,0.0168885329,0.8452026840,0.3618431936,0.0003618432,true,true,0.0704275351,true,食品饮料;美容护理;社会服务;计算机;传媒
2023-03-21,2023-03-20,2023-04-18,19,28,0.0547049501,0.0451112149,0.0252105875,0.0095937352,0.0294943626,0.6871457224,0.9826318285,0.0009826318,false,true,-0.0057165123,false,计算机;通信;国防军工;传媒;石油石化
2023-04-19,2023-04-18,2023-05-19,19,30,-0.0472177445,-0.0436458677,-0.0429302352,-0.0035718768,-0.0042875093,0.7066521079,0.5692229634,0.0005692230,true,true,0.0029569771,true,传媒;计算机;通信;电子;社会服务
2023-05-22,2023-05-19,2023-06-16,19,25,0.0205420215,-0.0015065515,0.0066119021,0.0220485730,0.0139301194,0.4000000000,0.7866521079,0.0007866521,false,false,-0.0528424182,false,传媒;建筑装饰;通信;公用事业;银行
