industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
通信,20,0.4166666667,11,9,0.1386622674
煤炭,15,0.3125000000,4,11,0.1091093579
综合,15,0.3125000000,7,8,0.1344317300
公用事业,13,0.2708333333,0,13,0.0948125236
石油石化,13,0.2708333333,5,8,0.1193701460
银行,13,0.2708333333,3,10,0.1101150367
传媒,12,0.2500000000,7,5,0.1368475728
计算机,12,0.2500000000,8,4,0.1570031096
国防军工,11,0.2291666667,5,6,0.1281684218
有色金属,11,0.2291666667,10,1,0.1621856798
电子,11,0.2291666667,5,6,0.1347218693
汽车,9,0.1875000000,1,8,0.1020850537
美容护理,8,0.1666666667,3,5,0.1266352351
医药生物,7,0.1458333333,1,6,0.0997847640
电力设备,7,0.1458333333,5,2,0.1507870225
非银金融,7,0.1458333333,3,4,0.1284449736
食品饮料,7,0.1458333333,2,5,0.1127949662
农林牧渔,6,0.1250000000,0,6,0.1021797759
家用电器,6,0.1250000000,2,4,0.1164765466
社会服务,6,0.1250000000,3,3,0.1206939865
机械设备,5,0.1041666667,2,3,0.1435941992
交通运输,4,0.0833333333,0,4,0.0800000000
商贸零售,4,0.0833333333,1,3,0.1230371455
房地产,4,0.0833333333,2,2,0.1393444648
基础化工,3,0.0625000000,3,0,0.1658857842
纺织服饰,3,0.0625000000,0,3,0.1144755253
轻工制造,3,0.0625000000,1,2,0.1292563989
建筑材料,2,0.0416666667,0,2,0.1097420759
钢铁,2,0.0416666667,1,1,0.1187160691
建筑装饰,1,0.0208333333,0,1,0.0800000000
