industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
通信,18,0.3750000000,12,6,0.1914388323
煤炭,14,0.2916666667,5,9,0.1882317920
综合,14,0.2916666667,7,7,0.1767416093
公用事业,13,0.2708333333,4,9,0.1892716170
电子,13,0.2708333333,9,4,0.1951423250
传媒,12,0.2500000000,9,3,0.1946236822
有色金属,12,0.2500000000,11,1,0.1946424890
石油石化,12,0.2500000000,7,5,0.1875314858
国防军工,11,0.2291666667,7,4,0.1988807353
银行,11,0.2291666667,5,6,0.1945385486
计算机,10,0.2083333333,8,2,0.1676557356
机械设备,9,0.1875000000,6,3,0.1930853300
非银金融,9,0.1875000000,3,6,0.1746489649
家用电器,8,0.1666666667,5,3,0.1749905043
汽车,8,0.1666666667,3,5,0.1953346988
电力设备,8,0.1666666667,6,2,0.1730672892
农林牧渔,7,0.1458333333,4,3,0.1872134092
医药生物,7,0.1458333333,2,5,0.1864286486
美容护理,7,0.1458333333,4,3,0.1870181240
商贸零售,6,0.1250000000,3,3,0.1675188653
社会服务,5,0.1041666667,2,3,0.1630988809
食品饮料,5,0.1041666667,3,2,0.1820534450
房地产,4,0.0833333333,2,2,0.1666471417
轻工制造,4,0.0833333333,2,2,0.1910581042
交通运输,3,0.0625000000,0,3,0.1928917512
基础化工,2,0.0416666667,2,0,0.2000000000
环保,2,0.0416666667,1,1,0.2000000000
纺织服饰,2,0.0416666667,2,0,0.1941645985
钢铁,2,0.0416666667,0,2,0.1552469321
建筑材料,1,0.0208333333,1,0,0.1329188978
建筑装饰,1,0.0208333333,0,1,0.2000000000
