date,signal_date,selected_industries,holdings,exposure,turnover,cost,market_trend,market_score,market_score_ok,risk_on
2022-06-24,2022-06-23,煤炭;汽车;美容护理;石油石化;有色金属,煤炭:0.1989;汽车:0.1989;美容护理:0.1989;石油石化:0.1989;有色金属:0.1989,0.994298,0.994298,0.00099430,false,,true,false
2022-07-22,2022-07-21,电力设备;汽车;公用事业;国防军工;机械设备,电力设备:0.1877;汽车:0.1877;公用事业:0.1877;国防军工:0.1877;机械设备:0.1877,0.938440,1.557362,0.00155736,false,,true,false
2022-08-19,2022-08-18,国防军工;电力设备;电子;机械设备;美容护理,国防军工:0.2000;电力设备:0.2000;电子:0.2000;机械设备:0.2000;美容护理:0.2000,1.000000,0.812312,0.00081231,false,,true,false
2022-09-19,2022-09-16,煤炭;通信;综合;公用事业;石油石化,煤炭:0.2000;通信:0.2000;综合:0.2000;公用事业:0.2000;石油石化:0.2000,1.000000,2.000000,0.00200000,false,,true,false
2022-10-24,2022-10-21,煤炭;综合;石油石化;房地产;交通运输,煤炭:0.1787;综合:0.1787;石油石化:0.1787;房地产:0.1787;交通运输:0.1787,0.893376,0.821325,0.00082132,false,,true,false
2022-11-21,2022-11-18,社会服务;综合;医药生物;商贸零售;计算机,社会服务:0.1124;综合:0.1124;医药生物:0.1124;商贸零售:0.1124;计算机:0.1124,0.562017,1.230587,0.00123059,false,,true,false
2022-12-19,2022-12-16,综合;医药生物;社会服务;商贸零售;计算机,综合:0.1926;医药生物:0.1926;社会服务:0.1926;商贸零售:0.1926;计算机:0.1926,0.962985,0.400968,0.00040097,false,,true,false
2023-01-17,2023-01-16,社会服务;传媒;食品饮料;美容护理;非银金融,社会服务:0.2000;传媒:0.2000;食品饮料:0.2000;美容护理:0.2000;非银金融:0.2000,1.000000,1.577791,0.00157779,true,,true,true
2023-02-21,2023-02-20,食品饮料;美容护理;传媒;计算机;轻工制造,食品饮料:0.1998;美容护理:0.1998;传媒:0.1998;计算机:0.1998;轻工制造:0.1998,0.998867,0.800227,0.00080023,true,,true,true
2023-03-21,2023-03-20,通信;计算机;传媒;石油石化;国防军工,通信:0.2000;计算机:0.2000;传媒:0.2000;石油石化:0.2000;国防军工:0.2000,1.000000,1.199773,0.00119977,true,,true,true
