industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
通信,16,0.3333333333,9,7,0.1870320631
煤炭,11,0.2291666667,2,9,0.1482130405
综合,11,0.2291666667,4,7,0.1599641474
银行,10,0.2083333333,3,7,0.1294681299
电子,8,0.1666666667,4,4,0.1810689266
传媒,7,0.1458333333,3,4,0.1892855388
汽车,7,0.1458333333,0,7,0.0983099111
公用事业,6,0.1250000000,0,6,0.0645828098
有色金属,6,0.1250000000,6,0,0.2795747439
石油石化,6,0.1250000000,4,2,0.2179796694
农林牧渔,5,0.1041666667,0,5,0.0938513737
医药生物,5,0.1041666667,1,4,0.1280474115
国防军工,5,0.1041666667,2,3,0.1455123178
电力设备,5,0.1041666667,3,2,0.2210673595
社会服务,5,0.1041666667,2,3,0.1602038783
计算机,5,0.1041666667,4,1,0.2696808454
非银金融,5,0.1041666667,2,3,0.1432900595
家用电器,3,0.0625000000,2,1,0.2012303638
机械设备,3,0.0625000000,0,3,0.1793298879
美容护理,3,0.0625000000,1,2,0.1444170317
食品饮料,3,0.0625000000,2,1,0.1791365383
房地产,2,0.0416666667,2,0,0.3000000000
交通运输,1,0.0208333333,0,1,0.0150514239
商贸零售,1,0.0208333333,0,1,0.3000000000
基础化工,1,0.0208333333,1,0,0.2291372478
建筑装饰,1,0.0208333333,0,1,0.0071833645
纺织服饰,1,0.0208333333,0,1,0.0795100648
轻工制造,1,0.0208333333,0,1,0.0555938020
钢铁,1,0.0208333333,0,1,0.0940018842
