date,signal_date,selected_industries,holdings,exposure,turnover,cost,market_trend,market_score,market_score_ok,risk_on
2022-06-24,2022-06-23,煤炭;汽车;美容护理,煤炭:0.1565;汽车:0.0234;美容护理:0.0200,0.200000,0.200000,0.00020000,false,0.04204344,true,false
2022-07-22,2022-07-21,电力设备;汽车;公用事业,电力设备:0.1791;汽车:0.0159;公用事业:0.0050,0.200000,0.368107,0.00036811,false,0.07404402,true,false
2022-08-19,2022-08-18,国防军工;机械设备;电力设备,国防军工:0.0921;机械设备:0.0599;电力设备:0.0480,0.200000,0.303956,0.00030396,false,0.09467463,true,false
2022-09-19,2022-09-16,煤炭;通信;公用事业,煤炭:0.0748;通信:0.0632;公用事业:0.0621,0.200000,0.400000,0.00040000,false,-0.09721350,false,false
2022-10-24,2022-10-21,煤炭;综合;石油石化,煤炭:0.1544;综合:0.0254;石油石化:0.0202,0.200000,0.250413,0.00025041,false,-0.11291306,false,false
2022-11-21,2022-11-18,社会服务;综合;交通运输,社会服务:0.1477;综合:0.0373;交通运输:0.0151,0.200000,0.349216,0.00034922,false,-0.09718769,false,false
2022-12-19,2022-12-16,综合;社会服务;医药生物,综合:0.0833;社会服务:0.0635;医药生物:0.0531,0.200000,0.198359,0.00019836,false,0.00709359,true,false
2023-01-17,2023-01-16,社会服务;传媒;食品饮料,社会服务:0.3000;传媒:0.3000;食品饮料:0.2253,0.825286,0.898236,0.00089824,true,0.08500412,true,true
2023-02-21,2023-02-20,食品饮料;社会服务;美容护理,食品饮料:0.3000;社会服务:0.2530;美容护理:0.2406,0.793604,0.662371,0.00066237,true,0.07042754,true,true
2023-03-21,2023-03-20,通信;计算机;传媒,通信:0.2678;计算机:0.2677;传媒:0.0474,0.582861,1.376465,0.00137646,true,-0.00571651,false,false
2023-04-19,2023-04-18,传媒;计算机;通信,传媒:0.3000;计算机:0.1807;通信:0.1282,0.608869,0.479287,0.00047929,true,0.00295698,true,true
2023-05-22,2023-05-19,传媒;建筑装饰;通信,传媒:0.1888;建筑装饰:0.0072;通信:0.0040,0.200000,0.423236,0.00042324,false,-0.05284242,false,false
2023-06-19,2023-06-16,传媒;通信;银行,传媒:0.1628;通信:0.0277;银行:0.0095,0.200000,0.066299,0.00006630,false,0.00220737,true,false
2023-07-19,2023-07-18,汽车;通信;公用事业,汽车:0.1476;通信:0.0275;公用事业:0.0249,0.200000,0.345019,0.00034502,false,-0.07417892,false,false
2023-08-16,2023-08-15,汽车;通信;非银金融,汽车:0.1028;通信:0.0677;非银金融:0.0295,0.200000,0.139370,0.00013937,false,-0.03310037,false,false
2023-09-14,2023-09-13,钢铁;轻工制造;非银金融,钢铁:0.0940;轻工制造:0.0556;非银金融:0.0504,0.200000,0.340951,0.00034095,false,-0.06892968,false,false
2023-10-20,2023-10-19,煤炭;医药生物;银行,煤炭:0.0825;医药生物:0.0597;银行:0.0579,0.200000,0.400000,0.00040000,false,-0.09321709,false,false
2023-11-17,2023-11-16,电子;煤炭;汽车,电子:0.0806;煤炭:0.0641;汽车:0.0553,0.200000,0.271839,0.00027184,false,-0.06266488,false,false
2023-12-15,2023-12-14,传媒;医药生物;农林牧渔,传媒:0.0812;医药生物:0.0701;农林牧渔:0.0487,0.200000,0.400000,0.00040000,false,-0.08353315,false,false
2024-01-15,2024-01-12,煤炭;综合;农林牧渔,煤炭:0.1477;综合:0.0297;农林牧渔:0.0226,0.200000,0.354722,0.00035472,false,-0.06540664,false,false
2024-02-20,2024-02-19,煤炭;银行;家用电器,煤炭:0.1324;银行:0.0510;家用电器:0.0166,0.200000,0.135262,0.00013526,false,-0.08274351,false,false
2024-03-19,2024-03-18,家用电器;煤炭;银行,家用电器:0.2871;煤炭:0.2784;银行:0.1673,0.732810,0.532810,0.00053281,true,0.04601357,true,true
2024-04-18,2024-04-17,有色金属;石油石化;银行,有色金属:0.3000;石油石化:0.2432;银行:0.1960,0.739248,1.137473,0.00113747,true,0.04844036,true,true
2024-05-21,2024-05-20,有色金属;家用电器;基础化工,有色金属:0.3000;家用电器:0.3000;基础化工:0.2291,0.829137,0.968385,0.00096839,true,0.08689925,true,true
2024-06-19,2024-06-18,煤炭;银行;公用事业,煤炭:0.2004;银行:0.1512;公用事业:0.1455,0.497115,1.326252,0.00132625,true,-0.03508287,false,false
2024-07-17,2024-07-16,公用事业;银行;电子,公用事业:0.0946;银行:0.0534;电子:0.0519,0.200000,0.400984,0.00040098,false,-0.03606360,false,false
2024-08-14,2024-08-13,国防军工;公用事业;电子,国防军工:0.0935;公用事业:0.0555;电子:0.0511,0.200000,0.186929,0.00018693,false,-0.11431700,false,false
2024-09-11,2024-09-10,银行;综合;非银金融,银行:0.0984;综合:0.0651;非银金融:0.0365,0.200000,0.400000,0.00040000,false,-0.11314141,false,false
2024-10-18,2024-10-17,非银金融;计算机;电力设备,非银金融:0.3000;计算机:0.3000;电力设备:0.2782,0.878246,1.005204,0.00100520,true,0.11450074,true,true
2024-11-15,2024-11-14,计算机;非银金融;房地产,计算机:0.3000;非银金融:0.3000;房地产:0.3000,0.900000,0.578246,0.00057825,true,0.27794074,true,true
2024-12-13,2024-12-12,计算机;综合;房地产,计算机:0.3000;综合:0.3000;房地产:0.3000,0.900000,0.600000,0.00060000,true,0.33406052,true,true
2025-01-13,2025-01-10,商贸零售;综合;纺织服饰,商贸零售:0.3000;综合:0.1803;纺织服饰:0.0795,0.559842,1.099179,0.00109918,true,-0.01343139,false,false
2025-02-18,2025-02-17,汽车;机械设备;综合,汽车:0.2127;机械设备:0.1781;综合:0.1389,0.529669,0.811763,0.00081176,true,-0.02368986,false,false
2025-03-18,2025-03-17,机械设备;电子;汽车,机械设备:0.3000;电子:0.1359;汽车:0.1304,0.566297,0.479034,0.00047903,true,-0.01126102,false,false
2025-04-16,2025-04-15,农林牧渔;社会服务;食品饮料,农林牧渔:0.1510;社会服务:0.0369;食品饮料:0.0121,0.200000,0.766297,0.00076630,false,0.01012382,true,false
2025-05-19,2025-05-16,国防军工;美容护理;农林牧渔,国防军工:0.2033;美容护理:0.1726;农林牧渔:0.1357,0.511542,0.440189,0.00044019,true,-0.02998137,false,false
2025-06-17,2025-06-16,银行;医药生物;农林牧渔,银行:0.2099;医药生物:0.1573;农林牧渔:0.1113,0.478534,0.767524,0.00076752,true,-0.04180678,false,false
2025-07-15,2025-07-14,银行;综合;通信,银行:0.3000;综合:0.2996;通信:0.2330,0.832594,0.891269,0.00089127,true,0.08862710,true,true
2025-08-12,2025-08-11,医药生物;通信;传媒,医药生物:0.3000;通信:0.3000;传媒:0.2448,0.844755,1.211351,0.00121135,true,0.09492417,true,true
2025-09-09,2025-09-08,通信;综合;电子,通信:0.3000;综合:0.3000;电子:0.3000,0.900000,1.144755,0.00114475,true,0.21406293,true,true
2025-10-15,2025-10-14,通信;电子;电力设备,通信:0.3000;电子:0.3000;电力设备:0.3000,0.900000,0.600000,0.00060000,true,0.17484227,true,true
2025-11-12,2025-11-11,通信;电力设备;电子,通信:0.3000;电力设备:0.3000;电子:0.3000,0.900000,0.000000,0.00000000,true,0.16070316,true,true
2025-12-10,2025-12-09,有色金属;通信;煤炭,有色金属:0.3000;通信:0.2289;煤炭:0.1874,0.716214,1.158508,0.00115851,true,0.03988682,true,true
2026-01-09,2026-01-08,通信;石油石化;有色金属,通信:0.3000;石油石化:0.2608;有色金属:0.2235,0.784286,0.595801,0.00059580,true,0.06642924,true,true
2026-02-06,2026-02-05,有色金属;国防军工;石油石化,有色金属:0.3000;国防军工:0.1884;石油石化:0.1836,0.672021,0.642030,0.00064203,true,0.02427167,true,true
2026-03-16,2026-03-13,石油石化;有色金属;国防军工,石油石化:0.3000;有色金属:0.2540;国防军工:0.1503,0.704292,0.200445,0.00020045,true,0.03558561,true,true
2026-04-14,2026-04-13,石油石化;煤炭;通信,石油石化:0.3000;煤炭:0.1518;通信:0.1447,0.596561,0.700853,0.00070085,true,-0.00114636,false,false
2026-05-15,2026-05-14,通信;综合;电子,通信:0.3000;综合:0.3000;电子:0.2290,0.828988,1.136102,0.00113610,true,0.08682522,true,true
