industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
通信,20,0.4166666667,13,7,0.1244709695
综合,16,0.3333333333,10,6,0.1121173238
银行,14,0.2916666667,7,7,0.1140725676
公用事业,13,0.2708333333,4,9,0.0372896425
煤炭,13,0.2708333333,4,9,0.1305730927
石油石化,13,0.2708333333,8,5,0.0899991994
传媒,12,0.2500000000,8,4,0.1509539249
国防军工,11,0.2291666667,7,4,0.0708928055
有色金属,11,0.2291666667,11,0,0.1643818626
汽车,11,0.2291666667,4,7,0.0963814340
电子,11,0.2291666667,7,4,0.0998361799
机械设备,9,0.1875000000,6,3,0.0944319185
医药生物,8,0.1666666667,2,6,0.0902757520
非银金融,8,0.1666666667,3,5,0.0993827604
农林牧渔,7,0.1458333333,3,4,0.0785625046
电力设备,7,0.1458333333,5,2,0.1406735824
计算机,7,0.1458333333,6,1,0.1716724435
商贸零售,6,0.1250000000,3,3,0.0782685145
家用电器,6,0.1250000000,4,2,0.1221277655
社会服务,6,0.1250000000,3,3,0.1797363974
美容护理,6,0.1250000000,4,2,0.0896881083
建筑材料,4,0.0833333333,2,2,0.0245025795
房地产,4,0.0833333333,2,2,0.1190720292
交通运输,3,0.0625000000,0,3,0.0201344148
环保,3,0.0625000000,3,0,0.1199513080
食品饮料,3,0.0625000000,2,1,0.1101522622
建筑装饰,2,0.0416666667,1,1,0.0255554618
轻工制造,2,0.0416666667,1,1,0.0914587939
钢铁,2,0.0416666667,0,2,0.0526595427
基础化工,1,0.0208333333,1,0,0.1718272186
纺织服饰,1,0.0208333333,1,0,0.0009931323
