date,signal_date,selected_industries,holdings,exposure,turnover,cost,market_trend,market_score,market_score_ok,risk_on
2022-06-24,2022-06-23,煤炭;汽车;美容护理;石油石化;农林牧渔,煤炭:0.2800;汽车:0.0927;美容护理:0.0887;石油石化:0.0727;农林牧渔:0.0659,0.600000,0.600000,0.00060000,false,,true,false
2022-07-22,2022-07-21,电力设备;汽车;机械设备;公用事业;国防军工,电力设备:0.2403;汽车:0.0068;机械设备:0.0012;公用事业:0.0012;国防军工:0.0005,0.250000,0.836422,0.00083642,false,,true,false
2022-08-19,2022-08-18,国防军工;机械设备;电力设备;通信;美容护理,国防军工:0.0942;机械设备:0.0552;电力设备:0.0354;通信:0.0344;美容护理:0.0308,0.250000,0.425624,0.00042562,false,,true,false
2022-09-19,2022-09-16,煤炭;公用事业;通信;综合;石油石化,煤炭:0.0643;公用事业:0.0597;通信:0.0592;综合:0.0446;石油石化:0.0222,0.250000,0.431219,0.00043122,false,,true,false
2022-10-24,2022-10-21,煤炭;综合;石油石化;房地产;交通运输,煤炭:0.2165;综合:0.0153;石油石化:0.0103;房地产:0.0043;交通运输:0.0036,0.250000,0.320283,0.00032028,false,,true,false
2022-11-21,2022-11-18,社会服务;综合;交通运输;商贸零售;医药生物,社会服务:0.2122;综合:0.0236;交通运输:0.0055;商贸零售:0.0047;医药生物:0.0041,0.250000,0.462168,0.00046217,false,,true,false
2022-12-19,2022-12-16,综合;社会服务;医药生物;计算机;商贸零售,综合:0.2374;社会服务:0.1910;医药生物:0.1100;计算机:0.0336;商贸零售:0.0280,0.600000,0.403483,0.00040348,false,,true,false
2023-01-17,2023-01-16,社会服务;传媒;食品饮料;建筑材料;美容护理,社会服务:0.2800;传媒:0.1957;食品饮料:0.0462;建筑材料:0.0392;美容护理:0.0389,0.600000,0.818055,0.00081806,true,,true,true
2023-02-21,2023-02-20,食品饮料;社会服务;传媒;美容护理;轻工制造,食品饮料:0.2800;社会服务:0.2020;传媒:0.1980;美容护理:0.1798;轻工制造:0.1402,1.000000,0.634373,0.00063437,true,,true,true
2023-03-21,2023-03-20,通信;计算机;石油石化;国防军工;机械设备,通信:0.1205;计算机:0.1163;石油石化:0.0055;国防军工:0.0050;机械设备:0.0027,0.250000,1.250000,0.00125000,true,,true,true
