date,signal_date,end_date,trading_days,calendar_days,strategy_return,benchmark_return,industry_equal_weight_return,excess_vs_benchmark,excess_vs_equal_weight,exposure,turnover,cost,risk_on,market_trend,market_score,market_score_ok,selected_industries
2022-06-24,2022-06-23,2022-07-21,19,27,-0.0112732136,-0.0361133802,-0.0048750151,0.0248401666,-0.0063981986,0.7000000000,0.7000000000,0.0007000000,false,false,,true,煤炭;汽车;美容护理;石油石化;农林牧渔
2022-07-22,2022-07-21,2022-08-18,19,27,0.0097345563,-0.0137156313,0.0071917747,0.0234501876,0.0025427816,0.3000000000,0.8400000000,0.0008400000,false,false,,true,电力设备;汽车;机械设备;公用事业;国防军工
2022-08-19,2022-08-18,2022-09-16,19,28,-0.0273013448,-0.0526105317,-0.0509477209,0.0253091869,0.0236463761,0.3000000000,0.3200000000,0.0003200000,false,false,,true,国防军工;机械设备;电力设备;通信;美容护理
2022-09-19,2022-09-16,2022-10-21,19,32,-0.0009760588,-0.0471257637,-0.0240833264,0.0461497049,0.0231072676,0.3000000000,0.5200000000,0.0005200000,false,false,,true,煤炭;公用事业;通信;综合;石油石化
2022-10-24,2022-10-21,2022-11-18,19,25,0.0023167201,0.0462931108,0.0540758266,-0.0439763907,-0.0517591064,0.3000000000,0.2800000000,0.0002800000,false,false,,true,煤炭;综合;石油石化;房地产;交通运输
2022-11-21,2022-11-18,2022-12-16,19,25,0.0218464508,0.0491094762,0.0263493293,-0.0272630254,-0.0045028786,0.3000000000,0.4000000000,0.0004000000,false,false,,true,社会服务;综合;交通运输;商贸零售;医药生物
2022-12-19,2022-12-16,2023-01-16,19,28,0.0186450922,0.0628631313,0.0356664886,-0.0442180391,-0.0170213964,0.7000000000,0.5200000000,0.0005200000,false,false,,true,综合;社会服务;医药生物;计算机;商贸零售
2023-01-17,2023-01-16,2023-02-20,19,34,0.0508791671,-0.0009064014,0.0344560272,0.0517855685,0.0164231399,1.0000000000,1.3266666667,0.0013266667,true,true,,true,社会服务;传媒;食品饮料;建筑材料;美容护理
2023-02-21,2023-02-20,2023-03-20,19,27,-0.0483663024,-0.0495300831,-0.0418430639,0.0011637807,-0.0065232385,1.0000000000,0.4266666667,0.0004266667,true,true,,true,食品饮料;社会服务;传媒;美容护理;轻工制造
2023-03-21,2023-03-20,2023-04-18,19,28,0.0236130882,0.0451112149,0.0252105875,-0.0214981267,-0.0015974992,0.3000000000,1.3000000000,0.0013000000,true,true,,true,通信;计算机;石油石化;国防军工;机械设备
2023-04-19,2023-04-18,2023-05-19,19,30,-0.0303592355,-0.0436458677,-0.0429302352,0.0132866321,0.0125709996,0.7000000000,0.6800000000,0.0006800000,true,true,,true,传媒;计算机;石油石化;机械设备;建筑装饰
2023-05-22,2023-05-19,2023-06-16,19,25,0.0237150092,-0.0015065515,0.0066119021,0.0252215607,0.0171031071,0.3000000000,0.7066666667,0.0007066667,false,false,,true,传媒;建筑装饰;通信;公用事业;银行
2023-06-19,2023-06-16,2023-07-18,19,29,-0.0227263835,-0.0193263138,-0.0142431962,-0.0034000698,-0.0084831874,0.3000000000,0.1600000000,0.0001600000,false,false,,true,传媒;通信;银行;公用事业;非银金融
2023-07-19,2023-07-18,2023-08-15,19,27,-0.0151383741,-0.0011244212,-0.0094842256,-0.0140139528,-0.0056541484,0.3000000000,0.3600000000,0.0003600000,false,false,,true,汽车;通信;公用事业;国防军工;机械设备
