industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
通信,20,0.4166666667,13,7,0.1456666667
综合,16,0.3333333333,10,6,0.1366666667
银行,14,0.2916666667,7,7,0.1209523810
公用事业,13,0.2708333333,4,9,0.0615384615
煤炭,13,0.2708333333,4,9,0.1276923077
石油石化,13,0.2708333333,8,5,0.1097435897
传媒,12,0.2500000000,8,4,0.1455555556
国防军工,11,0.2291666667,7,4,0.1000000000
有色金属,11,0.2291666667,11,0,0.1642424242
汽车,11,0.2291666667,4,7,0.1090909091
电子,11,0.2291666667,7,4,0.1187878788
机械设备,9,0.1875000000,6,3,0.1014814815
医药生物,8,0.1666666667,2,6,0.1083333333
非银金融,8,0.1666666667,3,5,0.1158333333
农林牧渔,7,0.1458333333,3,4,0.0838095238
电力设备,7,0.1458333333,5,2,0.1457142857
计算机,7,0.1458333333,6,1,0.1847619048
商贸零售,6,0.1250000000,3,3,0.0722222222
家用电器,6,0.1250000000,4,2,0.1477777778
社会服务,6,0.1250000000,3,3,0.1900000000
美容护理,6,0.1250000000,4,2,0.1111111111
建筑材料,4,0.0833333333,2,2,0.0516666667
房地产,4,0.0833333333,2,2,0.1266666667
交通运输,3,0.0625000000,0,3,0.0422222222
环保,3,0.0625000000,3,0,0.0844444444
食品饮料,3,0.0625000000,2,1,0.1844444444
建筑装饰,2,0.0416666667,1,1,0.0633333333
轻工制造,2,0.0416666667,1,1,0.0800000000
钢铁,2,0.0416666667,0,2,0.0600000000
基础化工,1,0.0208333333,1,0,0.2133333333
纺织服饰,1,0.0208333333,1,0,0.0600000000
