date,signal_date,selected_industries,holdings,exposure,turnover,cost,market_trend,market_score,market_score_ok,risk_on
2022-06-24,2022-06-23,煤炭;汽车;美容护理;石油石化;农林牧渔,煤炭:0.2333;汽车:0.1867;美容护理:0.1400;石油石化:0.0933;农林牧渔:0.0467,0.700000,0.700000,0.00070000,false,,true,false
2022-07-22,2022-07-21,电力设备;汽车;机械设备;公用事业;国防军工,电力设备:0.1000;汽车:0.0800;机械设备:0.0600;公用事业:0.0400;国防军工:0.0200,0.300000,0.840000,0.00084000,false,,true,false
2022-08-19,2022-08-18,国防军工;机械设备;电力设备;通信;美容护理,国防军工:0.1000;机械设备:0.0800;电力设备:0.0600;通信:0.0400;美容护理:0.0200,0.300000,0.320000,0.00032000,false,,true,false
2022-09-19,2022-09-16,煤炭;公用事业;通信;综合;石油石化,煤炭:0.1000;公用事业:0.0800;通信:0.0600;综合:0.0400;石油石化:0.0200,0.300000,0.520000,0.00052000,false,,true,false
2022-10-24,2022-10-21,煤炭;综合;石油石化;房地产;交通运输,煤炭:0.1000;综合:0.0800;石油石化:0.0600;房地产:0.0400;交通运输:0.0200,0.300000,0.280000,0.00028000,false,,true,false
2022-11-21,2022-11-18,社会服务;综合;交通运输;商贸零售;医药生物,社会服务:0.1000;综合:0.0800;交通运输:0.0600;商贸零售:0.0400;医药生物:0.0200,0.300000,0.400000,0.00040000,false,,true,false
2022-12-19,2022-12-16,综合;社会服务;医药生物;计算机;商贸零售,综合:0.2333;社会服务:0.1867;医药生物:0.1400;计算机:0.0933;商贸零售:0.0467,0.700000,0.520000,0.00052000,false,,true,false
2023-01-17,2023-01-16,社会服务;传媒;食品饮料;建筑材料;美容护理,社会服务:0.2800;传媒:0.2800;食品饮料:0.2133;建筑材料:0.1467;美容护理:0.0800,1.000000,1.326667,0.00132667,true,,true,true
2023-02-21,2023-02-20,食品饮料;社会服务;传媒;美容护理;轻工制造,食品饮料:0.2800;社会服务:0.2800;传媒:0.2133;美容护理:0.1467;轻工制造:0.0800,1.000000,0.426667,0.00042667,true,,true,true
2023-03-21,2023-03-20,通信;计算机;石油石化;国防军工;机械设备,通信:0.1000;计算机:0.0800;石油石化:0.0600;国防军工:0.0400;机械设备:0.0200,0.300000,1.300000,0.00130000,true,,true,true
