industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
有色金属,8,0.1666666667,8,0,0.2500000000
通信,8,0.1666666667,8,0,0.2562500000
综合,6,0.1250000000,6,0,0.2250000000
国防军工,5,0.1041666667,5,0,0.2500000000
电子,5,0.1041666667,5,0,0.2300000000
石油石化,5,0.1041666667,5,0,0.2500000000
电力设备,4,0.0833333333,4,0,0.2375000000
计算机,4,0.0833333333,4,0,0.2500000000
传媒,3,0.0625000000,3,0,0.3000000000
煤炭,3,0.0625000000,3,0,0.2500000000
社会服务,3,0.0625000000,3,0,0.3000000000
银行,3,0.0625000000,3,0,0.2666666667
非银金融,3,0.0625000000,3,0,0.2333333333
家用电器,2,0.0416666667,2,0,0.2500000000
房地产,2,0.0416666667,2,0,0.2500000000
美容护理,2,0.0416666667,2,0,0.2500000000
食品饮料,2,0.0416666667,2,0,0.3000000000
医药生物,1,0.0208333333,1,0,0.3000000000
商贸零售,1,0.0208333333,1,0,0.2500000000
基础化工,1,0.0208333333,1,0,0.2500000000
汽车,1,0.0208333333,1,0,0.2500000000
