date,signal_date,end_date,trading_days,calendar_days,strategy_return,benchmark_return,industry_equal_weight_return,excess_vs_benchmark,excess_vs_equal_weight,exposure,turnover,cost,risk_on,market_trend,market_score,market_score_ok,selected_industries
2022-06-24,2022-06-23,2022-07-21,19,27,-0.0136073981,-0.0361133802,-0.0048750151,0.0225059821,-0.0087323831,0.8000000000,0.8000000000,0.0008000000,false,false,,true,煤炭;汽车;美容护理;石油石化
2022-07-22,2022-07-21,2022-08-18,19,27,0.0148930872,-0.0137156313,0.0071917747,0.0286087185,0.0077013125,0.8000000000,1.2000000000,0.0012000000,false,false,,true,电力设备;汽车;公用事业
2022-08-19,2022-08-18,2022-09-16,19,28,-0.0624735597,-0.0526105317,-0.0509477209,-0.0098630280,-0.0115258388,0.8000000000,1.0666666667,0.0010666667,false,false,,true,国防军工;美容护理;电力设备
2022-09-19,2022-09-16,2022-10-21,19,32,0.0068610654,-0.0471257637,-0.0240833264,0.0539868292,0.0309443918,0.5000000000,1.3000000000,0.0013000000,false,false,,true,煤炭;通信;综合;公用事业
2022-10-24,2022-10-21,2022-11-18,19,25,0.0012662344,0.0462931108,0.0540758266,-0.0450268764,-0.0528095921,0.5000000000,0.5000000000,0.0005000000,false,false,,true,煤炭;综合;石油石化
2022-11-21,2022-11-18,2022-12-16,19,25,0.0415807170,0.0491094762,0.0263493293,-0.0075287591,0.0152313877,0.5000000000,0.6666666667,0.0006666667,false,false,,true,社会服务;综合;商贸零售
2022-12-19,2022-12-16,2023-01-16,19,28,0.0383003709,0.0628631313,0.0356664886,-0.0245627604,0.0026338823,0.8000000000,0.9666666667,0.0009666667,false,false,,true,综合;医药生物;计算机
2023-01-17,2023-01-16,2023-02-20,19,34,0.0466435830,-0.0009064014,0.0344560272,0.0475499844,0.0121875559,0.9000000000,1.7000000000,0.0017000000,true,true,,true,社会服务;传媒;食品饮料
2023-02-21,2023-02-20,2023-03-20,19,27,-0.0760500768,-0.0495300831,-0.0418430639,-0.0265199937,-0.0342070129,0.9000000000,0.6000000000,0.0006000000,true,true,,true,食品饮料;美容护理;社会服务
2023-03-21,2023-03-20,2023-04-18,19,28,0.0290509969,0.0451112149,0.0252105875,-0.0160602180,0.0038404094,0.5000000000,1.4000000000,0.0014000000,true,true,,true,计算机;通信;国防军工
2023-04-19,2023-04-18,2023-05-19,19,30,-0.0485127689,-0.0436458677,-0.0429302352,-0.0048669012,-0.0055825337,0.8000000000,0.9666666667,0.0009666667,true,true,,true,传媒;计算机;社会服务
2023-05-22,2023-05-19,2023-06-16,19,25,0.0559465190,-0.0015065515,0.0066119021,0.0574530705,0.0493346169,0.5000000000,0.9666666667,0.0009666667,false,false,,true,传媒;建筑装饰;通信
2023-06-19,2023-06-16,2023-07-18,19,29,-0.0300270102,-0.0193263138,-0.0142431962,-0.0107006964,-0.0157838140,0.5000000000,0.5000000000,0.0005000000,false,false,,true,传媒;通信;银行;公用事业
2023-07-19,2023-07-18,2023-08-15,19,27,-0.0234981444,-0.0011244212,-0.0094842256,-0.0223737231,-0.0140139187,0.5000000000,0.5000000000,0.0005000000,false,false,,true,汽车;公用事业;通信
2023-08-16,2023-08-15,2023-09-13,19,28,-0.0049094971,-0.0213915508,-0.0120255590,0.0164820537,0.0071160620,0.5000000000,0.3333333333,0.0003333333,false,false,,true,汽车;通信;非银金融
2023-09-14,2023-09-13,2023-10-19,19,35,-0.0232238954,-0.0535608583,-0.0525957732,0.0303369629,0.0293718779,0.5000000000,0.6666666667,0.0006666667,false,false,,true,钢铁;轻工制造;非银金融
2023-10-20,2023-10-19,2023-11-16,19,27,0.0109805011,0.0175953330,0.0394420983,-0.0066148319,-0.0284615972,0.5000000000,1.0000000000,0.0010000000,false,false,,true,煤炭;银行;医药生物
2023-11-17,2023-11-16,2023-12-14,19,27,-0.0006758403,-0.0605677579,-0.0302132648,0.0598919176,0.0295374245,0.5000000000,0.3333333333,0.0003333333,false,false,,true,煤炭;电子;医药生物
2023-12-15,2023-12-14,2024-01-12,19,28,-0.0430314296,-0.0171716718,-0.0311019876,-0.0258597578,-0.0119294420,0.5000000000,0.6666666667,0.0006666667,false,false,,true,传媒;医药生物;农林牧渔
2024-01-15,2024-01-12,2024-02-19,19,35,-0.0235184676,0.0374559575,-0.0565571171,-0.0609744250,0.0330386495,0.5000000000,0.7500000000,0.0007500000,false,false,,true,煤炭;综合;农林牧渔;公用事业
2024-02-20,2024-02-19,2024-03-18,19,27,0.0154123021,0.0564903177,0.0869431757,-0.0410780156,-0.0715308736,0.8000000000,0.8000000000,0.0008000000,false,false,,true,煤炭;银行;公用事业;家用电器;石油石化
2024-03-19,2024-03-18,2024-04-17,19,29,0.0652004108,-0.0034184642,-0.0320695631,0.0686188750,0.0972699739,1.0000000000,0.5200000000,0.0005200000,true,true,,true,煤炭;家用电器;银行;石油石化
2024-04-18,2024-04-17,2024-05-20,19,32,0.0248586205,0.0339402768,0.0505677941,-0.0090816563,-0.0257091736,1.0000000000,1.0000000000,0.0010000000,true,true,,true,有色金属;石油石化;银行;通信
2024-05-21,2024-05-20,2024-06-18,19,28,-0.0539787182,-0.0355180406,-0.0650255961,-0.0184606777,0.0110468779,1.0000000000,1.5000000000,0.0015000000,true,true,,true,有色金属;家用电器;汽车;基础化工
2024-06-19,2024-06-18,2024-07-16,19,27,-0.0081481347,-0.0086347857,-0.0437942376,0.0004866510,0.0356461029,0.5000000000,1.5000000000,0.0015000000,true,true,,true,公用事业;煤炭;银行;农林牧渔
2024-07-17,2024-07-16,2024-08-13,19,27,-0.0291245797,-0.0477470171,-0.0215110916,0.0186224373,-0.0076134881,0.5000000000,0.7500000000,0.0007500000,false,false,,true,公用事业;电子;通信
2024-08-14,2024-08-13,2024-09-10,19,27,-0.0271319010,-0.0342918616,-0.0392887651,0.0071599606,0.0121568641,0.5000000000,0.3333333333,0.0003333333,false,false,,true,国防军工;公用事业;电子
2024-09-11,2024-09-10,2024-10-17,19,36,0.1209565788,0.1889722014,0.2000145669,-0.0680156226,-0.0790579881,0.5000000000,1.0000000000,0.0010000000,false,false,,true,银行;综合;非银金融
2024-10-18,2024-10-17,2024-11-14,19,27,0.1094882632,0.0291422413,0.0726993680,0.0803460219,0.0367888952,1.0000000000,0.8333333333,0.0008333333,true,true,,true,非银金融;计算机;电力设备;综合;美容护理
2024-11-15,2024-11-14,2024-12-12,19,27,0.0899940099,0.0150346576,0.0638076744,0.0749593523,0.0261863355,1.0000000000,1.2000000000,0.0012000000,true,true,,true,非银金融;房地产;计算机;商贸零售
2024-12-13,2024-12-12,2025-01-10,19,28,-0.1415439199,-0.0510274129,-0.1108160224,-0.0905165070,-0.0307278976,1.0000000000,0.5000000000,0.0005000000,true,true,,true,计算机;综合;房地产;非银金融
2025-01-13,2025-01-10,2025-02-17,19,35,0.0389463116,0.0604135382,0.0816326761,-0.0214672265,-0.0426863644,0.5000000000,1.2500000000,0.0012500000,true,true,,true,商贸零售;综合;纺织服饰;电子
2025-02-18,2025-02-17,2025-03-17,19,27,0.0578434758,0.0214706679,0.0513191949,0.0363728079,0.0065242809,1.0000000000,1.2500000000,0.0012500000,true,true,,true,汽车;机械设备;综合;银行;有色金属
2025-03-18,2025-03-17,2025-04-15,19,28,-0.1155227263,-0.0615037977,-0.0678804699,-0.0540189286,-0.0476422563,0.8000000000,1.4000000000,0.0014000000,true,true,,true,机械设备;电子;计算机
2025-04-16,2025-04-15,2025-05-16,19,30,-0.0084314818,0.0308177968,0.0371427598,-0.0392492786,-0.0455742417,0.5000000000,1.3000000000,0.0013000000,false,false,,true,农林牧渔;社会服务;食品饮料
2025-05-19,2025-05-16,2025-06-16,19,28,-0.0224010751,-0.0008640367,0.0054593686,-0.0215370383,-0.0278604436,0.8000000000,0.9666666667,0.0009666667,true,true,,true,国防军工;美容护理;食品饮料
2025-06-17,2025-06-16,2025-07-14,19,27,0.0228115492,0.0380556948,0.0417732915,-0.0152441456,-0.0189617423,0.8000000000,1.0666666667,0.0010666667,true,true,,true,医药生物;银行;美容护理
2025-07-15,2025-07-14,2025-08-11,19,27,0.0475099936,0.0257398496,0.0538011080,0.0217701440,-0.0062911144,0.9000000000,1.1666666667,0.0011666667,true,true,,true,银行;国防军工;综合
2025-08-12,2025-08-11,2025-09-08,19,27,0.1035198188,0.0781257918,0.0526241150,0.0253940269,0.0508957038,0.9000000000,1.8000000000,0.0018000000,true,true,,true,医药生物;通信;传媒
2025-09-09,2025-09-08,2025-10-14,19,35,0.0463285954,0.0231726725,0.0075713449,0.0231559229,0.0387572505,1.0000000000,1.5000000000,0.0015000000,true,true,,true,通信;电子;综合;有色金属;国防军工
2025-10-15,2025-10-14,2025-11-11,19,27,0.0243248783,0.0099602934,0.0190995494,0.0143645848,0.0052253288,1.0000000000,0.8000000000,0.0008000000,true,true,,true,通信;电子;电力设备;有色金属
2025-11-12,2025-11-11,2025-12-09,19,27,0.0363291996,-0.0102649427,-0.0194602161,0.0465941423,0.0557894157,0.9000000000,0.4000000000,0.0004000000,true,true,,true,通信;电子;电力设备
2025-12-10,2025-12-09,2026-01-08,19,29,0.0581315097,0.0317564021,0.0498497750,0.0263751075,0.0082817347,0.9000000000,1.2000000000,0.0012000000,true,true,,true,有色金属;煤炭;通信
2026-01-09,2026-01-08,2026-02-05,19,27,0.0172177401,-0.0185966564,0.0071101701,0.0358143965,0.0101075700,1.0000000000,0.9000000000,0.0009000000,true,true,,true,通信;石油石化;国防军工;有色金属
2026-02-06,2026-02-05,2026-03-13,19,35,0.0231600881,0.0055000431,0.0129136735,0.0176600450,0.0102464146,0.8000000000,0.3000000000,0.0003000000,true,true,,true,有色金属;国防军工;石油石化
2026-03-16,2026-03-13,2026-04-13,19,28,-0.0148477442,-0.0054392965,-0.0340347914,-0.0094084477,0.0191870472,0.5000000000,0.7000000000,0.0007000000,true,true,,true,石油石化;有色金属;国防军工;综合;电子
2026-04-14,2026-04-13,2026-05-14,19,30,0.0309433209,0.0453748766,0.0293126965,-0.0144315557,0.0016306244,0.5000000000,0.8000000000,0.0008000000,true,true,,true,石油石化;煤炭;通信
2026-05-15,2026-05-14,2026-06-02,12,18,0.0219828406,0.0113116539,-0.0369764977,0.0106711868,0.0589593383,1.0000000000,0.8333333333,0.0008333333,true,true,,true,综合;通信;电子;电力设备;煤炭
