industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
通信,16,0.3333333333,10,6,0.2062500000
综合,14,0.2916666667,8,6,0.1851190476
煤炭,12,0.2500000000,5,7,0.1793055556
电子,10,0.2083333333,7,3,0.1941666667
银行,10,0.2083333333,6,4,0.2010000000
公用事业,9,0.1875000000,1,8,0.1585185185
国防军工,9,0.1875000000,7,2,0.2203703704
有色金属,9,0.1875000000,9,0,0.2296296296
石油石化,9,0.1875000000,6,3,0.2011111111
计算机,7,0.1458333333,6,1,0.2380952381
传媒,6,0.1250000000,3,3,0.2208333333
医药生物,6,0.1250000000,2,4,0.2222222222
汽车,6,0.1250000000,2,4,0.2083333333
电力设备,6,0.1250000000,4,2,0.2472222222
美容护理,6,0.1250000000,4,2,0.2500000000
非银金融,6,0.1250000000,3,3,0.2000000000
社会服务,5,0.1041666667,3,2,0.2400000000
农林牧渔,4,0.0833333333,1,3,0.1458333333
食品饮料,4,0.0833333333,3,1,0.2583333333
商贸零售,3,0.0625000000,2,1,0.1805555556
家用电器,3,0.0625000000,2,1,0.2200000000
房地产,2,0.0416666667,2,0,0.2500000000
机械设备,2,0.0416666667,2,0,0.2333333333
基础化工,1,0.0208333333,1,0,0.2500000000
建筑装饰,1,0.0208333333,0,1,0.1666666667
纺织服饰,1,0.0208333333,1,0,0.1250000000
轻工制造,1,0.0208333333,0,1,0.1666666667
钢铁,1,0.0208333333,0,1,0.1666666667
