date,signal_date,selected_industries,holdings,exposure,turnover,cost,market_trend,market_score,market_score_ok,risk_on
2022-06-24,2022-06-23,煤炭;汽车;美容护理;石油石化,煤炭:0.2000;汽车:0.2000;美容护理:0.2000;石油石化:0.2000,0.800000,0.800000,0.00080000,false,,true,false
2022-07-22,2022-07-21,电力设备;汽车;公用事业,电力设备:0.2667;汽车:0.2667;公用事业:0.2667,0.800000,1.200000,0.00120000,false,,true,false
2022-08-19,2022-08-18,国防军工;美容护理;电力设备,国防军工:0.2667;美容护理:0.2667;电力设备:0.2667,0.800000,1.066667,0.00106667,false,,true,false
2022-09-19,2022-09-16,煤炭;通信;综合;公用事业,煤炭:0.1250;通信:0.1250;综合:0.1250;公用事业:0.1250,0.500000,1.300000,0.00130000,false,,true,false
2022-10-24,2022-10-21,煤炭;综合;石油石化,煤炭:0.1667;综合:0.1667;石油石化:0.1667,0.500000,0.500000,0.00050000,false,,true,false
2022-11-21,2022-11-18,社会服务;综合;商贸零售,社会服务:0.1667;综合:0.1667;商贸零售:0.1667,0.500000,0.666667,0.00066667,false,,true,false
2022-12-19,2022-12-16,综合;医药生物;计算机,综合:0.2667;医药生物:0.2667;计算机:0.2667,0.800000,0.966667,0.00096667,false,,true,false
2023-01-17,2023-01-16,社会服务;传媒;食品饮料,社会服务:0.3000;传媒:0.3000;食品饮料:0.3000,0.900000,1.700000,0.00170000,true,,true,true
2023-02-21,2023-02-20,食品饮料;美容护理;社会服务,食品饮料:0.3000;美容护理:0.3000;社会服务:0.3000,0.900000,0.600000,0.00060000,true,,true,true
2023-03-21,2023-03-20,计算机;通信;国防军工,计算机:0.1667;通信:0.1667;国防军工:0.1667,0.500000,1.400000,0.00140000,true,,true,true
2023-04-19,2023-04-18,传媒;计算机;社会服务,传媒:0.2667;计算机:0.2667;社会服务:0.2667,0.800000,0.966667,0.00096667,true,,true,true
2023-05-22,2023-05-19,传媒;建筑装饰;通信,传媒:0.1667;建筑装饰:0.1667;通信:0.1667,0.500000,0.966667,0.00096667,false,,true,false
2023-06-19,2023-06-16,传媒;通信;银行;公用事业,传媒:0.1250;通信:0.1250;银行:0.1250;公用事业:0.1250,0.500000,0.500000,0.00050000,false,,true,false
2023-07-19,2023-07-18,汽车;公用事业;通信,汽车:0.1667;公用事业:0.1667;通信:0.1667,0.500000,0.500000,0.00050000,false,,true,false
2023-08-16,2023-08-15,汽车;通信;非银金融,汽车:0.1667;通信:0.1667;非银金融:0.1667,0.500000,0.333333,0.00033333,false,,true,false
2023-09-14,2023-09-13,钢铁;轻工制造;非银金融,钢铁:0.1667;轻工制造:0.1667;非银金融:0.1667,0.500000,0.666667,0.00066667,false,,true,false
2023-10-20,2023-10-19,煤炭;银行;医药生物,煤炭:0.1667;银行:0.1667;医药生物:0.1667,0.500000,1.000000,0.00100000,false,,true,false
2023-11-17,2023-11-16,煤炭;电子;医药生物,煤炭:0.1667;电子:0.1667;医药生物:0.1667,0.500000,0.333333,0.00033333,false,,true,false
2023-12-15,2023-12-14,传媒;医药生物;农林牧渔,传媒:0.1667;医药生物:0.1667;农林牧渔:0.1667,0.500000,0.666667,0.00066667,false,,true,false
2024-01-15,2024-01-12,煤炭;综合;农林牧渔;公用事业,煤炭:0.1250;综合:0.1250;农林牧渔:0.1250;公用事业:0.1250,0.500000,0.750000,0.00075000,false,,true,false
2024-02-20,2024-02-19,煤炭;银行;公用事业;家用电器;石油石化,煤炭:0.1600;银行:0.1600;公用事业:0.1600;家用电器:0.1600;石油石化:0.1600,0.800000,0.800000,0.00080000,false,,true,false
2024-03-19,2024-03-18,煤炭;家用电器;银行;石油石化,煤炭:0.2500;家用电器:0.2500;银行:0.2500;石油石化:0.2500,1.000000,0.520000,0.00052000,true,,true,true
2024-04-18,2024-04-17,有色金属;石油石化;银行;通信,有色金属:0.2500;石油石化:0.2500;银行:0.2500;通信:0.2500,1.000000,1.000000,0.00100000,true,,true,true
2024-05-21,2024-05-20,有色金属;家用电器;汽车;基础化工,有色金属:0.2500;家用电器:0.2500;汽车:0.2500;基础化工:0.2500,1.000000,1.500000,0.00150000,true,,true,true
2024-06-19,2024-06-18,公用事业;煤炭;银行;农林牧渔,公用事业:0.1250;煤炭:0.1250;银行:0.1250;农林牧渔:0.1250,0.500000,1.500000,0.00150000,true,,true,true
2024-07-17,2024-07-16,公用事业;电子;通信,公用事业:0.1667;电子:0.1667;通信:0.1667,0.500000,0.750000,0.00075000,false,,true,false
