date,combined_equity
2021-12-13,1.000000
2021-12-14,1.000000
2021-12-15,1.000000
2021-12-16,1.000000
2021-12-17,1.000000
2021-12-20,1.000000
2021-12-21,1.000000
2021-12-22,1.000000
2021-12-23,1.000000
2021-12-24,1.000000
2021-12-27,1.000000
2021-12-28,1.000000
2021-12-29,1.000000
2021-12-30,1.000000
2021-12-31,1.000000
2022-01-04,1.000000
2022-01-05,1.000000
2022-01-06,1.000000
2022-01-07,1.000000
2022-01-10,1.000000
2022-01-11,1.000000
2022-01-12,1.000000
2022-01-13,1.000000
2022-01-14,1.000000
2022-01-17,1.000000
2022-01-18,1.000000
2022-01-19,1.000000
2022-01-20,1.000000
2022-01-21,1.000000
2022-01-24,1.000000
2022-01-25,1.000000
2022-01-26,1.000000
2022-01-27,1.000000
2022-01-28,1.000000
2022-02-07,1.000000
2022-02-08,1.000000
2022-02-09,1.000000
2022-02-10,1.000000
2022-02-11,1.000000
2022-02-14,1.000000
2022-02-15,1.000000
2022-02-16,1.000000
2022-02-17,1.000000
2022-02-18,1.000000
2022-02-21,1.000000
2022-02-22,1.000000
2022-02-23,1.000000
2022-02-24,1.000000
2022-02-25,1.000000
2022-02-28,1.000000
2022-03-01,1.000000
2022-03-02,1.000000
2022-03-04,1.000000
2022-03-07,1.000000
2022-03-08,1.000000
2022-03-09,1.000000
2022-03-10,1.000000
2022-03-11,1.000000
2022-03-14,1.000000
2022-03-15,1.000000
2022-03-16,1.000000
2022-03-17,1.000000
2022-03-18,1.000000
2022-03-21,1.000000
2022-03-22,1.000000
2022-03-24,1.000000
2022-03-25,1.000000
2022-03-28,1.000000
2022-03-29,1.000000
2022-03-30,1.000000
2022-04-01,1.000000
2022-04-06,1.000000
2022-04-07,1.000000
2022-04-08,1.000000
2022-04-11,1.000000
2022-04-12,1.000000
2022-04-13,1.000000
2022-04-15,1.000000
2022-04-18,1.000000
2022-04-19,1.000000
2022-04-20,1.000000
2022-04-21,1.000000
2022-04-22,1.000000
2022-04-25,1.000000
2022-04-26,1.000000
2022-04-27,1.000000
2022-04-28,1.000000
2022-04-29,1.000000
2022-05-06,1.000000
2022-05-10,1.000000
2022-05-11,1.000000
2022-05-12,1.000000
2022-05-13,1.000000
2022-05-16,1.000000
2022-05-17,1.000000
2022-05-18,1.000000
2022-05-19,1.000000
2022-05-20,1.000000
2022-05-23,1.000000
2022-05-24,1.000000
2022-05-25,1.000000
2022-05-26,1.000000
2022-05-27,1.000000
2022-05-30,1.000000
2022-05-31,1.000000
2022-06-01,1.000000
2022-06-02,1.000000
2022-06-06,1.000000
2022-06-07,1.000000
2022-06-08,1.000000
2022-06-09,1.000000
2022-06-10,1.000000
2022-06-13,1.000000
2022-06-14,1.000000
2022-06-15,1.000000
2022-06-16,1.000000
2022-06-17,1.000000
2022-06-20,1.000000
2022-06-21,1.000000
2022-06-22,1.000000
2022-06-23,1.000000
2022-06-24,0.999422
2022-06-27,1.009061
2022-06-28,1.016201
2022-06-29,1.003359
2022-06-30,1.007469
2022-07-01,1.009224
2022-07-04,1.014406
2022-07-05,1.017283
2022-07-06,1.004504
2022-07-07,1.008604
2022-07-08,1.003701
2022-07-11,0.991451
2022-07-12,0.986103
2022-07-13,0.988663
2022-07-14,0.990797
2022-07-15,0.984372
2022-07-18,0.998960
2022-07-19,0.999900
2022-07-20,1.004694
2022-07-21,0.996730
2022-07-22,0.994913
2022-07-25,0.987492
2022-07-26,0.991952
2022-07-27,0.996216
2022-07-28,0.998092
2022-07-29,0.995491
2022-08-01,0.998495
2022-08-02,0.983693
2022-08-03,0.979229
2022-08-04,0.980803
2022-08-05,0.983763
2022-08-08,0.989506
2022-08-09,0.991678
2022-08-10,0.991132
2022-08-11,0.998247
2022-08-12,0.995345
2022-08-15,0.998718
2022-08-16,1.002403
2022-08-17,1.006599
2022-08-18,1.005939
2022-08-19,0.999715
2022-08-22,1.003694
2022-08-23,1.002618
2022-08-24,0.986108
2022-08-25,0.986575
2022-08-26,0.982336
2022-08-29,0.983820
2022-08-30,0.982237
2022-08-31,0.972454
2022-09-01,0.968707
2022-09-02,0.971514
2022-09-05,0.973100
2022-09-06,0.979060
2022-09-07,0.981495
2022-09-08,0.979894
2022-09-09,0.983452
2022-09-13,0.987417
2022-09-14,0.983758
2022-09-15,0.970566
2022-09-16,0.960948
2022-09-19,0.953366
2022-09-20,0.959261
2022-09-21,0.961911
2022-09-22,0.962871
2022-09-23,0.957189
2022-09-26,0.945552
2022-09-27,0.952929
2022-09-28,0.944142
2022-09-29,0.942756
2022-09-30,0.941062
2022-10-10,0.937108
2022-10-11,0.941053
2022-10-12,0.948395
2022-10-13,0.944454
2022-10-14,0.949922
2022-10-17,0.951889
2022-10-18,0.953773
2022-10-19,0.947177
2022-10-20,0.945266
2022-10-21,0.946940
2022-10-24,0.935525
2022-10-25,0.932231
2022-10-26,0.931853
2022-10-27,0.934133
2022-10-28,0.922202
2022-10-31,0.911829
2022-11-01,0.922746
2022-11-02,0.928458
2022-11-03,0.925963
2022-11-04,0.939153
2022-11-07,0.944164
2022-11-08,0.942306
2022-11-09,0.941858
2022-11-10,0.942530
2022-11-11,0.955340
2022-11-14,0.953728
2022-11-15,0.959527
2022-11-16,0.957993
2022-11-17,0.955453
2022-11-18,0.950420
2022-11-21,0.945832
2022-11-22,0.944191
2022-11-23,0.941713
2022-11-24,0.941260
2022-11-25,0.940347
2022-11-28,0.939449
2022-11-29,0.947373
2022-11-30,0.948060
2022-12-01,0.951673
2022-12-02,0.952071
2022-12-05,0.958467
2022-12-06,0.957415
2022-12-07,0.958292
2022-12-08,0.957211
2022-12-09,0.955726
2022-12-12,0.955090
2022-12-13,0.954594
2022-12-14,0.954541
2022-12-15,0.953399
2022-12-16,0.952553
2022-12-19,0.943190
2022-12-20,0.936905
2022-12-21,0.936553
2022-12-22,0.934162
