fold,test_rank,selection_metric,train_selection_score,test_selection_score,selected_name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,composite,-0.0573946106,0.1221836929,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.050000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9837517487,-0.0081735482,-0.1338164929,-0.0200771818,-0.0610802754,0.0384615385,2.0000000000,0.2800000000,0.0056000000,0.8013752896,0.2275793395,0.7088902278,0.3877349555,1.0028934017,0.0058416717,-0.0442835938,0.1196932186,0.1319150320,0.1428571429,0.0000000000,0.3333333333,0.0020000000,1.0047095454,-0.0018076306,0.9538996614,0.0513615239
2,1,composite,-0.2553360746,12.9314693389,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.050000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.9865981377,-0.0067368559,-0.1490198070,-0.0014990571,-0.0452077881,0.0769230769,2.0000000000,0.3040000000,0.0076000000,0.9706880006,0.0163905777,0.9067331160,0.0880799656,1.1405107140,0.3035038815,-0.0298461622,2.7969798680,10.1689416331,0.4285714286,0.0000000000,0.2333333333,0.0014000000,1.0823584792,0.0537273333,1.1454855866,-0.0043430250
3,3,composite,1.2702218540,-1.7014239421,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.050000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,1.0894878144,0.0438742603,-0.0893853202,0.6395903670,0.4908441363,0.1538461538,2.0000000000,0.2160000000,0.0054000000,0.8490578385,0.2831726709,0.9193390761,0.1850772394,0.9607837141,-0.0774853412,-0.0826506350,-0.5295607702,-0.9375044874,0.1428571429,2.0000000000,0.4857142857,0.0034000000,0.9907841408,-0.0302794781,0.8515495548,0.1282769260
4,1,composite,1.0450910052,-1.8822554929,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.050000,2011-07-26,2013-08-23,2013-08-26,2014-03-06,1.0757405892,0.0372544249,-0.0902766357,0.4475401063,0.4126696191,0.1153846154,3.0000000000,0.2615384615,0.0068000000,0.8024665868,0.3405425308,0.7680008866,0.4007022753,0.9596259811,-0.0797249937,-0.0863354796,-0.7559749261,-0.9234325681,0.0000000000,2.0000000000,0.3333333333,0.0020000000,0.9925582557,-0.0331791857,0.9306436835,0.0311422063
5,1,composite,0.1403734160,3.4017881086,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.050000,2012-02-06,2014-03-06,2014-03-07,2014-09-04,1.0323086183,0.0160580096,-0.1010178084,0.2048487107,0.1589621657,0.1153846154,3.0000000000,0.3520000000,0.0088000000,1.0691069061,-0.0344196521,0.8679521786,0.1893611696,1.0296864504,0.0607505748,-0.0275185027,1.3687977479,2.2076264598,0.1428571429,1.0000000000,0.1666666667,0.0010000000,1.1510675988,-0.1054509297,1.1189193676,-0.0797491936
6,1,composite,0.2503329126,18.9528911497,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.050000,2012-08-08,2014-09-04,2014-09-05,2015-03-19,1.0598875166,0.0295679095,-0.1202696141,0.3386114437,0.2458468813,0.1153846154,3.0000000000,0.3120000000,0.0078000000,1.2265169569,-0.1358557983,1.0152440173,0.0439731715,1.5182122828,1.3204185109,-0.0848757224,3.5660306132,15.5570812703,1.0000000000,0.0000000000,0.6000000000,0.0036000000,1.4260134025,0.0646549886,1.5677143300,-0.0315759360
7,1,composite,2.7701655634,1.4961839002,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.050000,2013-02-19,2015-03-19,2015-03-20,2015-09-22,1.4489885325,0.2041832405,-0.1128950375,1.2976557343,1.8086112998,0.3076923077,2.0000000000,0.4000000000,0.0100000000,1.6525994114,-0.1232064331,1.4297459423,0.0134587479,1.1679302141,0.3674531552,-0.4139215860,1.0110396415,0.8877361502,0.4285714286,2.0000000000,0.7714285714,0.0054000000,0.9698911978,0.2041868374,0.8577957493,0.3615481482
8,3,composite,1.7102036517,-0.0395682525,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.050000,2013-08-26,2015-09-22,2015-09-23,2016-03-31,1.7696418250,0.3310338307,-0.4139215860,1.3375670219,0.7997501023,0.3461538462,2.0000000000,0.4800000000,0.0120000000,1.5988695814,0.1068081135,1.4296118375,0.2378477700,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0411984013,-0.0395682525,0.9862275247,0.0139648052
9,1,composite,1.9216106526,0.2223352336,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.050000,2014-03-07,2016-03-31,2016-04-01,2016-10-13,1.8440953662,0.3588010897,-0.4139215860,1.4557934404,0.8668334820,0.3600000000,2.0000000000,0.4000000000,0.0100000000,1.6570101153,0.1129053161,1.4841124168,0.2425577371,1.0057015542,0.0115276263,-0.0461763370,0.1946914283,0.2496435856,0.1428571429,2.0000000000,0.4333333333,0.0026000000,1.0784888878,-0.0674901100,1.0250660327,-0.0188909571
10,1,composite,1.8387234704,0.7429627214,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.050000,2014-09-05,2016-10-13,2016-10-14,2017-04-20,1.7916273379,0.3392929340,-0.4139215860,1.3832755171,0.8197034065,0.3846153846,2.0000000000,0.4640000000,0.0116000000,1.5369987063,0.1656661327,1.3484276884,0.3286788408,1.0023289061,0.0047006294,-0.0084517163,0.2353649636,0.5561745303,0.1428571429,0.0000000000,0.1428571429,0.0010000000,1.0067695353,-0.0044107704,1.0470983257,-0.0427556978
11,1,composite,0.3156737750,6.5366775385,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.050000,2015-03-20,2017-04-20,2017-04-21,2017-10-26,1.1773493121,0.0852333954,-0.4139215860,0.5181126533,0.2059167685,0.1538461538,2.0000000000,0.3461538462,0.0090000000,1.0780556432,0.0921044007,0.8892710985,0.3239486969,1.0746067737,0.1561099547,-0.0308841197,1.6733904278,5.0546998273,0.4285714286,1.0000000000,0.6333333333,0.0038000000,1.0769710088,-0.0021952635,1.1519532478,-0.0671437615
12,5,composite,1.3781064790,-4.0600812435,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.050000,2015-09-23,2017-10-26,2017-10-27,2018-05-04,1.0832732389,0.0408868887,-0.0461763370,0.7165299825,0.8854511059,0.1538461538,2.0000000000,0.2960000000,0.0074000000,1.2086033145,-0.1036982723,1.2238870007,-0.1148911311,0.8708513840,-0.2432939653,-0.1414124728,-2.0085364735,-1.7204561978,0.1250000000,2.0000000000,0.7000000000,0.0042000000,0.8838224501,-0.0146760994,0.9384953145,-0.0720770040
13,3,composite,-0.8127203091,0.3331456633,ret60_ret5_top5_riskoff0_mthr0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.050000,2016-04-01,2018-05-04,2018-05-07,2018-11-07,0.9446465472,-0.0281257231,-0.1414124728,-0.2749744857,-0.1988913886,0.1923076923,2.0000000000,0.4640000000,0.0116000000,1.0284015905,-0.0814419620,1.1715483769,-0.1936768760,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.7501055792,0.3331456633,0.8403104697,0.1900363449
14,3,composite,-0.3014342589,0.0674539364,ret60_ret5_top5_riskoff0_mthrneg0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,-0.050000,2016-10-14,2018-11-07,2018-11-08,2019-05-17,0.9491309689,-0.0258170297,-0.1491556405,-0.1389348892,-0.1730878535,0.4230769231,2.0000000000,0.5769230769,0.0150000000,0.7278751865,0.3039748937,0.9746086483,-0.0261414461,1.0118698362,0.0240738915,-0.1207813996,0.2203027387,0.1993178713,0.2857142857,1.0000000000,0.3000000000,0.0018000000,1.1994454401,-0.1563852741,1.1357053259,-0.1090383983
15,4,composite,-0.0287882850,-0.5430470169,ret60_ret5_top5_riskoff0_mthrneg0p05,ret60_ret5,ret60;ret5,5,0.000000,true,true,-0.050000,2017-04-21,2019-05-17,2019-05-20,2019-11-20,0.9998392188,-0.0000805537,-0.1491556405,0.0743689291,-0.0005400646,0.3461538462,2.0000000000,0.4160000000,0.0104000000,0.8690184871,0.1505384910,1.0524894787,-0.0500245001,0.9929620864,-0.0141377085,-0.1204280035,-0.0379417929,-0.1173955230,0.5714285714,2.0000000000,0.8666666667,0.0052000000,1.0459003656,-0.0506150308,1.0801787832,-0.0807428346
16,3,composite,-0.5823898696,-4.2690429720,ret60_ret5_top5_riskoff0_mthrneg0p02,ret60_ret5,ret60;ret5,5,0.000000,true,true,-0.020000,2017-10-27,2019-11-20,2019-11-21,2020-05-29,0.9246780769,-0.0384730220,-0.1886943939,-0.1864764656,-0.2038906466,0.3076923077,2.0000000000,0.4480000000,0.0112000000,0.8340414297,0.1086716366,0.9716283314,-0.0483212078,0.8026469659,-0.3580199536,-0.2318040238,-2.0401815366,-1.5444941278,0.2857142857,3.0000000000,0.8333333333,0.0050000000,1.0620253693,-0.2442299505,0.9941947758,-0.1926662808
