section,name,value
summary,folds,27
summary,selection_metric,composite
summary,first_train_start,2010-01-04
summary,last_test_end,2026-03-05
test_mean,final_equity,1.0315504769
test_median,final_equity,1.0023289061
test_std,final_equity,0.1248501987
train_mean,final_equity,1.1060956891
train_median,final_equity,0.9865981377
train_std,final_equity,0.2727243534
test_mean,annualized_return,0.0806150814
test_median,annualized_return,0.0047006294
test_std,annualized_return,0.2935511474
bootstrap_ci_lower,annualized_return,-0.0135367391
bootstrap_ci_upper,annualized_return,0.2039104674
bootstrap_p_positive,annualized_return,0.9446000000
train_mean,annualized_return,0.0450525411
train_median,annualized_return,-0.0067368559
train_std,annualized_return,0.1193410082
test_mean,max_drawdown,-0.0802141476
test_median,max_drawdown,-0.0461763370
test_std,max_drawdown,0.0858014966
train_mean,max_drawdown,-0.1887876839
train_median,max_drawdown,-0.1490198070
train_std,max_drawdown,0.1104154951
test_mean,sharpe_ratio,0.3783464041
test_median,sharpe_ratio,0.1196932186
test_std,sharpe_ratio,1.4554593836
train_mean,sharpe_ratio,0.2333046692
train_median,sharpe_ratio,0.0257645909
train_std,sharpe_ratio,0.6054784863
test_mean,calmar_ratio,1.8266415112
test_median,calmar_ratio,0.1319150320
test_std,calmar_ratio,4.5046686672
train_mean,calmar_ratio,0.1919408658
train_median,calmar_ratio,-0.0452077881
train_std,calmar_ratio,0.5048940916
test_mean,monthly_win_rate,0.2599206349
test_median,monthly_win_rate,0.1428571429
test_std,monthly_win_rate,0.2432640020
train_mean,monthly_win_rate,0.2301994302
train_median,monthly_win_rate,0.1923076923
train_std,monthly_win_rate,0.1407030643
test_mean,max_consecutive_losing_months,1.2222222222
test_median,max_consecutive_losing_months,1.0000000000
test_std,max_consecutive_losing_months,0.9558139186
train_mean,max_consecutive_losing_months,2.4074074074
train_median,max_consecutive_losing_months,2.0000000000
train_std,max_consecutive_losing_months,0.4913518208
test_mean,average_turnover,0.4081128748
test_median,average_turnover,0.3666666667
test_std,average_turnover,0.2578141828
train_mean,average_turnover,0.3819829060
train_median,average_turnover,0.3520000000
train_std,average_turnover,0.1597620702
test_mean,total_transaction_cost,0.0025555556
test_median,total_transaction_cost,0.0022000000
test_std,total_transaction_cost,0.0016468451
train_mean,total_transaction_cost,0.0095629630
train_median,total_transaction_cost,0.0090000000
train_std,total_transaction_cost,0.0040529960
test_mean,equal_weight_final_equity,1.0416787024
test_median,equal_weight_final_equity,1.0400224206
test_std,equal_weight_final_equity,0.1280066800
train_mean,equal_weight_final_equity,1.1070726684
train_median,equal_weight_final_equity,1.0284015905
train_std,equal_weight_final_equity,0.2988946510
test_mean,excess_return_vs_equal_weight,-0.0026469158
test_median,excess_return_vs_equal_weight,-0.0146760994
test_std,excess_return_vs_equal_weight,0.1124554160
train_mean,excess_return_vs_equal_weight,0.0287878910
train_median,excess_return_vs_equal_weight,0.0355363303
train_std,excess_return_vs_equal_weight,0.1901919098
test_mean,benchmark_final_equity,1.0306296914
test_median,benchmark_final_equity,1.0113590964
test_std,benchmark_final_equity,0.1525300647
train_mean,benchmark_final_equity,1.0589989737
train_median,benchmark_final_equity,1.0085624343
train_std,benchmark_final_equity,0.2568048123
test_mean,excess_return_vs_benchmark,0.0106767899
test_median,excess_return_vs_benchmark,-0.0039379766
test_std,excess_return_vs_benchmark,0.1165517883
train_mean,excess_return_vs_benchmark,0.0740347971
train_median,excess_return_vs_benchmark,0.0880799656
train_std,excess_return_vs_benchmark,0.2207733121
selection_count,ret60_ret5_top5_riskoff0_mthr0p05,17
selection_count,ret60_ret5_top5_riskoff0_mthrneg0p05,6
selection_count,ret60_ret5_top5_riskoff0_mthr0,2
selection_count,ret60_ret5_top5_riskoff0_mthrneg0p02,2
