fold,rank_by_train,rank_by_test,selected_by_train,selection_metric,train_selection_score,test_selection_score,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,1,true,composite,-0.6791665220,1.5218620579,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,false,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9166617906,-0.0426582501,-0.3980085212,-0.0953395759,-0.1071792383,0.3076923077,3.0000000000,0.8900000000,0.0178000000,0.8013752896,0.1438608134,0.7088902278,0.2930941275,1.0596211115,0.1238377459,-0.1201320111,0.6731593771,1.0308471888,0.5714285714,2.0000000000,0.4666666667,0.0028000000,1.0047095454,0.0546541698,0.9538996614,0.1108307869
2,1,1,true,composite,-0.6964916580,1.3591271570,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,false,false,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.9440040646,-0.0284569368,-0.3980085212,-0.0034951118,-0.0714983105,0.4230769231,3.0000000000,0.7840000000,0.0196000000,0.9706880006,-0.0274897145,0.9067331160,0.0411046514,1.0708767503,0.1480341615,-0.1601123855,0.8052835200,0.9245640872,0.5714285714,2.0000000000,0.8000000000,0.0048000000,1.0823584792,-0.0106080648,1.1454855866,-0.0651329333
3,1,1,true,composite,-0.9399948895,-0.2467772342,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,false,false,0.000000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,0.8703883447,-0.0671826697,-0.3848327784,-0.2097084043,-0.1745762665,0.4230769231,3.0000000000,0.7840000000,0.0196000000,0.8490578385,0.0251225597,0.9193390761,-0.0532455682,0.9994478774,-0.0011127669,-0.1639914804,0.1152554400,-0.0067855168,0.5714285714,2.0000000000,0.8000000000,0.0056000000,0.9907841408,0.0087443231,0.8515495548,0.1736814044
4,1,1,true,composite,-0.9993339424,-2.2531160734,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,false,false,0.000000,2011-07-26,2013-08-23,2013-08-26,2014-03-06,0.8403351226,-0.0834605538,-0.3225163021,-0.2767669392,-0.2587793340,0.4230769231,3.0000000000,0.7538461538,0.0196000000,0.8024665868,0.0471901713,0.7680008866,0.0941850944,0.8815087393,-0.2245088062,-0.2155373929,-0.6840731004,-1.0416234656,0.3750000000,3.0000000000,0.8000000000,0.0048000000,0.9925582557,-0.1118821145,0.9306436835,-0.0527967309
5,1,1,true,composite,-0.3997529504,4.8661324032,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,false,false,0.000000,2012-02-06,2014-03-06,2014-03-07,2014-09-04,0.9884897284,-0.0057832341,-0.2155373929,0.0980222356,-0.0268316974,0.4615384615,3.0000000000,0.7200000000,0.0180000000,1.0691069061,-0.0754060957,0.8679521786,0.1388757961,1.1312208508,0.2821875673,-0.0793375727,1.6225826002,3.5567960774,0.7142857143,2.0000000000,0.8666666667,0.0052000000,1.1510675988,-0.0172420351,1.1189193676,0.0109940748
6,1,1,true,composite,-0.2338321471,18.9528911497,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,false,false,0.000000,2012-08-08,2014-09-04,2014-09-05,2015-03-19,1.0613792565,0.0302936285,-0.2597187535,0.2478860365,0.1166401274,0.5000000000,5.0000000000,0.8160000000,0.0204000000,1.2265169569,-0.1346395575,1.0152440173,0.0454425128,1.5182122828,1.3204185109,-0.0848757224,3.5660306132,15.5570812703,1.0000000000,0.0000000000,0.6000000000,0.0036000000,1.4260134025,0.0646549886,1.5677143300,-0.0315759360
7,1,1,true,composite,1.4457295732,-0.9329936533,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,false,false,0.000000,2013-02-19,2015-03-19,2015-03-20,2015-09-22,1.5453812783,0.2436716414,-0.2597187535,1.0241133015,0.9382135023,0.6538461538,5.0000000000,0.7680000000,0.0192000000,1.6525994114,-0.0648784771,1.4297459423,0.0808782404,0.9472198692,-0.1035526008,-0.4798723830,0.0289029556,-0.2157919574,0.4285714286,4.0000000000,0.9714285714,0.0068000000,0.9698911978,-0.0233751256,0.8577957493,0.1042487328
8,1,1,true,composite,0.3823253277,-0.3062595602,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,false,false,0.000000,2013-08-26,2015-09-22,2015-09-23,2016-03-31,1.4472430810,0.2034563005,-0.4798723830,0.7370512587,0.4239800158,0.5769230769,5.0000000000,0.8160000000,0.0204000000,1.5988695814,-0.0948335638,1.4296118375,0.0123328885,1.0094426346,0.0191276707,-0.3247340133,0.2400711211,0.0589025785,0.7142857143,1.0000000000,1.0000000000,0.0060000000,1.0411984013,-0.0304992465,0.9862275247,0.0235393044
9,1,1,true,composite,0.6271715073,1.2746690247,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,false,false,0.000000,2014-03-07,2016-03-31,2016-04-01,2016-10-13,1.6288488430,0.2768827177,-0.5408292229,0.8890363535,0.5119596093,0.7200000000,4.0000000000,0.8640000000,0.0216000000,1.6570101153,-0.0169952326,1.4841124168,0.0975238969,1.0477144686,0.0985245573,-0.0925246397,0.5642150552,1.0648467003,0.5714285714,2.0000000000,0.9333333333,0.0056000000,1.0784888878,-0.0285347578,1.0250660327,0.0220946117
10,1,1,true,composite,0.3903172990,-0.4560807253,ret60_ret5_top5_riskoff0,ret60_ret5,ret60;ret5,5,0.000000,false,false,0.000000,2014-09-05,2016-10-13,2016-10-14,2017-04-20,1.4989202567,0.2247966633,-0.5408292229,0.7602692277,0.4156518431,0.6923076923,4.0000000000,0.8800000000,0.0220000000,1.5369987063,-0.0247745488,1.3484276884,0.1116059613,0.9937896019,-0.0124806642,-0.1017591878,-0.0330655801,-0.1226490157,0.4285714286,2.0000000000,0.7428571429,0.0052000000,1.0067695353,-0.0128926561,1.0470983257,-0.0509109054
