section,name,value
summary,folds,27
summary,selection_metric,composite
summary,first_train_start,2010-01-04
summary,last_test_end,2026-03-05
test_mean,final_equity,1.0372711138
test_median,final_equity,1.0413839315
test_std,final_equity,0.1487149162
train_mean,final_equity,1.0721605565
train_median,final_equity,0.9884897284
train_std,final_equity,0.2881043472
test_mean,annualized_return,0.0992360780
test_median,annualized_return,0.0851843412
test_std,annualized_return,0.3329694335
bootstrap_ci_lower,annualized_return,-0.0166670209
bootstrap_ci_upper,annualized_return,0.2325727405
bootstrap_p_positive,annualized_return,0.9502000000
train_mean,annualized_return,0.0267316185
train_median,annualized_return,-0.0057832341
train_std,annualized_return,0.1349255304
test_mean,max_drawdown,-0.1606516872
test_median,max_drawdown,-0.1325091831
test_std,max_drawdown,0.0946340065
train_mean,max_drawdown,-0.3407541418
train_median,max_drawdown,-0.3349465772
train_std,max_drawdown,0.1106934077
test_mean,sharpe_ratio,0.3576165382
test_median,sharpe_ratio,0.4840278639
test_std,sharpe_ratio,1.2915329732
train_mean,sharpe_ratio,0.1242549051
train_median,sharpe_ratio,0.0980222356
train_std,sharpe_ratio,0.5782764929
test_mean,calmar_ratio,1.4355259843
test_median,calmar_ratio,0.5502591051
test_std,calmar_ratio,3.3228825487
train_mean,calmar_ratio,0.1333581781
train_median,calmar_ratio,-0.0217968060
train_std,calmar_ratio,0.5025767939
test_mean,monthly_win_rate,0.5648148148
test_median,monthly_win_rate,0.5714285714
test_std,monthly_win_rate,0.1963472744
train_mean,monthly_win_rate,0.5347008547
train_median,monthly_win_rate,0.5000000000
train_std,monthly_win_rate,0.1271300795
test_mean,max_consecutive_losing_months,2.1481481481
test_median,max_consecutive_losing_months,2.0000000000
test_std,max_consecutive_losing_months,1.1123449939
train_mean,max_consecutive_losing_months,3.5185185185
train_median,max_consecutive_losing_months,4.0000000000
train_std,max_consecutive_losing_months,0.8764562642
test_mean,average_turnover,0.7192239859
test_median,average_turnover,0.7333333333
test_std,average_turnover,0.1523450216
train_mean,average_turnover,0.7396524217
train_median,average_turnover,0.7200000000
train_std,average_turnover,0.0896177833
test_mean,total_transaction_cost,0.0045481481
test_median,total_transaction_cost,0.0048000000
test_std,total_transaction_cost,0.0010894682
train_mean,total_transaction_cost,0.0184666667
train_median,total_transaction_cost,0.0180000000
train_std,total_transaction_cost,0.0021929179
test_mean,equal_weight_final_equity,1.0416787024
test_median,equal_weight_final_equity,1.0400224206
test_std,equal_weight_final_equity,0.1280066800
train_mean,equal_weight_final_equity,1.1070726684
train_median,equal_weight_final_equity,1.0284015905
train_std,equal_weight_final_equity,0.2988946510
test_mean,excess_return_vs_equal_weight,-0.0059017556
test_median,excess_return_vs_equal_weight,-0.0128926561
test_std,excess_return_vs_equal_weight,0.0399018729
train_mean,excess_return_vs_equal_weight,-0.0286704605
train_median,excess_return_vs_equal_weight,-0.0361033622
train_std,excess_return_vs_equal_weight,0.0608287199
test_mean,benchmark_final_equity,1.0306296914
test_median,benchmark_final_equity,1.0113590964
test_std,benchmark_final_equity,0.1525300647
train_mean,benchmark_final_equity,1.0589989737
train_median,benchmark_final_equity,1.0085624343
train_std,benchmark_final_equity,0.2568048123
test_mean,excess_return_vs_benchmark,0.0086445954
test_median,excess_return_vs_benchmark,0.0057527085
test_std,excess_return_vs_benchmark,0.0680019688
train_mean,excess_return_vs_benchmark,0.0142651944
train_median,excess_return_vs_benchmark,0.0137811351
train_std,excess_return_vs_benchmark,0.1125856608
selection_count,ret60_ret5_top5_riskoff0,27
