fold,rank_by_train,rank_by_test,selected_by_train,selection_metric,train_selection_score,test_selection_score,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,3,true,composite,-0.7919580627,-2.8563566305,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9034495518,-0.0495962958,-0.2192916651,-0.3788743600,-0.2261658954,0.0384615385,3.0000000000,0.3800000000,0.0076000000,0.8013752896,0.1273738579,0.7088902278,0.2744562083,0.9190529200,-0.1564817433,-0.1219357437,-1.1491859587,-1.2833131488,0.1428571429,2.0000000000,0.8666666667,0.0052000000,1.0047095454,-0.0852551126,0.9538996614,-0.0365308248
1,2,1,false,composite,-0.7919580627,-2.0416029518,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9034495518,-0.0495962958,-0.2192916651,-0.3788743600,-0.2261658954,0.0384615385,3.0000000000,0.3800000000,0.0076000000,0.8013752896,0.1273738579,0.7088902278,0.2744562083,0.9463784107,-0.1051573281,-0.1191730551,-0.8153137081,-0.8823918126,0.1428571429,2.0000000000,0.6666666667,0.0040000000,1.0047095454,-0.0580577093,0.9538996614,-0.0078847399
1,3,4,false,composite,-0.8479419582,-3.4590456880,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.8888004040,-0.0573483517,-0.2174201956,-0.3858482478,-0.2637673632,0.0384615385,3.0000000000,0.3600000000,0.0072000000,0.8013752896,0.1090938485,0.7088902278,0.2537913053,0.8952731207,-0.1999034827,-0.1348560030,-1.5329185633,-1.4823476769,0.1428571429,2.0000000000,0.8000000000,0.0048000000,1.0047095454,-0.1089234448,0.9538996614,-0.0614598611
1,4,2,false,composite,-0.8479419582,-2.1937396036,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.8888004040,-0.0573483517,-0.2174201956,-0.3858482478,-0.2637673632,0.0384615385,3.0000000000,0.3600000000,0.0072000000,0.8013752896,0.1090938485,0.7088902278,0.2537913053,0.9437738175,-0.1101153070,-0.1137552919,-0.8846659303,-0.9680016212,0.1428571429,2.0000000000,0.6666666667,0.0040000000,1.0047095454,-0.0606500935,0.9538996614,-0.0106152085
2,1,3,true,composite,-1.3114102108,10.8797718819,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.8550051510,-0.0754790858,-0.2733196475,-0.5267575985,-0.2761568241,0.0769230769,3.0000000000,0.4640000000,0.0116000000,0.9706880006,-0.1191761406,0.9067331160,-0.0570487215,1.1523089737,0.3308312527,-0.0406409792,2.7904483586,8.1403366589,0.4285714286,0.0000000000,0.3000000000,0.0018000000,1.0823584792,0.0646278436,1.1454855866,0.0059567638
2,2,2,false,composite,-1.3659583729,12.9314693389,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.8388265503,-0.0842852462,-0.2764786873,-0.5367837985,-0.3048525983,0.0769230769,3.0000000000,0.4480000000,0.0112000000,0.9706880006,-0.1358432887,0.9067331160,-0.0748914586,1.1405107140,0.3035038815,-0.0298461622,2.7969798680,10.1689416331,0.4285714286,0.0000000000,0.2333333333,0.0014000000,1.0823584792,0.0537273333,1.1454855866,-0.0043430250
2,3,4,false,composite,-1.4901066799,10.8797718819,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,false,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.8303179486,-0.0889505735,-0.2755988598,-0.6191452152,-0.3227537791,0.0769230769,3.0000000000,0.5120000000,0.0128000000,0.9706880006,-0.1446088258,0.9067331160,-0.0842752580,1.1523089737,0.3308312527,-0.0406409792,2.7904483586,8.1403366589,0.4285714286,0.0000000000,0.3000000000,0.0018000000,1.0823584792,0.0646278436,1.1454855866,0.0059567638
2,4,1,false,composite,-1.6609852630,12.9314693389,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.7957191114,-0.1081717069,-0.2937050967,-0.6987273097,-0.3683004078,0.0769230769,3.0000000000,0.4800000000,0.0120000000,0.9706880006,-0.1802524489,0.9067331160,-0.1224329437,1.1405107140,0.3035038815,-0.0298461622,2.7969798680,10.1689416331,0.4285714286,0.0000000000,0.2333333333,0.0014000000,1.0823584792,0.0537273333,1.1454855866,-0.0043430250
3,1,3,true,composite,0.2963025377,-2.4368510119,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,1.0329123619,0.0163556766,-0.1443323954,0.2107759644,0.1133195116,0.1923076923,3.0000000000,0.4000000000,0.0100000000,0.8490578385,0.2165394571,0.9193390761,0.1235379728,0.9407054740,-0.1159382491,-0.0939974152,-0.9231752881,-1.2334195453,0.1428571429,2.0000000000,0.5428571429,0.0038000000,0.9907841408,-0.0505444776,0.8515495548,0.1046984508
3,2,1,false,composite,0.1391212629,-1.7014239421,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,1.0176811816,0.0088194302,-0.1561173904,0.1361458177,0.0564922980,0.1923076923,3.0000000000,0.3840000000,0.0096000000,0.8490578385,0.1986005376,0.9193390761,0.1069704400,0.9607837141,-0.0774853412,-0.0826506350,-0.5295607702,-0.9375044874,0.1428571429,2.0000000000,0.4857142857,0.0034000000,0.9907841408,-0.0302794781,0.8515495548,0.1282769260
3,3,4,false,composite,-0.0002552360,-3.9046352453,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,false,0.000000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,1.0030883118,0.0015460354,-0.1478944566,0.0677721759,0.0104536400,0.1923076923,3.0000000000,0.4480000000,0.0112000000,0.8490578385,0.1814134047,0.9193390761,0.0910972217,0.8505173112,-0.2784918425,-0.1692010331,-1.7550827108,-1.6459228257,0.2857142857,2.0000000000,0.7714285714,0.0054000000,0.9907841408,-0.1415715329,0.8515495548,-0.0012121944
3,4,2,false,composite,-0.3470780276,-2.4052891169,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,0.9653823728,-0.0174956702,-0.1770332875,-0.1042219839,-0.0988270085,0.1923076923,3.0000000000,0.4160000000,0.0104000000,0.8490578385,0.1370042523,0.9193390761,0.0500830411,0.9072994785,-0.1780879776,-0.1639914804,-0.9067920038,-1.0859587167,0.2857142857,2.0000000000,0.6571428571,0.0046000000,0.9907841408,-0.0842612017,0.8515495548,0.0654687955
4,1,1,true,composite,0.2284648701,-2.1940157051,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2011-07-26,2013-08-23,2013-08-26,2014-03-06,1.0123267347,0.0061567432,-0.1137552919,0.1111939886,0.0541226969,0.1153846154,3.0000000000,0.3384615385,0.0088000000,0.8024665868,0.2615188611,0.7680008866,0.3181322475,0.9419624711,-0.1135551153,-0.1099724653,-0.8338237448,-1.0325776998,0.1250000000,2.0000000000,0.6666666667,0.0040000000,0.9925582557,-0.0509751285,0.9306436835,0.0121623214
4,2,4,false,composite,0.1800563756,-2.7037620040,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2011-07-26,2013-08-23,2013-08-26,2014-03-06,1.0090935710,0.0045455349,-0.1191730551,0.0959049897,0.0381423044,0.1538461538,2.0000000000,0.3692307692,0.0096000000,0.8024665868,0.2574898289,0.7680008866,0.3139224038,0.9359598265,-0.1249063513,-0.1005182151,-1.1369302966,-1.2426240474,0.1250000000,2.0000000000,0.6666666667,0.0040000000,0.9925582557,-0.0570227782,0.9306436835,0.0057123291
4,3,2,false,composite,-0.7401621985,-2.1940157051,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2011-07-26,2013-08-23,2013-08-26,2014-03-06,0.9068456112,-0.0478081402,-0.1639914804,-0.3108691052,-0.2915281948,0.1538461538,3.0000000000,0.4153846154,0.0108000000,0.8024665868,0.1300727358,0.7680008866,0.1807871931,0.9419624711,-0.1135551153,-0.1099724653,-0.8338237448,-1.0325776998,0.1250000000,2.0000000000,0.6666666667,0.0040000000,0.9925582557,-0.0509751285,0.9306436835,0.0121623214
4,4,3,false,composite,-0.9534357671,-2.7037620040,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,false,0.000000,2011-07-26,2013-08-23,2013-08-26,2014-03-06,0.8860059134,-0.0588343670,-0.1694736937,-0.4216751987,-0.3471592893,0.1923076923,2.0000000000,0.4769230769,0.0124000000,0.8024665868,0.1041031838,0.7680008866,0.1536522013,0.9359598265,-0.1249063513,-0.1005182151,-1.1369302966,-1.2426240474,0.1250000000,2.0000000000,0.6666666667,0.0040000000,0.9925582557,-0.0570227782,0.9306436835,0.0057123291
5,1,1,true,composite,-0.6794340154,3.4017881086,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2012-02-06,2014-03-06,2014-03-07,2014-09-04,0.9535737926,-0.0235351134,-0.1242749544,-0.1297146131,-0.1893793770,0.1538461538,3.0000000000,0.5120000000,0.0128000000,1.0691069061,-0.1080650708,0.8679521786,0.0986478472,1.0296864504,0.0607505748,-0.0275185027,1.3687977479,2.2076264598,0.1428571429,1.0000000000,0.1666666667,0.0010000000,1.1510675988,-0.1054509297,1.1189193676,-0.0797491936
5,2,4,false,composite,-0.7772584644,2.6870836374,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2012-02-06,2014-03-06,2014-03-07,2014-09-04,0.9444710436,-0.0282161878,-0.1403646318,-0.1832937752,-0.2010206379,0.1923076923,2.0000000000,0.5440000000,0.0136000000,1.0691069061,-0.1165794195,0.8679521786,0.0881602315,1.0227013875,0.0462938481,-0.0267576003,1.1369075896,1.7301195786,0.1428571429,1.0000000000,0.1666666667,0.0010000000,1.1510675988,-0.1115192639,1.1189193676,-0.0859918801
5,3,2,false,composite,-1.3900309963,3.4017881086,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2012-02-06,2014-03-06,2014-03-07,2014-09-04,0.8542145328,-0.0759074840,-0.2055458530,-0.4661862967,-0.3692970833,0.1923076923,3.0000000000,0.5920000000,0.0148000000,1.0691069061,-0.2010017633,0.8679521786,-0.0158276529,1.0296864504,0.0607505748,-0.0275185027,1.3687977479,2.2076264598,0.1428571429,1.0000000000,0.1666666667,0.0010000000,1.1510675988,-0.1054509297,1.1189193676,-0.0797491936
5,4,3,false,composite,-1.6288630972,2.6870836374,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,false,0.000000,2012-02-06,2014-03-06,2014-03-07,2014-09-04,0.8292659410,-0.0895290508,-0.2227803684,-0.6158736814,-0.4018713655,0.2307692308,2.0000000000,0.6560000000,0.0164000000,1.0691069061,-0.2243376820,0.8679521786,-0.0445718539,1.0227013875,0.0462938481,-0.0267576003,1.1369075896,1.7301195786,0.1428571429,1.0000000000,0.1666666667,0.0010000000,1.1510675988,-0.1115192639,1.1189193676,-0.0859918801
6,1,4,true,composite,-0.0037767276,18.9528911497,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2012-08-08,2014-09-04,2014-09-05,2015-03-19,1.0403785265,0.0200296096,-0.1364625129,0.2356702169,0.1467773760,0.1538461538,3.0000000000,0.3920000000,0.0098000000,1.2265169569,-0.1517618076,1.0152440173,0.0247571114,1.5182122828,1.3204185109,-0.0848757224,3.5660306132,15.5570812703,1.0000000000,0.0000000000,0.6000000000,0.0036000000,1.4260134025,0.0646549886,1.5677143300,-0.0315759360
6,2,2,false,composite,-0.2185052276,21.9939226852,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2012-08-08,2014-09-04,2014-09-05,2015-03-19,1.0206401962,0.0102879054,-0.1604061415,0.1516191102,0.0641366055,0.1923076923,2.0000000000,0.4240000000,0.0106000000,1.2265169569,-0.1678548018,1.0152440173,0.0053151546,1.4683670757,1.1693949770,-0.0630766865,3.7713737562,18.5392581949,1.0000000000,0.0000000000,1.1333333333,0.0068000000,1.4260134025,0.0297007540,1.5677143300,-0.0633707637
6,3,3,false,composite,-0.5684952707,18.9528911497,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2012-08-08,2014-09-04,2014-09-05,2015-03-19,0.9824634626,-0.0088244824,-0.2166023558,-0.0021715044,-0.0407404727,0.1923076923,3.0000000000,0.4400000000,0.0110000000,1.2265169569,-0.1989809378,1.0152440173,-0.0322883505,1.5182122828,1.3204185109,-0.0848757224,3.5660306132,15.5570812703,1.0000000000,0.0000000000,0.6000000000,0.0036000000,1.4260134025,0.0646549886,1.5677143300,-0.0315759360
6,4,1,false,composite,-1.0504300785,21.9939226852,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,false,0.000000,2012-08-08,2014-09-04,2014-09-05,2015-03-19,0.9227884597,-0.0394579373,-0.2409004404,-0.2761011164,-0.1637935458,0.2307692308,2.0000000000,0.4880000000,0.0122000000,1.2265169569,-0.2476349760,1.0152440173,-0.0910673257,1.4683670757,1.1693949770,-0.0630766865,3.7713737562,18.5392581949,1.0000000000,0.0000000000,1.1333333333,0.0068000000,1.4260134025,0.0297007540,1.5677143300,-0.0633707637
7,1,4,true,composite,2.3012656067,1.4961839002,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2013-02-19,2015-03-19,2015-03-20,2015-09-22,1.4223174920,0.1930272392,-0.1292236777,1.1960894299,1.4937451296,0.3461538462,2.0000000000,0.4800000000,0.0120000000,1.6525994114,-0.1393452750,1.4297459423,-0.0051956436,1.1679302141,0.3674531552,-0.4139215860,1.0110396415,0.8877361502,0.4285714286,2.0000000000,0.7714285714,0.0054000000,0.9698911978,0.2041868374,0.8577957493,0.3615481482
7,2,2,false,composite,1.5534077067,1.6563815006,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2013-02-19,2015-03-19,2015-03-20,2015-09-22,1.3304177266,0.1537647334,-0.1601305041,1.1042463479,0.9602463585,0.3461538462,2.0000000000,0.6240000000,0.0156000000,1.6525994114,-0.1949544957,1.4297459423,-0.0694726334,1.1859383888,0.4102926706,-0.4100236318,1.0644235009,1.0006561543,0.4285714286,2.0000000000,0.8857142857,0.0062000000,0.9698911978,0.2227540487,0.8577957493,0.3825416945
7,3,3,false,composite,1.1404473162,1.4961839002,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2013-02-19,2015-03-19,2015-03-20,2015-09-22,1.3431409169,0.1592794761,-0.2166023558,0.9409509610,0.7353543111,0.3846153846,2.0000000000,0.5280000000,0.0132000000,1.6525994114,-0.1872556001,1.4297459423,-0.0605737165,1.1679302141,0.3674531552,-0.4139215860,1.0110396415,0.8877361502,0.4285714286,2.0000000000,0.7714285714,0.0054000000,0.9698911978,0.2041868374,0.8577957493,0.3615481482
7,4,1,false,composite,0.4030193758,1.6563815006,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,false,0.000000,2013-02-19,2015-03-19,2015-03-20,2015-09-22,1.2028667196,0.0969541959,-0.2406512291,0.6849245359,0.4028826125,0.3846153846,2.0000000000,0.6880000000,0.0172000000,1.6525994114,-0.2721365436,1.4297459423,-0.1586849914,1.1859383888,0.4102926706,-0.4100236318,1.0644235009,1.0006561543,0.4285714286,2.0000000000,0.8857142857,0.0062000000,0.9698911978,0.2227540487,0.8577957493,0.3825416945
8,1,3,true,composite,1.5830727434,-0.0395682525,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2013-08-26,2015-09-22,2015-09-23,2016-03-31,1.7370686281,0.3187026384,-0.4139215860,1.2805998866,0.7699589709,0.3846153846,2.0000000000,0.5600000000,0.0140000000,1.5988695814,0.0864354719,1.4296118375,0.2150631259,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0411984013,-0.0395682525,0.9862275247,0.0139648052
8,2,4,false,composite,1.5830727434,-0.0395682525,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2013-08-26,2015-09-22,2015-09-23,2016-03-31,1.7370686281,0.3187026384,-0.4139215860,1.2805998866,0.7699589709,0.3846153846,2.0000000000,0.5600000000,0.0140000000,1.5988695814,0.0864354719,1.4296118375,0.2150631259,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0411984013,-0.0395682525,0.9862275247,0.0139648052
8,3,1,false,composite,1.4385947258,-0.0395682525,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,false,0.000000,2013-08-26,2015-09-22,2015-09-23,2016-03-31,1.6885182101,0.3001067803,-0.4100236318,1.2406227811,0.7319255696,0.3846153846,2.0000000000,0.7200000000,0.0180000000,1.5988695814,0.0560700071,1.4296118375,0.1811025663,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0411984013,-0.0395682525,0.9862275247,0.0139648052
