fold,test_rank,selection_metric,train_selection_score,test_selection_score,selected_name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,3,composite,-0.7919580627,-2.8563566305,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9034495518,-0.0495962958,-0.2192916651,-0.3788743600,-0.2261658954,0.0384615385,3.0000000000,0.3800000000,0.0076000000,0.8013752896,0.1273738579,0.7088902278,0.2744562083,0.9190529200,-0.1564817433,-0.1219357437,-1.1491859587,-1.2833131488,0.1428571429,2.0000000000,0.8666666667,0.0052000000,1.0047095454,-0.0852551126,0.9538996614,-0.0365308248
2,3,composite,-1.3114102108,10.8797718819,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.8550051510,-0.0754790858,-0.2733196475,-0.5267575985,-0.2761568241,0.0769230769,3.0000000000,0.4640000000,0.0116000000,0.9706880006,-0.1191761406,0.9067331160,-0.0570487215,1.1523089737,0.3308312527,-0.0406409792,2.7904483586,8.1403366589,0.4285714286,0.0000000000,0.3000000000,0.0018000000,1.0823584792,0.0646278436,1.1454855866,0.0059567638
3,3,composite,0.2963025377,-2.4368510119,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,true,0.000000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,1.0329123619,0.0163556766,-0.1443323954,0.2107759644,0.1133195116,0.1923076923,3.0000000000,0.4000000000,0.0100000000,0.8490578385,0.2165394571,0.9193390761,0.1235379728,0.9407054740,-0.1159382491,-0.0939974152,-0.9231752881,-1.2334195453,0.1428571429,2.0000000000,0.5428571429,0.0038000000,0.9907841408,-0.0505444776,0.8515495548,0.1046984508
4,1,composite,0.2284648701,-2.1940157051,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2011-07-26,2013-08-23,2013-08-26,2014-03-06,1.0123267347,0.0061567432,-0.1137552919,0.1111939886,0.0541226969,0.1153846154,3.0000000000,0.3384615385,0.0088000000,0.8024665868,0.2615188611,0.7680008866,0.3181322475,0.9419624711,-0.1135551153,-0.1099724653,-0.8338237448,-1.0325776998,0.1250000000,2.0000000000,0.6666666667,0.0040000000,0.9925582557,-0.0509751285,0.9306436835,0.0121623214
5,1,composite,-0.6794340154,3.4017881086,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2012-02-06,2014-03-06,2014-03-07,2014-09-04,0.9535737926,-0.0235351134,-0.1242749544,-0.1297146131,-0.1893793770,0.1538461538,3.0000000000,0.5120000000,0.0128000000,1.0691069061,-0.1080650708,0.8679521786,0.0986478472,1.0296864504,0.0607505748,-0.0275185027,1.3687977479,2.2076264598,0.1428571429,1.0000000000,0.1666666667,0.0010000000,1.1510675988,-0.1054509297,1.1189193676,-0.0797491936
6,4,composite,-0.0037767276,18.9528911497,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2012-08-08,2014-09-04,2014-09-05,2015-03-19,1.0403785265,0.0200296096,-0.1364625129,0.2356702169,0.1467773760,0.1538461538,3.0000000000,0.3920000000,0.0098000000,1.2265169569,-0.1517618076,1.0152440173,0.0247571114,1.5182122828,1.3204185109,-0.0848757224,3.5660306132,15.5570812703,1.0000000000,0.0000000000,0.6000000000,0.0036000000,1.4260134025,0.0646549886,1.5677143300,-0.0315759360
7,4,composite,2.3012656067,1.4961839002,ret60_ret5_top5_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2013-02-19,2015-03-19,2015-03-20,2015-09-22,1.4223174920,0.1930272392,-0.1292236777,1.1960894299,1.4937451296,0.3461538462,2.0000000000,0.4800000000,0.0120000000,1.6525994114,-0.1393452750,1.4297459423,-0.0051956436,1.1679302141,0.3674531552,-0.4139215860,1.0110396415,0.8877361502,0.4285714286,2.0000000000,0.7714285714,0.0054000000,0.9698911978,0.2041868374,0.8577957493,0.3615481482
8,3,composite,1.5830727434,-0.0395682525,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2013-08-26,2015-09-22,2015-09-23,2016-03-31,1.7370686281,0.3187026384,-0.4139215860,1.2805998866,0.7699589709,0.3846153846,2.0000000000,0.5600000000,0.0140000000,1.5988695814,0.0864354719,1.4296118375,0.2150631259,1.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0411984013,-0.0395682525,0.9862275247,0.0139648052
9,4,composite,1.9216106526,-1.1705358987,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2014-03-07,2016-03-31,2016-04-01,2016-10-13,1.8440953662,0.3588010897,-0.4139215860,1.4557934404,0.8668334820,0.3600000000,2.0000000000,0.4000000000,0.0100000000,1.6570101153,0.1129053161,1.4841124168,0.2425577371,0.9814679823,-0.0370088605,-0.0635237038,-0.2927862627,-0.5825992235,0.2857142857,1.0000000000,0.5666666667,0.0034000000,1.0784888878,-0.0899600419,1.0250660327,-0.0425319433
10,1,composite,1.7056131254,-0.8911069328,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,false,0.000000,2014-09-05,2016-10-13,2016-10-14,2017-04-20,1.7588243086,0.3269513162,-0.4100236318,1.3339166128,0.7973962739,0.4230769231,2.0000000000,0.6400000000,0.0160000000,1.5369987063,0.1443238706,1.3484276884,0.3043519677,0.9871992469,-0.0256385169,-0.0670378106,-0.1650389658,-0.3824486018,0.4285714286,2.0000000000,1.0285714286,0.0072000000,1.0067695353,-0.0194386975,1.0470983257,-0.0572048272
