industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
通信,11,0.2291666667,11,0,0.3333333333
传媒,6,0.1250000000,6,0,0.3333333333
有色金属,6,0.1250000000,6,0,0.3333333333
电子,5,0.1041666667,5,0,0.3333333333
石油石化,5,0.1041666667,5,0,0.3333333333
综合,5,0.1041666667,5,0,0.3333333333
计算机,5,0.1041666667,5,0,0.3333333333
银行,5,0.1041666667,5,0,0.3333333333
煤炭,4,0.0833333333,4,0,0.3333333333
国防军工,3,0.0625000000,3,0,0.3333333333
社会服务,3,0.0625000000,3,0,0.3333333333
农林牧渔,2,0.0416666667,2,0,0.3333333333
医药生物,2,0.0416666667,2,0,0.3333333333
家用电器,2,0.0416666667,2,0,0.3333333333
房地产,2,0.0416666667,2,0,0.3333333333
机械设备,2,0.0416666667,2,0,0.3333333333
汽车,2,0.0416666667,2,0,0.3333333333
电力设备,2,0.0416666667,2,0,0.3333333333
非银金融,2,0.0416666667,2,0,0.3333333333
食品饮料,2,0.0416666667,2,0,0.3333333333
公用事业,1,0.0208333333,1,0,0.3333333333
商贸零售,1,0.0208333333,1,0,0.3333333333
基础化工,1,0.0208333333,1,0,0.3333333333
纺织服饰,1,0.0208333333,1,0,0.3333333333
美容护理,1,0.0208333333,1,0,0.3333333333
