rank,name,factor_set,year,annual_return
1,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk1_dma0,ret60_ret5_consistency,2021,0.0000000000
1,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk1_dma0,ret60_ret5_consistency,2022,0.0000000000
1,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk1_dma0,ret60_ret5_consistency,2023,0.0772032457
1,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk1_dma0,ret60_ret5_consistency,2024,0.0179727990
1,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk1_dma0,ret60_ret5_consistency,2025,0.0809883741
1,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk1_dma0,ret60_ret5_consistency,2026,0.1425112227
2,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk1_dma1,ret60_ret5_consistency,2021,0.0000000000
2,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk1_dma1,ret60_ret5_consistency,2022,-0.0070185662
2,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk1_dma1,ret60_ret5_consistency,2023,0.0685773657
2,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk1_dma1,ret60_ret5_consistency,2024,0.0536372458
2,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk1_dma1,ret60_ret5_consistency,2025,0.1519725586
2,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk1_dma1,ret60_ret5_consistency,2026,0.0255023531
3,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk0_dma0,ret60_ret5_consistency,2021,0.0000000000
3,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk0_dma0,ret60_ret5_consistency,2022,0.0000000000
3,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk0_dma0,ret60_ret5_consistency,2023,0.0072373542
3,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk0_dma0,ret60_ret5_consistency,2024,0.0703390427
3,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk0_dma0,ret60_ret5_consistency,2025,0.1121271869
3,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk0_dma0,ret60_ret5_consistency,2026,0.1011474183
4,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk0_dma1,ret60_ret5_consistency,2021,0.0000000000
4,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk0_dma1,ret60_ret5_consistency,2022,-0.0029989100
4,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk0_dma1,ret60_ret5_consistency,2023,0.0298910780
4,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk0_dma1,ret60_ret5_consistency,2024,0.1078381290
4,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk0_dma1,ret60_ret5_consistency,2025,0.1651157155
4,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk0_dma1,ret60_ret5_consistency,2026,-0.0124864025
5,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk1_dma0,ret60_ret5_consistency,2021,0.0000000000
5,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk1_dma0,ret60_ret5_consistency,2022,0.0000000000
5,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk1_dma0,ret60_ret5_consistency,2023,-0.0291359574
5,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk1_dma0,ret60_ret5_consistency,2024,0.0536372458
5,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk1_dma0,ret60_ret5_consistency,2025,0.1793118027
5,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk1_dma0,ret60_ret5_consistency,2026,0.0821922942
6,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk0_dma0,ret60_ret5_consistency,2021,0.0000000000
6,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk0_dma0,ret60_ret5_consistency,2022,0.0000000000
6,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk0_dma0,ret60_ret5_consistency,2023,-0.0653585795
6,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk0_dma0,ret60_ret5_consistency,2024,0.1078381290
6,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk0_dma0,ret60_ret5_consistency,2025,0.1874937164
6,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore1_adptk0_dma0,ret60_ret5_consistency,2026,0.0450730886
7,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk1_dma1,ret60_ret5_consistency,2021,0.0000000000
7,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk1_dma1,ret60_ret5_consistency,2022,-0.0070185662
7,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk1_dma1,ret60_ret5_consistency,2023,0.1571308742
7,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk1_dma1,ret60_ret5_consistency,2024,0.0179727990
7,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk1_dma1,ret60_ret5_consistency,2025,-0.0096718860
7,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk1_dma1,ret60_ret5_consistency,2026,0.0255023531
8,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk0_dma1,ret60_ret5_consistency,2021,0.0000000000
8,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk0_dma1,ret60_ret5_consistency,2022,-0.0029989100
8,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk0_dma1,ret60_ret5_consistency,2023,0.0836502166
8,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk0_dma1,ret60_ret5_consistency,2024,0.0703390427
8,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk0_dma1,ret60_ret5_consistency,2025,0.0016270271
8,ret60_ret5_consistency_top5_riskoff0_riskctrl1_mscore0_adptk0_dma1,ret60_ret5_consistency,2026,-0.0124864025
