date,strategy,industry_equal_weight,benchmark
2021-12-13,1.0000000000,1.0000000000,1.0000000000
2021-12-14,1.0000000000,1.0049246695,0.9932924191
2021-12-15,1.0000000000,1.0063236121,0.9846768166
2021-12-16,1.0000000000,1.0139350177,0.9903477714
2021-12-17,1.0000000000,1.0070938899,0.9746174122
2021-12-20,1.0000000000,0.9982635195,0.9599944923
2021-12-21,1.0000000000,1.0112659255,0.9664994689
2021-12-22,1.0000000000,1.0150916735,0.9666883040
2021-12-23,1.0000000000,1.0108580801,0.9734332586
2021-12-24,1.0000000000,0.9964395329,0.9680435894
2021-12-27,1.0000000000,1.0003103839,0.9676462489
2021-12-28,1.0000000000,1.0057949872,0.9748534561
2021-12-29,1.0000000000,1.0051951280,0.9605964043
2021-12-30,1.0000000000,1.0136547155,0.9680770290
2021-12-31,1.0000000000,1.0187021415,0.9717868524
2022-01-04,1.0000000000,1.0279822826,0.9673413588
2022-01-05,1.0000000000,1.0153314293,0.9575750423
2022-01-06,1.0000000000,1.0229408250,0.9477615170
2022-01-07,1.0000000000,1.0090541193,0.9485758684
2022-01-10,1.0000000000,1.0168754119,0.9528384279
2022-01-11,1.0000000000,1.0128778478,0.9437369684
2022-01-12,1.0000000000,1.0249606340,0.9531413510
2022-01-13,1.0000000000,1.0171302762,0.9374719698
2022-01-14,1.0000000000,1.0137345032,0.9297631693
2022-01-17,1.0000000000,1.0277019761,0.9377394862
2022-01-18,1.0000000000,1.0166116719,0.9468016051
2022-01-19,1.0000000000,1.0173569267,0.9403162988
2022-01-20,1.0000000000,0.9967489387,0.9488001102
2022-01-21,1.0000000000,0.9867314521,0.9401058264
2022-01-24,1.0000000000,0.9845053071,0.9415673315
2022-01-25,1.0000000000,0.9504879900,0.9202663362
2022-01-26,1.0000000000,0.9556457057,0.9269267084
2022-01-27,1.0000000000,0.9291471162,0.9087454266
2022-01-28,1.0000000000,0.9385266715,0.8977084071
2022-02-07,1.0000000000,0.9500773231,0.9115405799
