date,signal_date,end_date,trading_days,calendar_days,strategy_return,benchmark_return,industry_equal_weight_return,excess_vs_benchmark,excess_vs_equal_weight,exposure,turnover,cost,risk_on,market_trend,market_score,market_score_ok,selected_industries
2022-06-24,2022-06-23,2022-07-21,19,27,0.0000000000,-0.0361133802,0.0186891465,0.0361133802,-0.0186891465,0,0,0.0000000000,false,false,,true,
2022-07-22,2022-07-21,2022-08-18,19,27,0.0000000000,-0.0137156313,0.0448385340,0.0137156313,-0.0448385340,0,0,0.0000000000,false,false,,true,
2022-08-19,2022-08-18,2022-09-16,19,28,0.0000000000,-0.0526105317,-0.0748480843,0.0526105317,0.0748480843,0,0,0.0000000000,false,false,,true,
2022-09-19,2022-09-16,2022-10-21,19,32,0.0000000000,-0.0471257637,0.0121025144,0.0471257637,-0.0121025144,0,0,0.0000000000,false,false,,true,
2022-10-24,2022-10-21,2022-11-18,19,25,0.0000000000,0.0462931108,0.0664210577,-0.0462931108,-0.0664210577,0,0,0.0000000000,false,false,,true,
2022-11-21,2022-11-18,2022-12-16,19,25,0.0000000000,0.0491094762,-0.0104588983,-0.0491094762,0.0104588983,0,0,0.0000000000,false,false,,true,
2022-12-19,2022-12-16,2023-01-16,19,28,0.0000000000,0.0628631313,0.0266587983,-0.0628631313,-0.0266587983,0,0,0.0000000000,false,false,,true,
2023-01-17,2023-01-16,2023-02-20,19,34,0.0781831787,-0.0009064014,0.0635134758,0.0790895801,0.0146697030,0.9000000000,0.9000000000,0.0009000000,true,true,,true,社会服务;传媒;轻工制造
2023-02-21,2023-02-20,2023-03-20,19,27,-0.0187796078,-0.0495300831,-0.0275147519,0.0307504753,0.0087351441,0.9000000000,1.8000000000,0.0018000000,true,true,,true,传媒;食品饮料;计算机
2023-03-21,2023-03-20,2023-04-18,19,28,0.1788987424,0.0451112149,0.0056609545,0.1337875275,0.1732377880,0.9000000000,1.8000000000,0.0018000000,true,true,,true,通信;计算机;传媒
2023-04-19,2023-04-18,2023-05-19,19,30,-0.0016274659,-0.0436458677,-0.0257967688,0.0420184018,0.0241693029,0.9000000000,1.8000000000,0.0018000000,true,true,,true,传媒;通信;计算机
2023-05-22,2023-05-19,2023-06-16,19,25,0.0000000000,-0.0015065515,-0.0007513045,0.0015065515,0.0007513045,0,0.9000000000,0.0009000000,false,false,,true,
2023-06-19,2023-06-16,2023-07-18,19,29,0.0000000000,-0.0193263138,-0.0045001029,0.0193263138,0.0045001029,0,0,0.0000000000,false,false,,true,
2023-07-19,2023-07-18,2023-08-15,19,27,0.0000000000,-0.0011244212,-0.0268180758,0.0011244212,0.0268180758,0,0,0.0000000000,false,false,,true,
2023-08-16,2023-08-15,2023-09-13,19,28,0.0000000000,-0.0213915508,0.0020379341,0.0213915508,-0.0020379341,0,0,0.0000000000,false,false,,true,
2023-09-14,2023-09-13,2023-10-19,19,35,0.0000000000,-0.0535608583,-0.0303495846,0.0535608583,0.0303495846,0,0,0.0000000000,false,false,,true,
2023-10-20,2023-10-19,2023-11-16,19,27,0.0000000000,0.0175953330,0.0788620481,-0.0175953330,-0.0788620481,0,0,0.0000000000,false,false,,true,
2023-11-17,2023-11-16,2023-12-14,19,27,0.0000000000,-0.0605677579,-0.0223925791,0.0605677579,0.0223925791,0,0,0.0000000000,false,false,,true,
2023-12-15,2023-12-14,2024-01-12,19,28,0.0000000000,-0.0171716718,-0.0378769117,0.0171716718,0.0378769117,0,0,0.0000000000,false,false,,true,
2024-01-15,2024-01-12,2024-02-19,19,35,0.0000000000,0.0374559575,-0.1773883641,-0.0374559575,0.1773883641,0,0,0.0000000000,false,false,,true,
2024-02-20,2024-02-19,2024-03-18,19,27,0.0000000000,0.0564903177,0.1600235871,-0.0564903177,-0.1600235871,0,0,0.0000000000,false,false,,true,
