date,signal_date,selected_industries,holdings,exposure,turnover,cost,market_trend,market_score,market_score_ok,risk_on
2022-06-24,2022-06-23,,,0.000000,0.000000,0.00000000,false,,true,false
2022-07-22,2022-07-21,,,0.000000,0.000000,0.00000000,false,,true,false
2022-08-19,2022-08-18,,,0.000000,0.000000,0.00000000,false,,true,false
2022-09-19,2022-09-16,,,0.000000,0.000000,0.00000000,false,,true,false
2022-10-24,2022-10-21,,,0.000000,0.000000,0.00000000,false,,true,false
2022-11-21,2022-11-18,,,0.000000,0.000000,0.00000000,false,,true,false
2022-12-19,2022-12-16,,,0.000000,0.000000,0.00000000,false,,true,false
2023-01-17,2023-01-16,社会服务;传媒;轻工制造,000526:0.1500;002059:0.1500;000917:0.1500;000676:0.1500;002067:0.1500;002078:0.1500,0.900000,0.900000,0.00090000,true,,true,true
2023-02-21,2023-02-20,传媒;食品饮料;计算机,000917:0.1500;000676:0.1500;000869:0.1500;000895:0.1500;000977:0.1500;000158:0.1500,0.900000,1.200000,0.00120000,true,,true,true
2023-03-21,2023-03-20,通信;计算机;传媒,000586:0.1500;000889:0.1500;000555:0.1500;000503:0.1500;000719:0.1500;000917:0.1500,0.900000,1.500000,0.00150000,true,,true,true
2023-04-19,2023-04-18,传媒;通信;计算机,000802:0.1500;000917:0.1500;002194:0.1500;002123:0.1500;000997:0.1500;000555:0.1500,0.900000,1.200000,0.00120000,true,,true,true
2023-05-22,2023-05-19,,,0.000000,0.900000,0.00090000,false,,true,false
2023-06-19,2023-06-16,,,0.000000,0.000000,0.00000000,false,,true,false
2023-07-19,2023-07-18,,,0.000000,0.000000,0.00000000,false,,true,false
2023-08-16,2023-08-15,,,0.000000,0.000000,0.00000000,false,,true,false
2023-09-14,2023-09-13,,,0.000000,0.000000,0.00000000,false,,true,false
2023-10-20,2023-10-19,,,0.000000,0.000000,0.00000000,false,,true,false
2023-11-17,2023-11-16,,,0.000000,0.000000,0.00000000,false,,true,false
2023-12-15,2023-12-14,,,0.000000,0.000000,0.00000000,false,,true,false
2024-01-15,2024-01-12,,,0.000000,0.000000,0.00000000,false,,true,false
2024-02-20,2024-02-19,,,0.000000,0.000000,0.00000000,false,,true,false
2024-03-19,2024-03-18,家用电器;有色金属;煤炭,002032:0.1500;000651:0.1500;000758:0.1500;000603:0.1500;600157:0.1500;600121:0.1500,0.900000,0.900000,0.00090000,true,,true,true
2024-04-18,2024-04-17,有色金属;石油石化;煤炭,000612:0.1500;000688:0.1500;000703:0.1500;000301:0.1500;002128:0.1500;000983:0.1500,0.900000,1.800000,0.00180000,true,,true,true
2024-05-21,2024-05-20,有色金属;家用电器;基础化工,000633:0.1500;000758:0.1500;000541:0.1500;000651:0.1500;000707:0.1500;000565:0.1500,0.900000,1.800000,0.00180000,true,,true,true
2024-06-19,2024-06-18,公用事业;银行;煤炭,000543:0.1500;000155:0.1500;600000:0.1500;600016:0.1500;600157:0.1500;600348:0.1500,0.900000,1.800000,0.00180000,true,,true,true
2024-07-17,2024-07-16,,,0.000000,0.900000,0.00090000,false,,true,false
2024-08-14,2024-08-13,,,0.000000,0.000000,0.00000000,false,,true,false
