date,strategy,industry_equal_weight,benchmark
2021-12-13,1.0000000000,1.0000000000,1.0000000000
2021-12-14,1.0000000000,1.0014206590,0.9932924191
2021-12-15,1.0000000000,1.0077681288,0.9846768166
2021-12-16,1.0000000000,1.0207670278,0.9903477714
2021-12-17,1.0000000000,1.0189505218,0.9746174122
2021-12-20,1.0000000000,1.0116533826,0.9599944923
2021-12-21,1.0000000000,1.0314132675,0.9664994689
2021-12-22,1.0000000000,1.0333789394,0.9666883040
2021-12-23,1.0000000000,1.0318377181,0.9734332586
2021-12-24,1.0000000000,1.0181000220,0.9680435894
2021-12-27,1.0000000000,1.0209820944,0.9676462489
2021-12-28,1.0000000000,1.0216092291,0.9748534561
2021-12-29,1.0000000000,1.0207371576,0.9605964043
2021-12-30,1.0000000000,1.0284482744,0.9680770290
2021-12-31,1.0000000000,1.0338991637,0.9717868524
2022-01-04,1.0000000000,1.0530922143,0.9673413588
2022-01-05,1.0000000000,1.0463627948,0.9575750423
2022-01-06,1.0000000000,1.0568833417,0.9477615170
2022-01-07,1.0000000000,1.0461086661,0.9485758684
2022-01-10,1.0000000000,1.0527980049,0.9528384279
2022-01-11,1.0000000000,1.0483450885,0.9437369684
2022-01-12,1.0000000000,1.0592010633,0.9531413510
2022-01-13,1.0000000000,1.0506377786,0.9374719698
2022-01-14,1.0000000000,1.0329521772,0.9297631693
2022-01-17,1.0000000000,1.0457664538,0.9377394862
2022-01-18,1.0000000000,1.0386381377,0.9468016051
2022-01-19,1.0000000000,1.0445884690,0.9403162988
2022-01-20,1.0000000000,1.0269128040,0.9488001102
2022-01-21,1.0000000000,1.0173276984,0.9401058264
2022-01-24,1.0000000000,1.0120145481,0.9415673315
2022-01-25,1.0000000000,0.9670315164,0.9202663362
2022-01-26,1.0000000000,0.9738325093,0.9269267084
2022-01-27,1.0000000000,0.9440146964,0.9087454266
2022-01-28,1.0000000000,0.9532761326,0.8977084071
2022-02-07,1.0000000000,0.9770913009,0.9115405799
2022-02-08,1.0000000000,1.0011642260,0.9065600535
2022-02-09,1.0000000000,1.0151634066,0.9150753373
2022-02-10,1.0000000000,1.0199985714,0.9126755577
2022-02-11,1.0000000000,1.0072028505,0.9051103505
2022-02-14,1.0000000000,1.0021597771,0.8953322318
2022-02-15,1.0000000000,1.0004764080,0.9048546363
2022-02-16,1.0000000000,1.0143344800,0.9083736575
2022-02-17,1.0000000000,1.0063463092,0.9105727999
2022-02-18,1.0000000000,1.0196259272,0.9149140407
2022-02-21,1.0000000000,1.0328373567,0.9115838546
2022-02-22,1.0000000000,1.0221440761,0.8997501869
2022-02-23,1.0000000000,1.0286527256,0.9093689760
2022-02-24,1.0000000000,1.0005884691,0.8909319800
2022-02-25,1.0000000000,1.0073755033,0.8996065935
2022-02-28,1.0000000000,1.0098250890,0.9012254613
2022-03-01,1.0000000000,1.0216983238,0.9087080530
2022-03-02,1.0000000000,1.0271744724,0.9006255163
2022-03-04,1.0000000000,1.0196592459,0.8844624100
2022-03-07,1.0000000000,1.0063200328,0.8562059876
2022-03-08,1.0000000000,0.9725481589,0.8390160903
2022-03-09,1.0000000000,0.9567517816,0.8313367953
2022-03-10,1.0000000000,0.9706321691,0.8444155946
2022-03-11,1.0000000000,0.9773509692,0.8471064951
2022-03-14,1.0000000000,0.9495835253,0.8211888745
2022-03-15,1.0000000000,0.8886808460,0.7836283882
2022-03-16,1.0000000000,0.9189256708,0.8175144577
2022-03-17,1.0000000000,0.9336534859,0.8335693772
2022-03-18,1.0000000000,0.9535181335,0.8391164090
2022-03-21,1.0000000000,0.9620864787,0.8377099807
2022-03-22,1.0000000000,0.9703580462,0.8370293875
2022-03-24,1.0000000000,0.9608475627,0.8362465085
2022-03-25,1.0000000000,0.9603706216,0.8211515008
2022-03-28,1.0000000000,0.9651274370,0.8160175459
2022-03-29,1.0000000000,0.9584976658,0.8131987883
2022-03-30,1.0000000000,0.9732766781,0.8367953106
2022-04-01,1.0000000000,0.9824584448,0.8411345844
2022-04-06,1.0000000000,0.9992003169,0.8387112003
2022-04-07,1.0000000000,0.9762381254,0.8279436642
2022-04-08,1.0000000000,0.9789210366,0.8322062237
2022-04-11,1.0000000000,0.9553232779,0.8064971085
2022-04-12,1.0000000000,0.9748893204,0.8222136984
2022-04-13,1.0000000000,0.9602905751,0.8143003265
2022-04-15,1.0000000000,0.9525651510,0.8239407530
2022-04-18,1.0000000000,0.9519304255,0.8195405012
2022-04-19,1.0000000000,0.9635423743,0.8133482828
2022-04-20,1.0000000000,0.9496779892,0.8007376372
2022-04-21,1.0000000000,0.9113785218,0.7859927613
2022-04-22,1.0000000000,0.9090445589,0.7894193320
2022-04-25,1.0000000000,0.8399745777,0.7504052087
2022-04-26,1.0000000000,0.8102238407,0.7443487155
2022-04-27,1.0000000000,0.8327104719,0.7662653920
2022-04-28,1.0000000000,0.8244749404,0.7712950942
2022-04-29,1.0000000000,0.8588703709,0.7900074747
2022-05-06,1.0000000000,0.8595450584,0.7688776112
2022-05-10,1.0000000000,0.8833676362,0.7710511822
2022-05-11,1.0000000000,0.8842821072,0.7821747512
2022-05-12,1.0000000000,0.8893429171,0.7786970376
2022-05-13,1.0000000000,0.9004466603,0.7845705968
2022-05-16,1.0000000000,0.9058175806,0.7782642905
2022-05-17,1.0000000000,0.9032134539,0.7879715961
2022-05-18,1.0000000000,0.9073717749,0.7852216846
2022-05-19,1.0000000000,0.9130816788,0.7867343326
2022-05-20,1.0000000000,0.9277244719,0.8020771864
2022-05-23,1.0000000000,0.9398363296,0.7974310555
2022-05-24,1.0000000000,0.9049577715,0.7787776860
2022-05-25,1.0000000000,0.9274476216,0.7835044652
2022-05-26,1.0000000000,0.9380201918,0.7854439592
2022-05-27,1.0000000000,0.9448617319,0.7870687281
2022-05-30,1.0000000000,0.9542428721,0.7925213423
2022-05-31,1.0000000000,0.9659508951,0.8048152956
2022-06-01,1.0000000000,0.9736994663,0.8031747905
2022-06-02,1.0000000000,0.9756368419,0.8044317243
2022-06-06,1.0000000000,0.9857396643,0.8194834573
2022-06-07,1.0000000000,0.9858008038,0.8220484677
2022-06-08,1.0000000000,0.9886093729,0.8300503560
2022-06-09,1.0000000000,0.9760878312,0.8213678744
2022-06-10,1.0000000000,0.9906060189,0.8338231244
2022-06-13,1.0000000000,0.9864721711,0.8240587749
2022-06-14,1.0000000000,0.9951130238,0.8305421142
2022-06-15,1.0000000000,0.9982753639,0.8415397931
2022-06-16,1.0000000000,0.9970553193,0.8360006295
2022-06-17,1.0000000000,0.9979031419,0.8476021873
2022-06-20,1.0000000000,1.0024947310,0.8518096699
2022-06-21,1.0000000000,0.9973398365,0.8508536921
2022-06-22,1.0000000000,0.9806755200,0.8400448483
2022-06-23,1.0000000000,0.9993583018,0.8544553287
2022-06-24,1.0000000000,1.0055270890,0.8644655573
2022-06-27,1.0000000000,1.0142715322,0.8742004013
2022-06-28,1.0000000000,1.0318036038,0.8832998938
2022-06-29,1.0000000000,1.0153026695,0.8696958968
2022-06-30,1.0000000000,1.0251068378,0.8822160589
2022-07-01,1.0000000000,1.0229221889,0.8786183563
2022-07-04,1.0000000000,1.0304577892,0.8843837287
2022-07-05,1.0000000000,1.0267334246,0.8831071246
2022-07-06,1.0000000000,1.0093139084,0.8702092923
2022-07-07,1.0000000000,1.0185584319,0.8740450057
2022-07-08,1.0000000000,1.0229124408,0.8711554349
2022-07-11,1.0000000000,1.0170227613,0.8565679216
2022-07-12,1.0000000000,1.0121439073,0.8485030882
2022-07-13,1.0000000000,1.0252305620,0.8500452417
2022-07-14,1.0000000000,1.0207348552,0.8501652307
2022-07-15,1.0000000000,0.9970937372,0.8356996735
2022-07-18,1.0000000000,1.0263271119,0.8443664188
2022-07-19,1.0000000000,1.0363403523,0.8397930682
2022-07-20,1.0000000000,1.0470662754,0.8426373972
2022-07-21,1.0000000000,1.0390408587,0.8332467839
2022-07-22,1.0000000000,1.0387740892,0.8336736300
2022-07-25,1.0000000000,1.0305051017,0.8286399937
2022-07-26,1.0000000000,1.0456181331,0.8351980802
2022-07-27,1.0000000000,1.0478484198,0.8310791140
2022-07-28,1.0000000000,1.0539097492,0.8312030371
2022-07-29,1.0000000000,1.0457524574,0.8202722373
2022-08-01,1.0000000000,1.0468806011,0.8239269838
2022-08-02,1.0000000000,1.0021708133,0.8078641961
2022-08-03,1.0000000000,0.9946825048,0.7999881978
2022-08-04,1.0000000000,1.0074679518,0.8067862622
2022-08-05,1.0000000000,1.0176542568,0.8176777214
2022-08-08,1.0000000000,1.0264709350,0.8159388646
2022-08-09,1.0000000000,1.0292619274,0.8175557654
