rank,name,factor_set,description,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,risk_control_mode,soft_exposure_min,state_aware_risk_control,portfolio_mode,softmax_temperature,adaptive_top_k,risk_control_dual_ma,regime_aware_factors,bull_exposure,sideways_exposure,bear_exposure,bull_threshold,bear_threshold,rebalances,final_equity,annualized_return,max_drawdown,sharpe_ratio,calmar_ratio,monthly_win_rate,max_consecutive_losing_months,average_turnover,total_transaction_cost,equal_weight_final_equity,excess_return_vs_equal_weight,benchmark_final_equity,excess_return_vs_benchmark
1,ret60_ret5_top5_softoff0p2_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.000000,true,false,0.000000,soft,0.200000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.3494624658,0.0729240688,-0.2448267212,0.5148941360,0.2978599250,0.3272727273,4.0000000000,0.6291666667,0.0302000000,1.0374609450,0.3007356781,0.9667099414,0.3959331626
2,ret60_ret5_top5_softoff0p3_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.000000,true,false,0.000000,soft,0.300000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.3494624658,0.0729240688,-0.2448267212,0.5148941360,0.2978599250,0.3272727273,4.0000000000,0.6291666667,0.0302000000,1.0374609450,0.3007356781,0.9667099414,0.3959331626
3,ret60_ret5_top5_softoff0p4_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.000000,true,false,0.000000,soft,0.400000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.3494624658,0.0729240688,-0.2448267212,0.5148941360,0.2978599250,0.3272727273,4.0000000000,0.6291666667,0.0302000000,1.0374609450,0.3007356781,0.9667099414,0.3959331626
4,ret60_ret5_top5_softoff0p5_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.000000,true,false,0.000000,soft,0.500000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.3494624658,0.0729240688,-0.2448267212,0.5148941360,0.2978599250,0.3272727273,4.0000000000,0.6291666667,0.0302000000,1.0374609450,0.3007356781,0.9667099414,0.3959331626
5,ret60_ret5_top8_softoff0p2_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,8,0.000000,true,false,0.000000,soft,0.200000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.2965923639,0.0629002715,-0.1691206369,0.4887868639,0.3719254651,0.3090909091,4.0000000000,0.5520833333,0.0265000000,1.0374609450,0.2497746254,0.9667099414,0.3412424021
6,ret60_ret5_top8_softoff0p3_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,8,0.000000,true,false,0.000000,soft,0.300000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.2965923639,0.0629002715,-0.1691206369,0.4887868639,0.3719254651,0.3090909091,4.0000000000,0.5520833333,0.0265000000,1.0374609450,0.2497746254,0.9667099414,0.3412424021
7,ret60_ret5_top8_softoff0p4_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,8,0.000000,true,false,0.000000,soft,0.400000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.2965923639,0.0629002715,-0.1691206369,0.4887868639,0.3719254651,0.3090909091,4.0000000000,0.5520833333,0.0265000000,1.0374609450,0.2497746254,0.9667099414,0.3412424021
8,ret60_ret5_top8_softoff0p5_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,8,0.000000,true,false,0.000000,soft,0.500000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.2965923639,0.0629002715,-0.1691206369,0.4887868639,0.3719254651,0.3090909091,4.0000000000,0.5520833333,0.0265000000,1.0374609450,0.2497746254,0.9667099414,0.3412424021
9,ret60_ret5_top5_softoff0p2_riskctrl1_mscore1,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.000000,true,true,0.000000,soft,0.200000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.2783354194,0.0593662380,-0.2033205928,0.5014204553,0.2919834003,0.4727272727,4.0000000000,0.5660617648,0.0271709647,1.0374609450,0.2321769080,0.9667099414,0.3223567532
10,ret60_ret5_top5_softoff0p3_riskctrl1_mscore1,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.000000,true,true,0.000000,soft,0.300000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.2611056216,0.0559954318,-0.2084258826,0.4616896703,0.2686587247,0.4909090909,4.0000000000,0.6270748775,0.0300995941,1.0374609450,0.2155692488,0.9667099414,0.3045336224
11,ret60_ret5_top5_softoff0p4_riskctrl1_mscore1,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.000000,true,true,0.000000,soft,0.400000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.2431041620,0.0524358060,-0.2135556646,0.4225250633,0.2455369476,0.4909090909,4.0000000000,0.6880879903,0.0330282235,1.0374609450,0.1982177912,0.9667099414,0.2859122564
12,ret60_ret5_top5_softoff0p5_riskctrl1_mscore1,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,5,0.000000,true,true,0.000000,soft,0.500000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.2243703425,0.0486892325,-0.2192921828,0.3849756566,0.2220290385,0.4909090909,4.0000000000,0.7491011030,0.0359568529,1.0374609450,0.1801604179,0.9667099414,0.2665333106
13,ret60_ret5_top8_softoff0p2_riskctrl1_mscore1,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,8,0.000000,true,true,0.000000,soft,0.200000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.2032545183,0.0444133266,-0.1566585428,0.4230087274,0.2835040197,0.4363636364,7.0000000000,0.5084821218,0.0244071418,1.0374609450,0.1598070501,0.9667099414,0.2446903324
14,ret60_ret5_top3_softoff0p2_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,3,0.000000,true,false,0.000000,soft,0.200000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.1926012095,0.0422342301,-0.2669268613,0.3380099675,0.1582239788,0.2909090909,4.0000000000,0.6187500000,0.0297000000,1.0374609450,0.1495384142,0.9667099414,0.2336701615
15,ret60_ret5_top3_softoff0p3_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,3,0.000000,true,false,0.000000,soft,0.300000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.1926012095,0.0422342301,-0.2669268613,0.3380099675,0.1582239788,0.2909090909,4.0000000000,0.6187500000,0.0297000000,1.0374609450,0.1495384142,0.9667099414,0.2336701615
16,ret60_ret5_top3_softoff0p4_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,3,0.000000,true,false,0.000000,soft,0.400000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.1926012095,0.0422342301,-0.2669268613,0.3380099675,0.1582239788,0.2909090909,4.0000000000,0.6187500000,0.0297000000,1.0374609450,0.1495384142,0.9667099414,0.2336701615
17,ret60_ret5_top3_softoff0p5_riskctrl1_mscore0,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,3,0.000000,true,false,0.000000,soft,0.500000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.1926012095,0.0422342301,-0.2669268613,0.3380099675,0.1582239788,0.2909090909,4.0000000000,0.6187500000,0.0297000000,1.0374609450,0.1495384142,0.9667099414,0.2336701615
18,ret60_ret5_top8_softoff0p3_riskctrl1_mscore1,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,8,0.000000,true,true,0.000000,soft,0.300000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.1897363122,0.0416456853,-0.1687756049,0.3869349254,0.2467518060,0.4363636364,7.0000000000,0.5614583149,0.0269499991,1.0374609450,0.1467769634,0.9667099414,0.2307066073
19,ret60_ret5_top8_softoff0p4_riskctrl1_mscore1,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,8,0.000000,true,true,0.000000,soft,0.400000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.1754737581,0.0386994409,-0.2056729829,0.3515464713,0.1881600607,0.4363636364,7.0000000000,0.6144345080,0.0294928564,1.0374609450,0.1330294059,0.9667099414,0.2159529015
20,ret60_ret5_top3_softoff0p2_riskctrl1_mscore1,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,3,0.000000,true,true,0.000000,soft,0.200000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.1727996960,0.0381440132,-0.2316343435,0.3371411803,0.1646733926,0.4363636364,4.0000000000,0.6126462938,0.0294070221,1.0374609450,0.1304518996,0.9667099414,0.2131867542
21,ret60_ret5_top8_softoff0p5_riskctrl1_mscore1,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,8,0.000000,true,true,0.000000,soft,0.500000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.1604967190,0.0355760130,-0.2412809087,0.3178804581,0.1474464484,0.4363636364,7.0000000000,0.6674107011,0.0320357137,1.0374609450,0.1185931621,0.9667099414,0.2004601063
22,ret60_ret5_top3_softoff0p3_riskctrl1_mscore1,ret60_ret5,60-day momentum with 5-day overheating penalty,ret60;ret5,3,0.000000,true,true,0.000000,soft,0.300000,false,equal,1.000000,false,false,false,1.000000,0.500000,0.100000,1.500000,0.000000,48,1.1542797160,0.0342704076,-0.2373594092,0.3025426420,0.1443819216,0.4363636364,4.0000000000,0.6844320670,0.0328527392,1.0374609450,0.1126006444,0.9667099414,0.1940290118
