rank,name,factor_set,year,annual_return
1,ret60_ret5_top5_softoff0p2_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
1,ret60_ret5_top5_softoff0p2_riskctrl1_mscore0,ret60_ret5,2022,0.0000000000
1,ret60_ret5_top5_softoff0p2_riskctrl1_mscore0,ret60_ret5,2023,0.0280456999
1,ret60_ret5_top5_softoff0p2_riskctrl1_mscore0,ret60_ret5,2024,0.0488218767
1,ret60_ret5_top5_softoff0p2_riskctrl1_mscore0,ret60_ret5,2025,0.1151451674
1,ret60_ret5_top5_softoff0p2_riskctrl1_mscore0,ret60_ret5,2026,0.1223162330
2,ret60_ret5_top5_softoff0p3_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
2,ret60_ret5_top5_softoff0p3_riskctrl1_mscore0,ret60_ret5,2022,0.0000000000
2,ret60_ret5_top5_softoff0p3_riskctrl1_mscore0,ret60_ret5,2023,0.0280456999
2,ret60_ret5_top5_softoff0p3_riskctrl1_mscore0,ret60_ret5,2024,0.0488218767
2,ret60_ret5_top5_softoff0p3_riskctrl1_mscore0,ret60_ret5,2025,0.1151451674
2,ret60_ret5_top5_softoff0p3_riskctrl1_mscore0,ret60_ret5,2026,0.1223162330
3,ret60_ret5_top5_softoff0p4_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
3,ret60_ret5_top5_softoff0p4_riskctrl1_mscore0,ret60_ret5,2022,0.0000000000
3,ret60_ret5_top5_softoff0p4_riskctrl1_mscore0,ret60_ret5,2023,0.0280456999
3,ret60_ret5_top5_softoff0p4_riskctrl1_mscore0,ret60_ret5,2024,0.0488218767
3,ret60_ret5_top5_softoff0p4_riskctrl1_mscore0,ret60_ret5,2025,0.1151451674
3,ret60_ret5_top5_softoff0p4_riskctrl1_mscore0,ret60_ret5,2026,0.1223162330
4,ret60_ret5_top5_softoff0p5_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
4,ret60_ret5_top5_softoff0p5_riskctrl1_mscore0,ret60_ret5,2022,0.0000000000
4,ret60_ret5_top5_softoff0p5_riskctrl1_mscore0,ret60_ret5,2023,0.0280456999
4,ret60_ret5_top5_softoff0p5_riskctrl1_mscore0,ret60_ret5,2024,0.0488218767
4,ret60_ret5_top5_softoff0p5_riskctrl1_mscore0,ret60_ret5,2025,0.1151451674
4,ret60_ret5_top5_softoff0p5_riskctrl1_mscore0,ret60_ret5,2026,0.1223162330
5,ret60_ret5_top8_softoff0p2_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
5,ret60_ret5_top8_softoff0p2_riskctrl1_mscore0,ret60_ret5,2022,0.0000000000
5,ret60_ret5_top8_softoff0p2_riskctrl1_mscore0,ret60_ret5,2023,-0.0243408457
5,ret60_ret5_top8_softoff0p2_riskctrl1_mscore0,ret60_ret5,2024,0.0293220654
5,ret60_ret5_top8_softoff0p2_riskctrl1_mscore0,ret60_ret5,2025,0.1678918423
5,ret60_ret5_top8_softoff0p2_riskctrl1_mscore0,ret60_ret5,2026,0.1054813701
6,ret60_ret5_top8_softoff0p3_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
6,ret60_ret5_top8_softoff0p3_riskctrl1_mscore0,ret60_ret5,2022,0.0000000000
6,ret60_ret5_top8_softoff0p3_riskctrl1_mscore0,ret60_ret5,2023,-0.0243408457
6,ret60_ret5_top8_softoff0p3_riskctrl1_mscore0,ret60_ret5,2024,0.0293220654
6,ret60_ret5_top8_softoff0p3_riskctrl1_mscore0,ret60_ret5,2025,0.1678918423
6,ret60_ret5_top8_softoff0p3_riskctrl1_mscore0,ret60_ret5,2026,0.1054813701
7,ret60_ret5_top8_softoff0p4_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
7,ret60_ret5_top8_softoff0p4_riskctrl1_mscore0,ret60_ret5,2022,0.0000000000
7,ret60_ret5_top8_softoff0p4_riskctrl1_mscore0,ret60_ret5,2023,-0.0243408457
7,ret60_ret5_top8_softoff0p4_riskctrl1_mscore0,ret60_ret5,2024,0.0293220654
7,ret60_ret5_top8_softoff0p4_riskctrl1_mscore0,ret60_ret5,2025,0.1678918423
7,ret60_ret5_top8_softoff0p4_riskctrl1_mscore0,ret60_ret5,2026,0.1054813701
8,ret60_ret5_top8_softoff0p5_riskctrl1_mscore0,ret60_ret5,2021,0.0000000000
8,ret60_ret5_top8_softoff0p5_riskctrl1_mscore0,ret60_ret5,2022,0.0000000000
8,ret60_ret5_top8_softoff0p5_riskctrl1_mscore0,ret60_ret5,2023,-0.0243408457
8,ret60_ret5_top8_softoff0p5_riskctrl1_mscore0,ret60_ret5,2024,0.0293220654
8,ret60_ret5_top8_softoff0p5_riskctrl1_mscore0,ret60_ret5,2025,0.1678918423
8,ret60_ret5_top8_softoff0p5_riskctrl1_mscore0,ret60_ret5,2026,0.1054813701
9,ret60_ret5_top5_softoff0p2_riskctrl1_mscore1,ret60_ret5,2021,0.0000000000
9,ret60_ret5_top5_softoff0p2_riskctrl1_mscore1,ret60_ret5,2022,-0.0207204211
9,ret60_ret5_top5_softoff0p2_riskctrl1_mscore1,ret60_ret5,2023,-0.0011832015
9,ret60_ret5_top5_softoff0p2_riskctrl1_mscore1,ret60_ret5,2024,0.0637579373
9,ret60_ret5_top5_softoff0p2_riskctrl1_mscore1,ret60_ret5,2025,0.1284372198
9,ret60_ret5_top5_softoff0p2_riskctrl1_mscore1,ret60_ret5,2026,0.0887597828
10,ret60_ret5_top5_softoff0p3_riskctrl1_mscore1,ret60_ret5,2021,0.0000000000
10,ret60_ret5_top5_softoff0p3_riskctrl1_mscore1,ret60_ret5,2022,-0.0312018978
10,ret60_ret5_top5_softoff0p3_riskctrl1_mscore1,ret60_ret5,2023,-0.0135254189
10,ret60_ret5_top5_softoff0p3_riskctrl1_mscore1,ret60_ret5,2024,0.0685508201
