section,name,value
summary,folds,27
summary,selection_metric,composite
summary,first_train_start,2010-01-04
summary,last_test_end,2026-03-05
test_mean,final_equity,1.0334822883
test_median,final_equity,1.0000000000
test_std,final_equity,0.1262194044
train_mean,final_equity,1.0977275830
train_median,final_equity,1.0209761502
train_std,final_equity,0.2602157491
test_mean,annualized_return,0.0849839196
test_median,annualized_return,0.0000000000
test_std,annualized_return,0.2837784341
bootstrap_ci_lower,annualized_return,-0.0139634987
bootstrap_ci_upper,annualized_return,0.1982447486
bootstrap_p_positive,annualized_return,0.9493000000
train_mean,annualized_return,0.0414684153
train_median,annualized_return,0.0104544955
train_std,annualized_return,0.1154558792
test_mean,max_drawdown,-0.0967216504
test_median,max_drawdown,-0.0948786460
test_std,max_drawdown,0.0774641007
train_mean,max_drawdown,-0.2070010375
train_median,max_drawdown,-0.1821612713
train_std,max_drawdown,0.0876946157
test_mean,sharpe_ratio,0.3070842914
test_median,sharpe_ratio,0.0775684506
test_std,sharpe_ratio,1.4774767729
train_mean,sharpe_ratio,0.1799066548
train_median,sharpe_ratio,0.1446941068
train_std,sharpe_ratio,0.6190198957
test_mean,calmar_ratio,1.5122005924
test_median,calmar_ratio,0.0000000000
test_std,calmar_ratio,3.5994119956
train_mean,calmar_ratio,0.1326022350
train_median,calmar_ratio,0.0714838553
train_std,calmar_ratio,0.4084364772
test_mean,monthly_win_rate,0.3465608466
test_median,monthly_win_rate,0.2857142857
test_std,monthly_win_rate,0.2718728637
train_mean,monthly_win_rate,0.3129344729
train_median,monthly_win_rate,0.3461538462
train_std,monthly_win_rate,0.1464479029
test_mean,max_consecutive_losing_months,1.3333333333
test_median,max_consecutive_losing_months,1.0000000000
test_std,max_consecutive_losing_months,0.8606629658
train_mean,max_consecutive_losing_months,2.3703703704
train_median,max_consecutive_losing_months,2.0000000000
train_std,max_consecutive_losing_months,0.5543196129
test_mean,average_turnover,0.5060846561
test_median,average_turnover,0.5666666667
test_std,average_turnover,0.2943715831
train_mean,average_turnover,0.4755327635
train_median,average_turnover,0.4560000000
train_std,average_turnover,0.1221044090
test_mean,total_transaction_cost,0.0031888889
test_median,total_transaction_cost,0.0036000000
test_std,total_transaction_cost,0.0018898037
train_mean,total_transaction_cost,0.0118925926
train_median,total_transaction_cost,0.0114000000
train_std,total_transaction_cost,0.0031136409
test_mean,equal_weight_final_equity,1.0416787024
test_median,equal_weight_final_equity,1.0400224206
test_std,equal_weight_final_equity,0.1280066800
train_mean,equal_weight_final_equity,1.1070726684
train_median,equal_weight_final_equity,1.0284015905
train_std,equal_weight_final_equity,0.2988946510
test_mean,excess_return_vs_equal_weight,-0.0010420559
test_median,excess_return_vs_equal_weight,-0.0078566010
test_std,excess_return_vs_equal_weight,0.1139212865
train_mean,excess_return_vs_equal_weight,0.0185049173
train_median,excess_return_vs_equal_weight,0.0346178336
train_std,excess_return_vs_equal_weight,0.1764816717
test_mean,benchmark_final_equity,1.0306296914
test_median,benchmark_final_equity,1.0113590964
test_std,benchmark_final_equity,0.1525300647
train_mean,benchmark_final_equity,1.0589989737
train_median,benchmark_final_equity,1.0085624343
train_std,benchmark_final_equity,0.2568048123
test_mean,excess_return_vs_benchmark,0.0113486272
test_median,excess_return_vs_benchmark,-0.0025324547
test_std,excess_return_vs_benchmark,0.1094950372
train_mean,excess_return_vs_benchmark,0.0565509872
train_median,excess_return_vs_benchmark,0.0806972760
train_std,excess_return_vs_benchmark,0.1679871151
selection_count,ret60_ret5_top3_riskoff0,20
selection_count,ret60_ret5_top5_riskoff0,7
