date,signal_date,end_date,trading_days,calendar_days,strategy_return,benchmark_return,industry_equal_weight_return,excess_vs_benchmark,excess_vs_equal_weight,exposure,turnover,cost,risk_on,market_trend,market_score,market_score_ok,selected_industries
2022-06-24,2022-06-23,2022-07-21,19,27,-0.0149964160,-0.0361133802,-0.0048750151,0.0211169642,-0.0101214010,0.7954385723,0.7954385723,0.0007954386,false,false,0.0420434399,true,煤炭;汽车;美容护理;石油石化;食品饮料
2022-07-22,2022-07-21,2022-08-18,19,27,0.0185735570,-0.0137156313,0.0071917747,0.0322891883,0.0113817823,0.7507523553,1.2458899855,0.0012458900,false,false,0.0740440180,true,电力设备;汽车;公用事业;有色金属;国防军工
2022-08-19,2022-08-18,2022-09-16,19,28,-0.0786362376,-0.0526105317,-0.0509477209,-0.0260257059,-0.0276885167,0.8063650537,0.9565155247,0.0009565155,false,false,0.0946746318,true,国防军工;美容护理;电力设备;机械设备;电子
2022-09-19,2022-09-16,2022-10-21,19,32,-0.0010049101,-0.0471257637,-0.0240833264,0.0461208537,0.0230784163,0.8491074982,1.6554725519,0.0016554726,false,false,-0.0972134975,false,煤炭;通信;综合;公用事业;石油石化
2022-10-24,2022-10-21,2022-11-18,19,25,0.0117084539,0.0462931108,0.0540758266,-0.0345846569,-0.0423673726,0.7147010142,0.7061672954,0.0007061673,false,false,-0.1129130554,false,煤炭;综合;石油石化;房地产;交通运输
2022-11-21,2022-11-18,2022-12-16,19,25,0.0270393973,0.0491094762,0.0263493293,-0.0220700789,0.0006900680,0.4496138269,0.8046237796,0.0008046238,false,false,-0.0971876906,false,社会服务;综合;商贸零售;交通运输;医药生物
2022-12-19,2022-12-16,2023-01-16,19,28,0.0259869492,0.0628631313,0.0356664886,-0.0368761821,-0.0096795395,0.7703883343,0.5006200381,0.0005006200,false,false,0.0070935879,true,综合;医药生物;计算机;社会服务;商贸零售
2023-01-17,2023-01-16,2023-02-20,19,34,0.0436127408,-0.0009064014,0.0344560272,0.0445191421,0.0091567136,0.8649436198,1.3271766204,0.0013271766,true,true,0.0850041175,true,社会服务;传媒;食品饮料;美容护理;轻工制造
2023-02-21,2023-02-20,2023-03-20,19,27,-0.0235708602,-0.0495300831,-0.0418430639,0.0259592229,0.0182722037,0.7990934434,0.3854875538,0.0003854876,true,true,0.0704275351,true,食品饮料;美容护理;社会服务;计算机;传媒
2023-03-21,2023-03-20,2023-04-18,19,28,0.0799174899,0.0451112149,0.0252105875,0.0348062750,0.0547069024,1.0000000000,1.1598186887,0.0011598187,false,true,-0.0057165123,false,计算机;通信;国防军工;传媒;石油石化
2023-04-19,2023-04-18,2023-05-19,19,30,-0.0670360276,-0.0436458677,-0.0429302352,-0.0233901599,-0.0241057924,1.0000000000,0.8000000000,0.0008000000,true,true,0.0029569771,true,传媒;计算机;通信;电子;社会服务
