industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
通信,20,0.4166666667,11,9,0.1728728198
煤炭,15,0.3125000000,4,11,0.1687068880
综合,15,0.3125000000,7,8,0.1549020356
公用事业,13,0.2708333333,0,13,0.1731286387
石油石化,13,0.2708333333,5,8,0.1674369152
银行,13,0.2708333333,3,10,0.1826117071
传媒,12,0.2500000000,7,5,0.1820328658
计算机,12,0.2500000000,8,4,0.1461940744
国防军工,11,0.2291666667,5,6,0.1851141032
有色金属,11,0.2291666667,10,1,0.1684406177
电子,11,0.2291666667,5,6,0.1704505483
汽车,9,0.1875000000,1,8,0.1759287000
美容护理,8,0.1666666667,3,5,0.1501954037
医药生物,7,0.1458333333,1,6,0.1755850118
电力设备,7,0.1458333333,5,2,0.1467203022
非银金融,7,0.1458333333,3,4,0.1432056549
食品饮料,7,0.1458333333,2,5,0.1664835527
农林牧渔,6,0.1250000000,0,6,0.1781964109
家用电器,6,0.1250000000,2,4,0.1728846175
社会服务,6,0.1250000000,3,3,0.1442004894
机械设备,5,0.1041666667,2,3,0.1696022237
交通运输,4,0.0833333333,0,4,0.1537336038
商贸零售,4,0.0833333333,1,3,0.1258081125
房地产,4,0.0833333333,2,2,0.1333177134
基础化工,3,0.0625000000,3,0,0.1851413278
纺织服饰,3,0.0625000000,0,3,0.1740688793
轻工制造,3,0.0625000000,1,2,0.1635554550
建筑材料,2,0.0416666667,0,2,0.1366747009
钢铁,2,0.0416666667,1,1,0.1682007885
建筑装饰,1,0.0208333333,0,1,0.1795076588
