fold,rank_by_train,rank_by_test,selected_by_train,selection_metric,train_selection_score,test_selection_score,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,111,true,composite,1.0842359991,-0.9437591865,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,3,0.000000,true,false,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,1.0707118220,0.0348223370,-0.0883117440,0.3996608797,0.3943115090,0.1153846154,1.0000000000,0.1800000000,0.0036000000,0.7521286588,0.4235753545,0.6351705417,0.6857076198,0.9825217364,-0.0349233482,-0.0811192346,-0.2546709587,-0.4305187092,0.4285714286,2.0000000000,1.0000000000,0.0060000000,0.9160617189,0.0725497160,1.0354258214,-0.0510940368
1,2,126,false,composite,0.8651891444,-1.1579269964,ret60_ret120_ret5_top3_riskoff0p5_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,3,0.500000,true,false,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,1.0682465837,0.0336279795,-0.1010800022,0.3519615248,0.3326867705,0.3846153846,4.0000000000,0.5547072860,0.0110941457,0.7521286588,0.4202976728,0.6351705417,0.6818263971,0.9746773199,-0.0503939023,-0.0913170797,-0.3287401734,-0.5518562628,0.5714285714,2.0000000000,1.0000000000,0.0060000000,0.9160617189,0.0639865195,1.0354258214,-0.0586700661
1,3,71,false,composite,0.7211139426,-0.2891391033,ret60_ret120_ret5_top3_riskoff0p2_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,3,0.200000,true,false,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,1.0481482991,0.0238389982,-0.1000042545,0.2866625547,0.2383798402,0.3846153846,3.0000000000,0.3900000000,0.0078000000,0.7521286588,0.3935758023,0.6351705417,0.6501840533,0.9979305671,-0.0041675908,-0.0848027553,0.0221043899,-0.0491445215,0.7142857143,2.0000000000,1.0666666667,0.0064000000,0.9160617189,0.0893704502,1.0354258214,-0.0362124002
1,4,112,false,composite,0.7144961294,-0.9517678238,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,rel_ret60_ret5,rel_ret60;ret5,5,0.000000,true,false,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,1.0392270367,0.0194638472,-0.0948297600,0.2760026606,0.2052504112,0.1153846154,1.0000000000,0.2145665324,0.0042913306,0.7521286588,0.3817144507,0.6351705417,0.6361385933,0.9807727809,-0.0383835069,-0.1005001993,-0.3066501113,-0.3819246845,0.2857142857,3.0000000000,0.9333333333,0.0056000000,0.9160617189,0.0706405046,1.0354258214,-0.0527831538
1,5,113,false,composite,0.7144961294,-0.9517678238,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,1.0392270367,0.0194638472,-0.0948297600,0.2760026606,0.2052504112,0.1153846154,1.0000000000,0.2145665324,0.0042913306,0.7521286588,0.3817144507,0.6351705417,0.6361385933,0.9807727809,-0.0383835069,-0.1005001993,-0.3066501113,-0.3819246845,0.2857142857,3.0000000000,0.9333333333,0.0056000000,0.9160617189,0.0706405046,1.0354258214,-0.0527831538
1,6,57,false,composite,0.5359140797,0.0230796525,ret60_ret120_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,3,0.300000,true,false,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,1.0366666010,0.0182047043,-0.1107043906,0.2276139872,0.1644442846,0.3846153846,3.0000000000,0.4950000000,0.0099000000,0.7521286588,0.3783101985,0.6351705417,0.6321074938,1.0056440896,0.0114111100,-0.0866464905,0.1552380706,0.1316973134,0.7142857143,2.0000000000,1.1000000000,0.0066000000,0.9160617189,0.0977907590,1.0354258214,-0.0287627864
1,7,201,false,composite,0.5149451277,-2.1147291744,ret60_ret120_top3_riskoff0_riskctrl1_mscore0,ret60_ret120,ret60;ret120,3,0.000000,true,false,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,1.0258088302,0.0128478651,-0.0997367285,0.1744899216,0.1288177913,0.0769230769,2.0000000000,0.2100000000,0.0042000000,0.7521286588,0.3638741433,0.6351705417,0.6150132331,0.9434104512,-0.1108058902,-0.1225744391,-0.9180208624,-0.9039885561,0.2857142857,3.0000000000,0.8000000000,0.0048000000,0.9160617189,0.0298546832,1.0354258214,-0.0888671774
1,8,193,false,composite,0.4797309873,-1.9864803486,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,5,0.000000,true,false,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,1.0221423085,0.0110325483,-0.1009913182,0.1674524882,0.1092425420,0.1153846154,1.0000000000,0.2198880337,0.0043977607,0.7521286588,0.3589992836,0.6351705417,0.6092407336,0.9531069362,-0.0922849706,-0.1144430694,-0.8727603799,-0.8063832183,0.2857142857,3.0000000000,0.9333333333,0.0056000000,0.9160617189,0.0404396522,1.0354258214,-0.0795024457
1,9,69,false,composite,0.3707504347,-0.2813042900,rel_ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,rel_ret60_ret5,rel_ret60;ret5,5,0.200000,true,false,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,1.0174301519,0.0086947532,-0.1041377884,0.1446477352,0.0834927775,0.3461538462,3.0000000000,0.4239459175,0.0084789184,0.7521286588,0.3527341898,0.6351705417,0.6018220069,0.9978975393,-0.0042340339,-0.1023899386,0.0162909671,-0.0413520505,0.5714285714,3.0000000000,0.9727506563,0.0058365039,0.9160617189,0.0893343960,1.0354258214,-0.0362442981
1,10,70,false,composite,0.3707504347,-0.2813042900,ret60_ret5_top5_riskoff0p2_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.200000,true,false,0.000000,2021-12-13,2024-01-17,2024-01-18,2024-07-29,1.0174301519,0.0086947532,-0.1041377884,0.1446477352,0.0834927775,0.3461538462,3.0000000000,0.4239459175,0.0084789184,0.7521286588,0.3527341898,0.6351705417,0.6018220069,0.9978975393,-0.0042340339,-0.1023899386,0.0162909671,-0.0413520505,0.5714285714,3.0000000000,0.9727506563,0.0058365039,0.9160617189,0.0893343960,1.0354258214,-0.0362442981
