rank_by_oos_final_equity,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,folds,first_test_start,last_test_end,oos_final_equity,equal_weight_final_equity,oos_excess_vs_equal_weight,benchmark_final_equity,oos_excess_vs_benchmark
1,ret60_ret120_ret5_top8_riskoff0_riskctrl0_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,8,0.000000,false,false,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
2,ret60_ret120_ret5_top8_riskoff0_riskctrl0_mscore1,ret60_ret120_ret5,ret60;ret120;ret5,8,0.000000,false,true,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
3,ret60_ret120_ret5_top8_riskoff0_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,8,0.000000,true,false,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
4,ret60_ret120_ret5_top8_riskoff0_riskctrl1_mscore1,ret60_ret120_ret5,ret60;ret120;ret5,8,0.000000,true,true,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
5,ret60_ret120_ret5_top8_riskoff0p2_riskctrl0_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,8,0.200000,false,false,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
6,ret60_ret120_ret5_top8_riskoff0p2_riskctrl0_mscore1,ret60_ret120_ret5,ret60;ret120;ret5,8,0.200000,false,true,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
7,ret60_ret120_ret5_top8_riskoff0p2_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,8,0.200000,true,false,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
8,ret60_ret120_ret5_top8_riskoff0p2_riskctrl1_mscore1,ret60_ret120_ret5,ret60;ret120;ret5,8,0.200000,true,true,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
9,ret60_ret120_ret5_top8_riskoff0p3_riskctrl0_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,8,0.300000,false,false,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
10,ret60_ret120_ret5_top8_riskoff0p3_riskctrl0_mscore1,ret60_ret120_ret5,ret60;ret120;ret5,8,0.300000,false,true,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
11,ret60_ret120_ret5_top8_riskoff0p3_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,8,0.300000,true,false,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
12,ret60_ret120_ret5_top8_riskoff0p3_riskctrl1_mscore1,ret60_ret120_ret5,ret60;ret120;ret5,8,0.300000,true,true,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
13,ret60_ret120_ret5_top8_riskoff0p5_riskctrl0_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,8,0.500000,false,false,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
14,ret60_ret120_ret5_top8_riskoff0p5_riskctrl0_mscore1,ret60_ret120_ret5,ret60;ret120;ret5,8,0.500000,false,true,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
15,ret60_ret120_ret5_top8_riskoff0p5_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,8,0.500000,true,false,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
16,ret60_ret120_ret5_top8_riskoff0p5_riskctrl1_mscore1,ret60_ret120_ret5,ret60;ret120;ret5,8,0.500000,true,true,0.000000,4,2024-01-18,2026-02-24,1.3970824253,1.4498270513,-0.0363799434,1.4419284927,-0.0311014503
17,ret60_top5_riskoff0_riskctrl0_mscore0,ret60,ret60,5,0.000000,false,false,0.000000,4,2024-01-18,2026-02-24,1.3873600052,1.4498270513,-0.0430858605,1.4419284927,-0.0378441010
18,ret60_top5_riskoff0_riskctrl0_mscore1,ret60,ret60,5,0.000000,false,true,0.000000,4,2024-01-18,2026-02-24,1.3873600052,1.4498270513,-0.0430858605,1.4419284927,-0.0378441010
19,ret60_top5_riskoff0_riskctrl1_mscore0,ret60,ret60,5,0.000000,true,false,0.000000,4,2024-01-18,2026-02-24,1.3873600052,1.4498270513,-0.0430858605,1.4419284927,-0.0378441010
20,ret60_top5_riskoff0_riskctrl1_mscore1,ret60,ret60,5,0.000000,true,true,0.000000,4,2024-01-18,2026-02-24,1.3873600052,1.4498270513,-0.0430858605,1.4419284927,-0.0378441010
21,ret60_top5_riskoff0p2_riskctrl0_mscore0,ret60,ret60,5,0.200000,false,false,0.000000,4,2024-01-18,2026-02-24,1.3873600052,1.4498270513,-0.0430858605,1.4419284927,-0.0378441010
22,ret60_top5_riskoff0p2_riskctrl0_mscore1,ret60,ret60,5,0.200000,false,true,0.000000,4,2024-01-18,2026-02-24,1.3873600052,1.4498270513,-0.0430858605,1.4419284927,-0.0378441010
23,ret60_top5_riskoff0p2_riskctrl1_mscore0,ret60,ret60,5,0.200000,true,false,0.000000,4,2024-01-18,2026-02-24,1.3873600052,1.4498270513,-0.0430858605,1.4419284927,-0.0378441010
