section,name,value
summary,folds,4
summary,selection_metric,composite
summary,first_train_start,2021-12-13
summary,last_test_end,2026-02-24
test_mean,final_equity,1.0510084806
test_median,final_equity,0.9828977985
test_std,final_equity,0.1502057542
train_mean,final_equity,1.0640500568
train_median,final_equity,1.0681099722
train_std,final_equity,0.0153881591
test_mean,annualized_return,0.1286407386
test_median,annualized_return,-0.0341783784
test_std,annualized_return,0.3436324673
bootstrap_ci_lower,annualized_return,-0.1107300420
bootstrap_ci_upper,annualized_return,0.5308306362
bootstrap_p_positive,annualized_return,0.6910000000
train_mean,annualized_return,0.0315646140
train_median,annualized_return,0.0335531734
train_std,annualized_return,0.0074875753
test_mean,max_drawdown,-0.1364812308
test_median,max_drawdown,-0.1318148683
test_std,max_drawdown,0.0528261584
train_mean,max_drawdown,-0.1261311979
train_median,max_drawdown,-0.1272167548
train_std,max_drawdown,0.0242719555
test_mean,sharpe_ratio,0.3376149543
test_median,sharpe_ratio,-0.1546489570
test_std,sharpe_ratio,1.1121118615
train_mean,sharpe_ratio,0.3205757811
train_median,sharpe_ratio,0.3316060362
train_std,sharpe_ratio,0.0585950980
test_mean,calmar_ratio,1.7228411535
test_median,calmar_ratio,-0.3103513879
test_std,calmar_ratio,3.7381259900
train_mean,calmar_ratio,0.2496807407
train_median,calmar_ratio,0.2548804847
train_std,calmar_ratio,0.0355681804
test_mean,monthly_win_rate,0.4508928571
test_median,monthly_win_rate,0.4017857143
test_std,monthly_win_rate,0.1604039663
train_mean,monthly_win_rate,0.2234615385
train_median,monthly_win_rate,0.2353846154
train_std,monthly_win_rate,0.0691056562
test_mean,max_consecutive_losing_months,2.5000000000
test_median,max_consecutive_losing_months,2.0000000000
test_std,max_consecutive_losing_months,1.5000000000
train_mean,max_consecutive_losing_months,2.0000000000
train_median,max_consecutive_losing_months,2.0000000000
train_std,max_consecutive_losing_months,0.7071067812
test_mean,average_turnover,0.8422619048
test_median,average_turnover,0.8666666667
test_std,average_turnover,0.2129746600
train_mean,average_turnover,0.3812307692
train_median,average_turnover,0.3804615385
train_std,average_turnover,0.1428595537
test_mean,total_transaction_cost,0.0053250000
test_median,total_transaction_cost,0.0052000000
test_std,total_transaction_cost,0.0016269219
train_mean,total_transaction_cost,0.0094000000
train_median,total_transaction_cost,0.0097000000
train_std,total_transaction_cost,0.0039012818
test_mean,equal_weight_final_equity,1.1037932176
test_median,equal_weight_final_equity,1.1345319081
test_std,equal_weight_final_equity,0.1162364525
train_mean,equal_weight_final_equity,0.8904112450
train_median,equal_weight_final_equity,0.8662387692
train_std,equal_weight_final_equity,0.1450788740
test_mean,excess_return_vs_equal_weight,-0.0402452177
test_median,excess_return_vs_equal_weight,-0.0458421507
test_std,excess_return_vs_equal_weight,0.1442675771
train_mean,excess_return_vs_equal_weight,0.2243101933
train_median,excess_return_vs_equal_weight,0.2465771490
train_std,excess_return_vs_equal_weight,0.1801492882
test_mean,benchmark_final_equity,1.0968712875
test_median,benchmark_final_equity,1.0971308758
test_std,benchmark_final_equity,0.0481854237
train_mean,benchmark_final_equity,0.8647828482
train_median,benchmark_final_equity,0.8805975423
train_std,benchmark_final_equity,0.1745972595
test_mean,excess_return_vs_benchmark,-0.0424164360
test_median,excess_return_vs_benchmark,-0.0898984192
test_std,excess_return_vs_benchmark,0.1230640117
train_mean,excess_return_vs_benchmark,0.2822918172
train_median,excess_return_vs_benchmark,0.2240205664
train_std,excess_return_vs_benchmark,0.2603891096
selection_count,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,2
selection_count,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore0,1
selection_count,rel_ret60_ret5_top5_riskoff0_riskctrl1_mscore1,1
