rank_by_oos_final_equity,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,folds,first_test_start,last_test_end,oos_final_equity,equal_weight_final_equity,oos_excess_vs_equal_weight,benchmark_final_equity,oos_excess_vs_benchmark
1,ret60_ret5_top3_riskoff0_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,19,2016-03-18,2026-02-11,1.6779365360,1.4948987012,0.1224416308,1.4964202929,0.1213003085
2,ret60_ret5_top3_softoff0p2_modes_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,19,2016-03-18,2026-02-11,1.6779365360,1.4948987012,0.1224416308,1.4964202929,0.1213003085
3,ret60_ret5_top3_softoff0p3_modes_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,19,2016-03-18,2026-02-11,1.6779365360,1.4948987012,0.1224416308,1.4964202929,0.1213003085
4,ret60_ret5_top5_riskoff0_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,19,2016-03-18,2026-02-11,1.6402332131,1.4948987012,0.0972203078,1.4964202929,0.0961046310
5,ret60_ret5_top5_softoff0p2_modes_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,19,2016-03-18,2026-02-11,1.6402332131,1.4948987012,0.0972203078,1.4964202929,0.0961046310
6,ret60_ret5_top5_softoff0p3_modes_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,19,2016-03-18,2026-02-11,1.6402332131,1.4948987012,0.0972203078,1.4964202929,0.0961046310
7,ret60_ret5_top3_riskoff0p3_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.300000,true,false,0.000000,19,2016-03-18,2026-02-11,1.5485245707,1.4948987012,0.0358725775,1.4964202929,0.0348192804
8,ret60_ret5_top5_riskoff0p3_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.300000,true,false,0.000000,19,2016-03-18,2026-02-11,1.5463136702,1.4948987012,0.0343936140,1.4964202929,0.0333418208
9,ret60_ret5_top3_riskoff0_modeh_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.000000,true,true,0.000000,19,2016-03-18,2026-02-11,1.5361859385,1.4948987012,0.0276187525,1.4964202929,0.0265738481
10,ret60_ret5_top5_riskoff0_modeh_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,19,2016-03-18,2026-02-11,1.4976540699,1.4948987012,0.0018431809,1.4964202929,0.0008244856
11,ret60_ret5_top3_riskoff0p3_modeh_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.300000,true,true,0.000000,19,2016-03-18,2026-02-11,1.4652646182,1.4948987012,-0.0198234723,1.4964202929,-0.0208201364
12,ret60_ret5_top5_riskoff0p3_modeh_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.300000,true,true,0.000000,19,2016-03-18,2026-02-11,1.4561513538,1.4948987012,-0.0259197144,1.4964202929,-0.0269101798
13,ret60_ret5_top3_softoff0p2_modes_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.000000,true,true,0.000000,19,2016-03-18,2026-02-11,1.3770367189,1.4948987012,-0.0788427886,1.4964202929,-0.0797794407
14,ret60_ret5_top3_softoff0p3_modes_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.000000,true,true,0.000000,19,2016-03-18,2026-02-11,1.3721661498,1.4948987012,-0.0821009152,1.4964202929,-0.0830342543
15,ret60_ret5_top5_softoff0p3_modes_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,19,2016-03-18,2026-02-11,1.3106512752,1.4948987012,-0.1232507767,1.4964202929,-0.1241422738
16,ret60_ret5_top5_softoff0p2_modes_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,19,2016-03-18,2026-02-11,1.3070430047,1.4948987012,-0.1256644991,1.4964202929,-0.1265535419
