fold,rank_by_train,rank_by_test,selected_by_train,selection_metric,train_selection_score,test_selection_score,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,9,true,composite,1.8699676131,-2.1159891873,ret60_ret5_top5_riskoff0_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.9039431831,0.3807179729,-0.4563233117,1.3932262113,0.8343162912,0.3076923077,2.0000000000,0.5000000000,0.0100000000,1.5558289173,0.2237484224,1.3797702591,0.3798986973,0.9575999815,-0.0836377200,-0.0825351587,-0.7633868597,-1.0133586864,0.1428571429,1.0000000000,0.5666666667,0.0034000000,1.0820850055,-0.1150418158,1.0375666780,-0.0770713807
1,2,10,false,composite,1.8699676131,-2.1159891873,ret60_ret5_top5_riskoff0_modeh_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.000000,true,true,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.9039431831,0.3807179729,-0.4563233117,1.3932262113,0.8343162912,0.3076923077,2.0000000000,0.5000000000,0.0100000000,1.5558289173,0.2237484224,1.3797702591,0.3798986973,0.9575999815,-0.0836377200,-0.0825351587,-0.7633868597,-1.0133586864,0.1428571429,1.0000000000,0.5666666667,0.0034000000,1.0820850055,-0.1150418158,1.0375666780,-0.0770713807
1,3,11,false,composite,1.8699676131,-2.1159891873,ret60_ret5_top5_softoff0p2_modes_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.9039431831,0.3807179729,-0.4563233117,1.3932262113,0.8343162912,0.3076923077,2.0000000000,0.5000000000,0.0100000000,1.5558289173,0.2237484224,1.3797702591,0.3798986973,0.9575999815,-0.0836377200,-0.0825351587,-0.7633868597,-1.0133586864,0.1428571429,1.0000000000,0.5666666667,0.0034000000,1.0820850055,-0.1150418158,1.0375666780,-0.0770713807
1,4,12,false,composite,1.8699676131,-2.1159891873,ret60_ret5_top5_softoff0p3_modes_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.9039431831,0.3807179729,-0.4563233117,1.3932262113,0.8343162912,0.3076923077,2.0000000000,0.5000000000,0.0100000000,1.5558289173,0.2237484224,1.3797702591,0.3798986973,0.9575999815,-0.0836377200,-0.0825351587,-0.7633868597,-1.0133586864,0.1428571429,1.0000000000,0.5666666667,0.0034000000,1.0820850055,-0.1150418158,1.0375666780,-0.0770713807
1,5,13,false,composite,1.6785734705,-2.7106347129,ret60_ret5_top3_riskoff0_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.8002982868,0.3425363572,-0.4416506453,1.3225106983,0.7755821502,0.3461538462,2.0000000000,0.5400000000,0.0108000000,1.5558289173,0.1571312673,1.3797702591,0.3047811945,0.9484151409,-0.1012706332,-0.0741562200,-1.0098094868,-1.3656390949,0.1428571429,1.0000000000,0.5500000000,0.0033000000,1.0820850055,-0.1235299111,1.0375666780,-0.0859236703
1,6,14,false,composite,1.6785734705,-2.7106347129,ret60_ret5_top3_riskoff0_modeh_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.000000,true,true,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.8002982868,0.3425363572,-0.4416506453,1.3225106983,0.7755821502,0.3461538462,2.0000000000,0.5400000000,0.0108000000,1.5558289173,0.1571312673,1.3797702591,0.3047811945,0.9484151409,-0.1012706332,-0.0741562200,-1.0098094868,-1.3656390949,0.1428571429,1.0000000000,0.5500000000,0.0033000000,1.0820850055,-0.1235299111,1.0375666780,-0.0859236703
1,7,15,false,composite,1.6785734705,-2.7106347129,ret60_ret5_top3_softoff0p2_modes_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.8002982868,0.3425363572,-0.4416506453,1.3225106983,0.7755821502,0.3461538462,2.0000000000,0.5400000000,0.0108000000,1.5558289173,0.1571312673,1.3797702591,0.3047811945,0.9484151409,-0.1012706332,-0.0741562200,-1.0098094868,-1.3656390949,0.1428571429,1.0000000000,0.5500000000,0.0033000000,1.0820850055,-0.1235299111,1.0375666780,-0.0859236703
1,8,16,false,composite,1.6785734705,-2.7106347129,ret60_ret5_top3_softoff0p3_modes_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.8002982868,0.3425363572,-0.4416506453,1.3225106983,0.7755821502,0.3461538462,2.0000000000,0.5400000000,0.0108000000,1.5558289173,0.1571312673,1.3797702591,0.3047811945,0.9484151409,-0.1012706332,-0.0741562200,-1.0098094868,-1.3656390949,0.1428571429,1.0000000000,0.5500000000,0.0033000000,1.0820850055,-0.1235299111,1.0375666780,-0.0859236703
1,9,4,false,composite,1.5579621011,-0.4116347232,ret60_ret5_top5_riskoff0p3_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.300000,true,false,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.8132683054,0.3473733583,-0.4563233117,1.2583237955,0.7612439459,0.5000000000,4.0000000000,0.6830000000,0.0136600000,1.5558289173,0.1654676714,1.3797702591,0.3141813236,0.9965774393,-0.0068878861,-0.0828157732,0.0025400202,-0.0831711862,0.7142857143,1.0000000000,0.6766666667,0.0040600000,1.0820850055,-0.0790211173,1.0375666780,-0.0395051611
1,10,5,false,composite,1.5579621011,-0.4116347232,ret60_ret5_top5_riskoff0p3_modeh_riskctrl1_mscore1,ret60_ret5,ret60;ret5,5,0.300000,true,true,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.8132683054,0.3473733583,-0.4563233117,1.2583237955,0.7612439459,0.5000000000,4.0000000000,0.6830000000,0.0136600000,1.5558289173,0.1654676714,1.3797702591,0.3141813236,0.9965774393,-0.0068878861,-0.0828157732,0.0025400202,-0.0831711862,0.7142857143,1.0000000000,0.6766666667,0.0040600000,1.0820850055,-0.0790211173,1.0375666780,-0.0395051611
