fold,test_rank,selection_metric,train_selection_score,test_selection_score,selected_name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,9,composite,1.8699676131,-2.1159891873,ret60_ret5_top5_riskoff0_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2014-02-21,2016-03-17,2016-03-18,2016-09-22,1.9039431831,0.3807179729,-0.4563233117,1.3932262113,0.8343162912,0.3076923077,2.0000000000,0.5000000000,0.0100000000,1.5558289173,0.2237484224,1.3797702591,0.3798986973,0.9575999815,-0.0836377200,-0.0825351587,-0.7633868597,-1.0133586864,0.1428571429,1.0000000000,0.5666666667,0.0034000000,1.0820850055,-0.1150418158,1.0375666780,-0.0770713807
2,9,composite,1.5605292245,2.5992364965,ret60_ret5_top5_riskoff0_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2014-08-22,2016-09-22,2016-09-23,2017-04-06,1.7981466503,0.3417322525,-0.4563233117,1.2592623580,0.7488818645,0.3461538462,2.0000000000,0.4960000000,0.0124000000,1.5874754593,0.1327083136,1.3913822843,0.2923455118,1.0824602439,0.1732066089,-0.0998289445,1.2276227130,1.7350339595,0.7500000000,1.0000000000,1.1333333333,0.0068000000,1.0615039253,0.0197421019,1.0727728984,0.0090301923
3,12,composite,0.6740533873,-0.8520942427,ret60_ret5_top5_riskoff0_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,5,0.000000,true,false,0.000000,2015-03-06,2017-04-06,2017-04-07,2017-10-12,1.3528826133,0.1634843205,-0.4563233117,0.7774171336,0.3582642314,0.3846153846,2.0000000000,0.6080000000,0.0152000000,1.1798099926,0.1466953339,1.0102141140,0.3392038327,0.9844418614,-0.0311173321,-0.0931539165,-0.1803616181,-0.3340421232,0.5714285714,2.0000000000,0.8571428571,0.0060000000,1.0151510648,-0.0302508705,1.1124362466,-0.1150577263
4,16,composite,0.8900859423,-1.4802299038,ret60_ret5_top3_riskoff0p3_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.300000,true,false,0.000000,2015-09-09,2017-10-12,2017-10-13,2018-04-18,1.1343505401,0.0651924066,-0.1096846473,0.5474511319,0.5943621844,0.6153846154,2.0000000000,0.6615384615,0.0172000000,1.1084766025,0.0233418888,1.1511012529,-0.0145519022,0.9440630537,-0.1095654161,-0.1728940386,-0.4830855865,-0.6337142503,0.4285714286,2.0000000000,1.0000000000,0.0060000000,0.8910761280,0.0594639717,0.9605406784,-0.0171545308
5,16,composite,0.1951170797,-4.0190932425,ret60_ret5_top3_riskoff0p3_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.300000,true,false,0.000000,2016-03-18,2018-04-18,2018-04-19,2018-10-24,1.0764768695,0.0376100393,-0.1728940386,0.3163527882,0.2175323082,0.5769230769,3.0000000000,0.8000000000,0.0200000000,1.0409532751,0.0341260220,1.1873668016,-0.0933914709,0.9057781753,-0.1808639229,-0.1201274591,-2.5260094274,-1.5056001704,0.0000000000,7.0000000000,0.3333333333,0.0020000000,0.7448973667,0.2159771477,0.8363939725,0.0829563640
6,10,composite,0.7015081214,-1.4103143133,ret60_ret5_top3_riskoff0_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,2016-09-23,2018-10-24,2018-10-25,2019-04-30,1.0760214719,0.0373901021,-0.1728940386,0.3281472366,0.2162602159,0.4230769231,3.0000000000,0.6120000000,0.0153000000,0.7255733728,0.4829947076,0.9732970659,0.1055427059,0.9697841395,-0.0599802996,-0.0900032315,-0.3253334127,-0.6664238453,0.0000000000,2.0000000000,0.3500000000,0.0021000000,1.2778035780,-0.2410538238,1.2250564285,-0.2083759434
7,1,composite,-0.5228106458,7.9421335554,ret60_ret5_top3_riskoff0_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,2017-04-07,2019-04-30,2019-05-06,2019-11-06,0.9418983340,-0.0295432761,-0.1869097026,-0.1302131382,-0.1580617573,0.2400000000,3.0000000000,0.5280000000,0.0132000000,0.8686102539,0.0843739524,1.1125101636,-0.1533575469,1.1960282956,0.4345866065,-0.0707994291,1.9756412843,6.1382783996,0.8571428571,1.0000000000,1.0285714286,0.0072000000,1.0344868101,0.1561561578,1.0814900858,0.1059077760
8,2,composite,0.0749510719,4.1701911315,ret60_ret5_top3_riskoff0_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,2017-10-13,2019-11-06,2019-11-07,2020-05-15,1.0257560909,0.0128217765,-0.2381887188,0.1599876137,0.0538303266,0.3076923077,3.0000000000,0.6000000000,0.0150000000,0.8210503086,0.2493218505,1.0162917623,0.0093126098,1.1522865920,0.3307791411,-0.1159761062,1.4690017327,2.8521318039,0.5714285714,1.0000000000,0.5500000000,0.0033000000,1.0451259592,0.1025337011,0.9801947954,0.1755689760
9,14,composite,1.6436839323,4.8240186855,ret60_ret5_top3_riskoff0_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,2018-04-19,2020-05-15,2020-05-18,2020-11-19,1.2594706266,0.1225187711,-0.1473938303,0.7717043093,0.8312340545,0.3076923077,3.0000000000,0.5040000000,0.0126000000,0.9583995638,0.3141393988,1.0264911434,0.2269668712,1.1495947101,0.3245191127,-0.0855624864,1.3649725939,3.7927732846,0.5714285714,1.0000000000,0.8500000000,0.0051000000,1.1921109991,-0.0356647066,1.2562077641,-0.0848689660
10,11,composite,2.3886883918,-2.3272239005,ret60_ret5_top3_riskoff0p3_modeh_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.300000,true,false,0.000000,2018-10-25,2020-11-19,2020-11-20,2021-05-28,1.5284817465,0.2368393379,-0.1473938303,1.1311927166,1.6068470265,0.6538461538,2.0000000000,0.7760000000,0.0194000000,1.5407422353,-0.0079575211,1.5427400597,-0.0092422006,0.9160976242,-0.1619410243,-0.1446924448,-0.7548451921,-1.1192085705,0.4285714286,1.0000000000,0.8285714286,0.0058000000,1.0193981705,-0.1013348359,1.0764268331,-0.1489457565
