section,name,value
summary,folds,19
summary,selection_metric,composite
summary,first_train_start,2014-02-21
summary,last_test_end,2026-02-11
test_mean,final_equity,1.0258237188
test_median,final_equity,1.0000000000
test_std,final_equity,0.1084560723
train_mean,final_equity,1.2099525986
train_median,final_equity,1.0792641185
train_std,final_equity,0.2815990617
test_mean,annualized_return,0.0648030613
test_median,annualized_return,0.0000000000
test_std,annualized_return,0.2400617303
bootstrap_ci_lower,annualized_return,-0.0351433368
bootstrap_ci_upper,annualized_return,0.1802230887
bootstrap_p_positive,annualized_return,0.8838000000
train_mean,annualized_return,0.0933980690
train_median,annualized_return,0.0389551483
train_std,annualized_return,0.1222820837
test_mean,max_drawdown,-0.0909781002
test_median,max_drawdown,-0.0900032315
test_std,max_drawdown,0.0489230255
train_mean,max_drawdown,-0.2057812255
train_median,max_drawdown,-0.1728940386
train_std,max_drawdown,0.1153018182
test_mean,sharpe_ratio,0.0923174193
test_median,sharpe_ratio,0.0000000000
test_std,sharpe_ratio,1.2602348978
train_mean,sharpe_ratio,0.4810366485
train_median,sharpe_ratio,0.4385771083
train_std,sharpe_ratio,0.5034701981
test_mean,calmar_ratio,0.8970834377
test_median,calmar_ratio,0.0000000000
test_std,calmar_ratio,2.6505830201
train_mean,calmar_ratio,0.4486862480
train_median,calmar_ratio,0.4485424416
train_std,calmar_ratio,0.5167420388
test_mean,monthly_win_rate,0.3280075188
test_median,monthly_win_rate,0.2857142857
test_std,monthly_win_rate,0.2747674125
train_mean,monthly_win_rate,0.3411815864
train_median,monthly_win_rate,0.3076923077
train_std,monthly_win_rate,0.1722958745
test_mean,max_consecutive_losing_months,1.5263157895
test_median,max_consecutive_losing_months,1.0000000000
test_std,max_consecutive_losing_months,1.4642555519
train_mean,max_consecutive_losing_months,2.3684210526
train_median,max_consecutive_losing_months,2.0000000000
train_std,max_consecutive_losing_months,0.5813347904
test_mean,average_turnover,0.5954887218
test_median,average_turnover,0.6000000000
test_std,average_turnover,0.3270458707
train_mean,average_turnover,0.5160647773
train_median,average_turnover,0.5040000000
train_std,average_turnover,0.1607101518
test_mean,total_transaction_cost,0.0037578947
test_median,total_transaction_cost,0.0036000000
test_std,total_transaction_cost,0.0021042103
train_mean,total_transaction_cost,0.0128578947
train_median,total_transaction_cost,0.0126000000
train_std,total_transaction_cost,0.0041314348
test_mean,equal_weight_final_equity,1.0297636059
test_median,equal_weight_final_equity,1.0344868101
test_std,equal_weight_final_equity,0.1296406867
train_mean,equal_weight_final_equity,1.0870211382
train_median,equal_weight_final_equity,1.0409532751
train_std,equal_weight_final_equity,0.2644543186
test_mean,excess_return_vs_equal_weight,0.0065046063
test_median,excess_return_vs_equal_weight,0.0126549802
test_std,excess_return_vs_equal_weight,0.1190318124
train_mean,excess_return_vs_equal_weight,0.1291210742
train_median,excess_return_vs_equal_weight,0.1149811992
train_std,excess_return_vs_equal_weight,0.1591425481
test_mean,benchmark_final_equity,1.0282535282
test_median,benchmark_final_equity,1.0418327786
test_std,benchmark_final_equity,0.1178725398
train_mean,benchmark_final_equity,1.0827032981
train_median,benchmark_final_equity,1.0633623552
train_std,benchmark_final_equity,0.2413943508
test_mean,excess_return_vs_benchmark,0.0063944262
test_median,excess_return_vs_benchmark,0.0090301923
test_std,excess_return_vs_benchmark,0.1201037450
train_mean,excess_return_vs_benchmark,0.1387578602
train_median,excess_return_vs_benchmark,0.0708518817
train_std,excess_return_vs_benchmark,0.2142119840
selection_count,ret60_ret5_top5_riskoff0_modeh_riskctrl1_mscore0,7
selection_count,ret60_ret5_top3_riskoff0_modeh_riskctrl1_mscore0,4
selection_count,ret60_ret5_top3_riskoff0_modeh_riskctrl1_mscore1,4
selection_count,ret60_ret5_top3_riskoff0p3_modeh_riskctrl1_mscore0,3
selection_count,ret60_ret5_top5_riskoff0_modeh_riskctrl1_mscore1,1
