rank,name,factor_set,year,annual_return
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2010,0.0304427490
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2011,-0.1292158184
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2012,-0.0138472388
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2013,-0.0019380992
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2014,0.5036603539
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2015,0.2380437430
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2016,-0.0657099442
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2017,0.0895802760
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2018,-0.1285943947
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2019,0.2001503785
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2020,0.4337987574
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2021,0.0433651810
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2022,-0.0161719989
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2023,-0.0604648065
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2024,-0.0025021708
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2025,0.1034743714
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2026,0.1211107252
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2010,-0.0287739035
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2011,-0.0961639750
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2012,-0.0271450778
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2013,-0.0995718178
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2014,0.4884389186
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2015,0.2166951441
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2016,-0.0424080308
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2017,0.0743645433
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2018,-0.0247668680
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2019,0.0970884919
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2020,0.4682658581
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2021,0.0570016204
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2022,0.0000000000
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2023,-0.0353664331
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2024,-0.0051323693
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2025,0.1084575534
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,2026,0.1211107252
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2010,0.0545941593
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2011,-0.1541555648
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2012,-0.0325322338
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2013,-0.0175551329
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2014,0.5091874513
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2015,0.2331671171
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2016,-0.0769352466
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2017,0.0233711412
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2018,-0.1254514725
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2019,0.1892625604
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2020,0.3594533951
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2021,-0.0098043478
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2022,-0.0312018978
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2023,-0.0107455630
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2024,0.0653782866
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2025,0.1216823255
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,ret60_ret5,2026,0.1223162330
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2010,0.0304427490
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2011,-0.1292158184
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2012,0.0113406400
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2013,-0.0026773194
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2014,0.5036603539
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2015,0.2380437430
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2016,-0.0929939394
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2017,-0.0180639696
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2018,-0.0979405521
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2019,0.1404897114
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2020,0.4337987574
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2021,0.0433651810
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2022,-0.0161719989
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2023,-0.0889500698
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2024,0.0126551449
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2025,0.1672495695
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2026,0.0849675772
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2010,-0.0085294637
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2011,-0.1070484439
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2012,-0.0463124934
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2013,-0.0992469266
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2014,0.4862765325
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2015,0.2227168519
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2016,-0.0533463818
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2017,0.0147095370
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2018,-0.0330884476
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2019,0.0939163852
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2020,0.3806252628
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2021,-0.0339830310
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2022,0.0000000000
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2023,0.0280456999
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2024,0.0488218767
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2025,0.1151451674
5,ret60_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret5,2026,0.1223162330
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2010,0.0545941593
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2011,-0.1541555648
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2012,-0.0032394000
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2013,-0.0029726810
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2014,0.5091874513
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2015,0.2331671171
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2016,-0.1016721562
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2017,-0.0507171827
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2018,-0.0966850481
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2019,0.1375856011
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2020,0.3594533951
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2021,-0.0098043478
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2022,-0.0312018978
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2023,-0.0608166491
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2024,0.0914817913
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2025,0.1744479816
6,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore1,ret60_ret5,2026,0.0818604186
7,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,ret60_ret5,2010,-0.0287739035
7,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,ret60_ret5,2011,-0.0961639750
7,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,ret60_ret5,2012,0.0100712270
7,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,ret60_ret5,2013,-0.1020985144
7,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,ret60_ret5,2014,0.4884389186
7,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,ret60_ret5,2015,0.2166951441
7,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,ret60_ret5,2016,-0.0841635187
7,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,ret60_ret5,2017,-0.0820129074
7,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,ret60_ret5,2018,0.0262735046
7,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,ret60_ret5,2019,0.0153906863
