rank,name,segment,start,end,rows,industries,rebalances,final_equity,annualized_return,max_drawdown,sharpe_ratio,calmar_ratio,monthly_win_rate,max_consecutive_losing_months,average_turnover,total_transaction_cost,equal_weight_final_equity,excess_return_vs_equal_weight,benchmark_final_equity,excess_return_vs_benchmark
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,real_sw2000,2010-01-04,2014-02-20,998,23,44,0.8921847657,-0.0284234110,-0.3167980186,-0.1257953040,-0.0897209242,0.4200000000,3.0000000000,0.7340909091,0.0323000000,0.8644708599,0.0320588086,0.6470413523,0.3788682323
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,real_sw2014,2014-02-21,2021-12-10,1893,28,89,2.9348676466,0.1541951157,-0.4416506453,0.8115355505,0.3491336814,0.5368421053,4.0000000000,0.7292134831,0.0649000000,2.0300576052,0.4457065844,2.2325408848,0.3145862934
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,real_sw2021,2021-12-13,2026-06-02,1074,31,48,1.1406566828,0.0313905710,-0.2669268613,0.2696126180,0.1175998956,0.4363636364,4.0000000000,0.7729166667,0.0371000000,1.0374609450,0.0994695157,0.9667099414,0.1799368497
1,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,stitched,2010-01-04,2026-06-02,3965,,181,2.9867458794,0.0720360147,-0.4416506453,0.4775355156,0.1631063273,0.4848484848,4.0000000000,0.7419889503,0.1343000000,1.8206668166,0.6404681253,1.3964572431,1.1388022398
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,real_sw2000,2010-01-04,2014-02-20,998,23,44,0.7689660226,-0.0642451468,-0.3113116224,-0.4179823798,-0.2063692526,0.1400000000,3.0000000000,0.5590909091,0.0246000000,0.8644708599,-0.1104777983,0.6470413523,0.1884341237
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,real_sw2014,2014-02-21,2021-12-10,1893,28,89,3.0936801748,0.1623250353,-0.4416506453,0.8708978787,0.3675417143,0.3789473684,3.0000000000,0.5932584270,0.0528000000,2.0300576052,0.5239371370,2.2325408848,0.3857216214
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,real_sw2021,2021-12-13,2026-06-02,1074,31,48,1.1926012095,0.0422342301,-0.2669268613,0.3380099675,0.1582239788,0.2909090909,4.0000000000,0.6187500000,0.0297000000,1.0374609450,0.1495384142,0.9667099414,0.2336701615
2,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,stitched,2010-01-04,2026-06-02,3965,,181,2.8371206858,0.0685390933,-0.4416506453,0.4708240530,0.1551884822,0.2979797980,4.0000000000,0.5917127072,0.1071000000,1.8206668166,0.5582865903,1.3964572431,1.0316559636
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,real_sw2000,2010-01-04,2014-02-20,998,23,44,0.8609226133,-0.0371433328,-0.3237208435,-0.1731813172,-0.1147387743,0.4000000000,6.0000000000,0.7095454545,0.0312200000,0.8644708599,-0.0041045301,0.6470413523,0.3305526921
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,real_sw2014,2014-02-21,2021-12-10,1893,28,89,2.4240071053,0.1251670026,-0.5004390621,0.6754823593,0.2501143737,0.5684210526,4.0000000000,0.7238202247,0.0644200000,2.0300576052,0.1940582864,2.2325408848,0.0857615741
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,real_sw2021,2021-12-13,2026-06-02,1074,31,48,1.2853761834,0.0607336797,-0.2448267212,0.4374768572,0.2480680189,0.4727272727,4.0000000000,0.7566666667,0.0363200000,1.0374609450,0.2389634420,0.9667099414,0.3296399762
3,ret60_ret5_top5_riskoff0p3_riskctrl1_mscore0,stitched,2010-01-04,2026-06-02,3965,,181,2.6824291038,0.0647372840,-0.5004390621,0.4343075103,0.1293609730,0.5050505051,6.0000000000,0.7290607735,0.1319600000,1.8206668166,0.4733223450,1.3964572431,0.9208816575
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,real_sw2000,2010-01-04,2014-02-20,998,23,44,0.9142948759,-0.0223931483,-0.2993479749,-0.0989222030,-0.0748064132,0.4400000000,3.0000000000,0.6886363636,0.0303000000,0.8644708599,0.0576352753,0.6470413523,0.4130393252
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,real_sw2014,2014-02-21,2021-12-10,1893,28,89,2.5258727179,0.1313530292,-0.4663679719,0.7271445720,0.2816510504,0.5263157895,4.0000000000,0.6797752809,0.0605000000,2.0300576052,0.2442369672,2.2325408848,0.1313892324
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,real_sw2021,2021-12-13,2026-06-02,1074,31,48,1.1494852801,0.0332598696,-0.2066427536,0.2967336465,0.1609534767,0.4363636364,4.0000000000,0.6479166667,0.0311000000,1.0374609450,0.1079793274,0.9667099414,0.1890694725
4,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,stitched,2010-01-04,2026-06-02,3965,,181,2.6546126651,0.0640319411,-0.4663679719,0.4507278227,0.1372991820,0.4848484848,4.0000000000,0.6734806630,0.1219000000,1.8206668166,0.4580441852,1.3964572431,0.9009623662
