rank,name,factor_set,description,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,risk_control_mode,soft_exposure_min,state_aware_risk_control,portfolio_mode,softmax_temperature,rebalances,final_equity,annualized_return,max_drawdown,sharpe_ratio,calmar_ratio,monthly_win_rate,max_consecutive_losing_months,average_turnover,total_transaction_cost,equal_weight_final_equity,excess_return_vs_equal_weight,benchmark_final_equity,excess_return_vs_benchmark
1,ret60_ret5_consistency_top3_riskoff0_pmequal_t1_riskctrl1_mscore0,ret60_ret5_consistency,"momentum, reversal, and trend consistency",ret60;ret5;consistency60,3,0.000000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.4294907231,0.0875398976,-0.2494928270,0.5909509888,0.3508714006,0.3272727273,3.0000000000,0.5562500000,0.0267000000,1.0374609450,0.3778742515,0.9667099414,0.4787173090
2,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t0p5_riskctrl1_mscore0,ret60_ret5_consistency,"momentum, reversal, and trend consistency",ret60;ret5;consistency60,3,0.000000,true,false,0.000000,hard,0.200000,false,softmax,0.500000,48,1.4294907231,0.0875398976,-0.2494928270,0.5909509888,0.3508714006,0.3272727273,3.0000000000,0.5562500000,0.0267000000,1.0374609450,0.3778742515,0.9667099414,0.4787173090
3,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t0p75_riskctrl1_mscore0,ret60_ret5_consistency,"momentum, reversal, and trend consistency",ret60;ret5;consistency60,3,0.000000,true,false,0.000000,hard,0.200000,false,softmax,0.750000,48,1.4294907231,0.0875398976,-0.2494928270,0.5909509888,0.3508714006,0.3272727273,3.0000000000,0.5562500000,0.0267000000,1.0374609450,0.3778742515,0.9667099414,0.4787173090
4,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t1_riskctrl1_mscore0,ret60_ret5_consistency,"momentum, reversal, and trend consistency",ret60;ret5;consistency60,3,0.000000,true,false,0.000000,hard,0.200000,false,softmax,1.000000,48,1.4294907231,0.0875398976,-0.2494928270,0.5909509888,0.3508714006,0.3272727273,3.0000000000,0.5562500000,0.0267000000,1.0374609450,0.3778742515,0.9667099414,0.4787173090
5,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t1p5_riskctrl1_mscore0,ret60_ret5_consistency,"momentum, reversal, and trend consistency",ret60;ret5;consistency60,3,0.000000,true,false,0.000000,hard,0.200000,false,softmax,1.500000,48,1.4294907231,0.0875398976,-0.2494928270,0.5909509888,0.3508714006,0.3272727273,3.0000000000,0.5562500000,0.0267000000,1.0374609450,0.3778742515,0.9667099414,0.4787173090
6,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t2_riskctrl1_mscore0,ret60_ret5_consistency,"momentum, reversal, and trend consistency",ret60;ret5;consistency60,3,0.000000,true,false,0.000000,hard,0.200000,false,softmax,2.000000,48,1.4294907231,0.0875398976,-0.2494928270,0.5909509888,0.3508714006,0.3272727273,3.0000000000,0.5562500000,0.0267000000,1.0374609450,0.3778742515,0.9667099414,0.4787173090
7,ret60_m_accel_top5_riskoff0_pmequal_t1_riskctrl1_mscore0,ret60_m_accel,60-day momentum with acceleration filter,ret60;momentum_accel;ret5,5,0.000000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.4103667530,0.0841052879,-0.2335103520,0.5684356702,0.3601779842,0.3636363636,4.0000000000,0.6208333333,0.0298000000,1.0374609450,0.3594408154,0.9667099414,0.4589347773
8,ret60_consistency_top3_riskoff0_pmequal_t1_riskctrl1_mscore0,ret60_consistency,60-day momentum with trend consistency quality,ret60;consistency60;ret5,3,0.000000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.3968624176,0.0816584207,-0.2494928270,0.5620530117,0.3272976688,0.3090909091,4.0000000000,0.6062500000,0.0291000000,1.0374609450,0.3464240985,0.9667099414,0.4449654005
9,ret60_consistency_top3_riskoff0_pmsoftmax_t0p5_riskctrl1_mscore0,ret60_consistency,60-day momentum with trend consistency quality,ret60;consistency60;ret5,3,0.000000,true,false,0.000000,hard,0.200000,false,softmax,0.500000,48,1.3968624176,0.0816584207,-0.2494928270,0.5620530117,0.3272976688,0.3090909091,4.0000000000,0.6062500000,0.0291000000,1.0374609450,0.3464240985,0.9667099414,0.4449654005
10,ret60_consistency_top3_riskoff0_pmsoftmax_t0p75_riskctrl1_mscore0,ret60_consistency,60-day momentum with trend consistency quality,ret60;consistency60;ret5,3,0.000000,true,false,0.000000,hard,0.200000,false,softmax,0.750000,48,1.3968624176,0.0816584207,-0.2494928270,0.5620530117,0.3272976688,0.3090909091,4.0000000000,0.6062500000,0.0291000000,1.0374609450,0.3464240985,0.9667099414,0.4449654005
11,ret60_consistency_top3_riskoff0_pmsoftmax_t1_riskctrl1_mscore0,ret60_consistency,60-day momentum with trend consistency quality,ret60;consistency60;ret5,3,0.000000,true,false,0.000000,hard,0.200000,false,softmax,1.000000,48,1.3968624176,0.0816584207,-0.2494928270,0.5620530117,0.3272976688,0.3090909091,4.0000000000,0.6062500000,0.0291000000,1.0374609450,0.3464240985,0.9667099414,0.4449654005
12,ret60_consistency_top3_riskoff0_pmsoftmax_t1p5_riskctrl1_mscore0,ret60_consistency,60-day momentum with trend consistency quality,ret60;consistency60;ret5,3,0.000000,true,false,0.000000,hard,0.200000,false,softmax,1.500000,48,1.3968624176,0.0816584207,-0.2494928270,0.5620530117,0.3272976688,0.3090909091,4.0000000000,0.6062500000,0.0291000000,1.0374609450,0.3464240985,0.9667099414,0.4449654005
13,ret60_consistency_top3_riskoff0_pmsoftmax_t2_riskctrl1_mscore0,ret60_consistency,60-day momentum with trend consistency quality,ret60;consistency60;ret5,3,0.000000,true,false,0.000000,hard,0.200000,false,softmax,2.000000,48,1.3968624176,0.0816584207,-0.2494928270,0.5620530117,0.3272976688,0.3090909091,4.0000000000,0.6062500000,0.0291000000,1.0374609450,0.3464240985,0.9667099414,0.4449654005
14,ret60_consistency_m_accel_top3_riskoff0_pmequal_t1_riskctrl1_mscore0,ret60_consistency_m_accel,momentum with quality and acceleration,ret60;consistency60;momentum_accel;ret5,3,0.000000,true,false,0.000000,hard,0.200000,false,equal,1.000000,48,1.3836549245,0.0792477682,-0.2494928270,0.5488194697,0.3176354573,0.3090909091,4.0000000000,0.6062500000,0.0291000000,1.0374609450,0.3336935054,0.9667099414,0.4313030882
15,ret60_consistency_m_accel_top3_riskoff0_pmsoftmax_t0p5_riskctrl1_mscore0,ret60_consistency_m_accel,momentum with quality and acceleration,ret60;consistency60;momentum_accel;ret5,3,0.000000,true,false,0.000000,hard,0.200000,false,softmax,0.500000,48,1.3836549245,0.0792477682,-0.2494928270,0.5488194697,0.3176354573,0.3090909091,4.0000000000,0.6062500000,0.0291000000,1.0374609450,0.3336935054,0.9667099414,0.4313030882
16,ret60_consistency_m_accel_top3_riskoff0_pmsoftmax_t0p75_riskctrl1_mscore0,ret60_consistency_m_accel,momentum with quality and acceleration,ret60;consistency60;momentum_accel;ret5,3,0.000000,true,false,0.000000,hard,0.200000,false,softmax,0.750000,48,1.3836549245,0.0792477682,-0.2494928270,0.5488194697,0.3176354573,0.3090909091,4.0000000000,0.6062500000,0.0291000000,1.0374609450,0.3336935054,0.9667099414,0.4313030882
17,ret60_consistency_m_accel_top3_riskoff0_pmsoftmax_t1_riskctrl1_mscore0,ret60_consistency_m_accel,momentum with quality and acceleration,ret60;consistency60;momentum_accel;ret5,3,0.000000,true,false,0.000000,hard,0.200000,false,softmax,1.000000,48,1.3836549245,0.0792477682,-0.2494928270,0.5488194697,0.3176354573,0.3090909091,4.0000000000,0.6062500000,0.0291000000,1.0374609450,0.3336935054,0.9667099414,0.4313030882
18,ret60_consistency_m_accel_top3_riskoff0_pmsoftmax_t1p5_riskctrl1_mscore0,ret60_consistency_m_accel,momentum with quality and acceleration,ret60;consistency60;momentum_accel;ret5,3,0.000000,true,false,0.000000,hard,0.200000,false,softmax,1.500000,48,1.3836549245,0.0792477682,-0.2494928270,0.5488194697,0.3176354573,0.3090909091,4.0000000000,0.6062500000,0.0291000000,1.0374609450,0.3336935054,0.9667099414,0.4313030882
19,ret60_consistency_m_accel_top3_riskoff0_pmsoftmax_t2_riskctrl1_mscore0,ret60_consistency_m_accel,momentum with quality and acceleration,ret60;consistency60;momentum_accel;ret5,3,0.000000,true,false,0.000000,hard,0.200000,false,softmax,2.000000,48,1.3836549245,0.0792477682,-0.2494928270,0.5488194697,0.3176354573,0.3090909091,4.0000000000,0.6062500000,0.0291000000,1.0374609450,0.3336935054,0.9667099414,0.4313030882
20,ret60_m_accel_top5_riskoff0_pmsoftmax_t2_riskctrl1_mscore0,ret60_m_accel,60-day momentum with acceleration filter,ret60;momentum_accel;ret5,5,0.000000,true,false,0.000000,hard,0.200000,false,softmax,2.000000,48,1.3822694384,0.0789938681,-0.2428335909,0.5293895034,0.3253004159,0.3454545455,4.0000000000,0.6499285282,0.0311965694,1.0374609450,0.3323580468,0.9667099414,0.4298698908
21,ret60_consistency_m_accel_top5_riskoff0_pmsoftmax_t0p5_riskctrl1_mscore0,ret60_consistency_m_accel,momentum with quality and acceleration,ret60;consistency60;momentum_accel;ret5,5,0.000000,true,false,0.000000,hard,0.200000,false,softmax,0.500000,48,1.3820327176,0.0789504679,-0.2503347693,0.5256920835,0.3153795540,0.3454545455,4.0000000000,0.6518552300,0.0312890510,1.0374609450,0.3321298736,0.9667099414,0.4296250183
22,ret60_m_accel_top5_riskoff0_pmsoftmax_t0p5_riskctrl1_mscore0,ret60_m_accel,60-day momentum with acceleration filter,ret60;momentum_accel;ret5,5,0.000000,true,false,0.000000,hard,0.200000,false,softmax,0.500000,48,1.3813734595,0.0788295700,-0.2452703440,0.5238806131,0.3213987013,0.3636363636,4.0000000000,0.6746888359,0.0323850641,1.0374609450,0.3314944202,0.9667099414,0.4289430576
23,ret60_m_accel_top5_riskoff0_pmsoftmax_t0p75_riskctrl1_mscore0,ret60_m_accel,60-day momentum with acceleration filter,ret60;momentum_accel;ret5,5,0.000000,true,false,0.000000,hard,0.200000,false,softmax,0.750000,48,1.3807273128,0.0787110337,-0.2451192359,0.5230101252,0.3211132468,0.3636363636,4.0000000000,0.6668696074,0.0320097412,1.0374609450,0.3308716048,0.9667099414,0.4282746600
