rank,name,factor_set,year,annual_return
1,ret60_ret5_consistency_top3_riskoff0_pmequal_t1_riskctrl1_mscore0,ret60_ret5_consistency,2021,0.0000000000
1,ret60_ret5_consistency_top3_riskoff0_pmequal_t1_riskctrl1_mscore0,ret60_ret5_consistency,2022,0.0000000000
1,ret60_ret5_consistency_top3_riskoff0_pmequal_t1_riskctrl1_mscore0,ret60_ret5_consistency,2023,0.0704964032
1,ret60_ret5_consistency_top3_riskoff0_pmequal_t1_riskctrl1_mscore0,ret60_ret5_consistency,2024,-0.0235796637
1,ret60_ret5_consistency_top3_riskoff0_pmequal_t1_riskctrl1_mscore0,ret60_ret5_consistency,2025,0.1764837280
1,ret60_ret5_consistency_top3_riskoff0_pmequal_t1_riskctrl1_mscore0,ret60_ret5_consistency,2026,0.1624476074
2,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t0p5_riskctrl1_mscore0,ret60_ret5_consistency,2021,0.0000000000
2,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t0p5_riskctrl1_mscore0,ret60_ret5_consistency,2022,0.0000000000
2,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t0p5_riskctrl1_mscore0,ret60_ret5_consistency,2023,0.0704964032
2,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t0p5_riskctrl1_mscore0,ret60_ret5_consistency,2024,-0.0235796637
2,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t0p5_riskctrl1_mscore0,ret60_ret5_consistency,2025,0.1764837280
2,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t0p5_riskctrl1_mscore0,ret60_ret5_consistency,2026,0.1624476074
3,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t0p75_riskctrl1_mscore0,ret60_ret5_consistency,2021,0.0000000000
3,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t0p75_riskctrl1_mscore0,ret60_ret5_consistency,2022,0.0000000000
3,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t0p75_riskctrl1_mscore0,ret60_ret5_consistency,2023,0.0704964032
3,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t0p75_riskctrl1_mscore0,ret60_ret5_consistency,2024,-0.0235796637
3,ret60_ret5_consistency_top3_riskoff0_pmsoftmax_t0p75_riskctrl1_mscore0,ret60_ret5_consistency,2025,0.1764837280
