rank_by_oos_final_equity,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,folds,first_test_start,last_test_end,oos_final_equity,equal_weight_final_equity,oos_excess_vs_equal_weight,benchmark_final_equity,oos_excess_vs_benchmark
1,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,11,2016-03-18,2021-12-07,1.8522709014,1.3114444981,0.4123898526,1.6127161327,0.1485411870
2,ret60_ret5_top3_riskoff0p2_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.200000,true,false,0.000000,11,2016-03-18,2021-12-07,1.8331998228,1.3114444981,0.3978478124,1.6127161327,0.1367157466
3,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.300000,true,false,0.000000,11,2016-03-18,2021-12-07,1.8199863518,1.3114444981,0.3877723033,1.6127161327,0.1285224442
4,ret60_ret5_top3_riskoff0p5_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.500000,true,false,0.000000,11,2016-03-18,2021-12-07,1.7864514131,1.3114444981,0.3622013098,1.6127161327,0.1077283701
5,ret60_top3_riskoff0p3_riskctrl1_mscore0,ret60,ret60,3,0.300000,true,false,0.000000,11,2016-03-18,2021-12-07,1.7785378465,1.3114444981,0.3561670730,1.6127161327,0.1028213896
6,ret60_top3_riskoff0p2_riskctrl1_mscore0,ret60,ret60,3,0.200000,true,false,0.000000,11,2016-03-18,2021-12-07,1.7760986249,1.3114444981,0.3543071227,1.6127161327,0.1013088968
7,ret60_top3_riskoff0p5_riskctrl1_mscore0,ret60,ret60,3,0.500000,true,false,0.000000,11,2016-03-18,2021-12-07,1.7755542398,1.3114444981,0.3538920193,1.6127161327,0.1009713389
8,ret60_top3_riskoff0_riskctrl1_mscore0,ret60,ret60,3,0.000000,true,false,0.000000,11,2016-03-18,2021-12-07,1.7634281446,1.3114444981,0.3446456538,1.6127161327,0.0934522876
9,ret60_top3_riskoff0_riskctrl0_mscore0,ret60,ret60,3,0.000000,false,false,0.000000,11,2016-03-18,2021-12-07,1.7229041662,1.3114444981,0.3137453919,1.6127161327,0.0683245063
10,ret60_top3_riskoff0p2_riskctrl0_mscore0,ret60,ret60,3,0.200000,false,false,0.000000,11,2016-03-18,2021-12-07,1.7229041662,1.3114444981,0.3137453919,1.6127161327,0.0683245063
11,ret60_top3_riskoff0p3_riskctrl0_mscore0,ret60,ret60,3,0.300000,false,false,0.000000,11,2016-03-18,2021-12-07,1.7229041662,1.3114444981,0.3137453919,1.6127161327,0.0683245063
12,ret60_top3_riskoff0p5_riskctrl0_mscore0,ret60,ret60,3,0.500000,false,false,0.000000,11,2016-03-18,2021-12-07,1.7229041662,1.3114444981,0.3137453919,1.6127161327,0.0683245063
13,ret60_top3_riskoff0p5_riskctrl1_mscore1,ret60,ret60,3,0.500000,true,true,0.000000,11,2016-03-18,2021-12-07,1.6942423373,1.3114444981,0.2918902322,1.6127161327,0.0505521108
14,ret60_ret5_top3_riskoff0p5_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.500000,true,true,0.000000,11,2016-03-18,2021-12-07,1.6779589854,1.3114444981,0.2794738838,1.6127161327,0.0404552614
15,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.300000,true,true,0.000000,11,2016-03-18,2021-12-07,1.6652198483,1.3114444981,0.2697600628,1.6127161327,0.0325560801
16,ret60_ret5_top3_riskoff0_riskctrl0_mscore0,ret60_ret5,ret60;ret5,3,0.000000,false,false,0.000000,11,2016-03-18,2021-12-07,1.6645063965,1.3114444981,0.2692160429,1.6127161327,0.0321136886
17,ret60_ret5_top3_riskoff0p2_riskctrl0_mscore0,ret60_ret5,ret60;ret5,3,0.200000,false,false,0.000000,11,2016-03-18,2021-12-07,1.6645063965,1.3114444981,0.2692160429,1.6127161327,0.0321136886
18,ret60_ret5_top3_riskoff0p3_riskctrl0_mscore0,ret60_ret5,ret60;ret5,3,0.300000,false,false,0.000000,11,2016-03-18,2021-12-07,1.6645063965,1.3114444981,0.2692160429,1.6127161327,0.0321136886
19,ret60_ret5_top3_riskoff0p5_riskctrl0_mscore0,ret60_ret5,ret60;ret5,3,0.500000,false,false,0.000000,11,2016-03-18,2021-12-07,1.6645063965,1.3114444981,0.2692160429,1.6127161327,0.0321136886
20,ret60_top3_riskoff0p3_riskctrl1_mscore1,ret60,ret60,3,0.300000,true,true,0.000000,11,2016-03-18,2021-12-07,1.6639566372,1.3114444981,0.2687968416,1.6127161327,0.0317727984
21,ret60_ret5_top3_riskoff0p2_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.200000,true,true,0.000000,11,2016-03-18,2021-12-07,1.6550512596,1.3114444981,0.2620063312,1.6127161327,0.0262508237
22,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,ret60_ret120,ret60;ret120,8,0.000000,false,false,0.000000,11,2016-03-18,2021-12-07,1.6527225277,1.3114444981,0.2602306312,1.6127161327,0.0248068424
23,ret60_ret120_top8_riskoff0p2_riskctrl0_mscore0,ret60_ret120,ret60;ret120,8,0.200000,false,false,0.000000,11,2016-03-18,2021-12-07,1.6527225277,1.3114444981,0.2602306312,1.6127161327,0.0248068424
24,ret60_ret120_top8_riskoff0p3_riskctrl0_mscore0,ret60_ret120,ret60;ret120,8,0.300000,false,false,0.000000,11,2016-03-18,2021-12-07,1.6527225277,1.3114444981,0.2602306312,1.6127161327,0.0248068424
25,ret60_ret120_top8_riskoff0p5_riskctrl0_mscore0,ret60_ret120,ret60;ret120,8,0.500000,false,false,0.000000,11,2016-03-18,2021-12-07,1.6527225277,1.3114444981,0.2602306312,1.6127161327,0.0248068424
26,ret60_ret120_ret5_top5_riskoff0_riskctrl0_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,5,0.000000,false,false,0.000000,11,2016-03-18,2021-12-07,1.6474354019,1.3114444981,0.2561991028,1.6127161327,0.0215284442
27,ret60_ret120_ret5_top5_riskoff0p2_riskctrl0_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,5,0.200000,false,false,0.000000,11,2016-03-18,2021-12-07,1.6474354019,1.3114444981,0.2561991028,1.6127161327,0.0215284442
