date,signal_date,end_date,trading_days,calendar_days,strategy_return,benchmark_return,industry_equal_weight_return,excess_vs_benchmark,excess_vs_equal_weight,exposure,turnover,cost,risk_on,market_trend,market_score,market_score_ok,selected_industries
2014-08-15,2014-08-14,2014-09-12,19,28,0.1072284237,0.0329232750,0.0772096951,0.0743051486,0.0300187286,1.0000000000,1.0000000000,0.0010000000,true,true,,true,有色金属;钢铁;国防军工
2014-09-15,2014-09-12,2014-10-20,19,35,0.0231160850,0.0071886066,0.0220024429,0.0159274785,0.0011136421,1.0000000000,0.0000000000,0.0000000000,true,true,,true,国防军工;钢铁;有色金属
2014-10-21,2014-10-20,2014-11-17,19,27,-0.0043128093,0.0549480355,0.0285661716,-0.0592608448,-0.0328789809,1.0000000000,1.3333333333,0.0013333333,true,true,,true,国防军工;综合;纺织服装
2014-11-18,2014-11-17,2014-12-15,19,27,0.2347729325,0.2659182662,0.1523363806,-0.0311453337,0.0824365519,1.0000000000,1.3333333333,0.0013333333,true,true,,true,国防军工;交通运输;建筑装饰
2014-12-16,2014-12-15,2015-01-14,19,29,0.0546267720,0.0602470182,-0.0142978186,-0.0056202462,0.0689245906,1.0000000000,1.3333333333,0.0013333333,true,true,,true,非银金融;银行;交通运输
2015-01-15,2015-01-14,2015-02-11,19,27,-0.0440218633,-0.0471682408,0.0205219143,0.0031463775,-0.0645437775,1.0000000000,1.3333333333,0.0013333333,true,true,,true,非银金融;建筑装饰;公用事业
2015-02-12,2015-02-11,2015-03-18,19,34,0.1606650954,0.1171057867,0.1747249422,0.0435593086,-0.0140598468,1.0000000000,0.6666666667,0.0006666667,true,true,,true,非银金融;钢铁;建筑装饰
2015-03-19,2015-03-18,2015-04-16,19,28,0.1421617205,0.1754832358,0.1627823216,-0.0333215154,-0.0206206012,1.0000000000,2.0000000000,0.0020000000,true,true,,true,计算机;传媒;纺织服装
2015-04-17,2015-04-16,2015-05-15,19,28,0.2035275978,0.0046408508,0.0966523317,0.1988867470,0.1068752661,1.0000000000,0.6666666667,0.0006666667,true,true,,true,计算机;纺织服装;轻工制造
2015-05-18,2015-05-15,2015-06-12,19,25,0.2006275037,0.1661107638,0.2674015401,0.0345167399,-0.0667740364,1.0000000000,1.3333333333,0.0013333333,true,true,,true,计算机;建筑装饰;机械设备
2015-06-15,2015-06-12,2015-07-13,19,28,-0.3616649806,-0.1933206542,-0.3014393135,-0.1683443264,-0.0602256671,1.0000000000,0.6666666667,0.0006666667,true,true,,true,机械设备;计算机;通信
2015-07-14,2015-07-13,2015-08-11,19,28,0.0000000000,-0.0110599078,0.0647850975,0.0110599078,-0.0647850975,0,1.0000000000,0.0010000000,false,false,,true,
2015-08-12,2015-08-11,2015-09-11,19,30,0.0000000000,-0.1665633334,-0.1983908051,0.1665633334,0.1983908051,0,0,0.0000000000,false,false,,true,
2015-09-14,2015-09-11,2015-10-16,19,32,0.0000000000,0.0770892955,0.1381972665,-0.0770892955,-0.1381972665,0,0,0.0000000000,false,false,,true,
2015-10-19,2015-10-16,2015-11-13,19,25,0.0000000000,0.0600026031,0.0786956684,-0.0600026031,-0.0786956684,0,0,0.0000000000,false,false,,true,
2015-11-16,2015-11-13,2015-12-11,19,25,0.0000000000,-0.0414624362,-0.0339690545,0.0414624362,0.0339690545,0,0,0.0000000000,false,false,,true,
2015-12-14,2015-12-11,2016-01-11,19,28,0.0000000000,-0.1398074001,-0.1548307016,0.1398074001,0.1548307016,0,0,0.0000000000,false,false,,true,
2016-01-12,2016-01-11,2016-02-15,19,34,0.0000000000,-0.0836518218,-0.0748837438,0.0836518218,0.0748837438,0,0,0.0000000000,false,false,,true,
2016-02-16,2016-02-15,2016-03-14,19,27,0.0000000000,0.0094335274,-0.0205138138,-0.0094335274,0.0205138138,0,0,0.0000000000,false,false,,true,
