industry,selected_count,selected_share,risk_on_count,risk_off_count,average_selected_weight
食品饮料,18,0.2022471910,18,0,0.3333333333
家用电器,12,0.1348314607,12,0,0.3333333333
电子,11,0.1235955056,11,0,0.3333333333
钢铁,11,0.1235955056,11,0,0.3333333333
国防军工,10,0.1123595506,10,0,0.3333333333
有色金属,10,0.1123595506,10,0,0.3333333333
非银金融,10,0.1123595506,10,0,0.3333333333
休闲服务,8,0.0898876404,8,0,0.3333333333
建筑材料,8,0.0898876404,8,0,0.3333333333
建筑装饰,8,0.0898876404,8,0,0.3333333333
医药生物,6,0.0674157303,6,0,0.3333333333
电气设备,6,0.0674157303,6,0,0.3333333333
综合,6,0.0674157303,6,0,0.3333333333
计算机,6,0.0674157303,6,0,0.3333333333
农林牧渔,3,0.0337078652,3,0,0.3333333333
房地产,3,0.0337078652,3,0,0.3333333333
汽车,3,0.0337078652,3,0,0.3333333333
纺织服装,3,0.0337078652,3,0,0.3333333333
通信,3,0.0337078652,3,0,0.3333333333
银行,3,0.0337078652,3,0,0.3333333333
交通运输,2,0.0224719101,2,0,0.3333333333
传媒,2,0.0224719101,2,0,0.3333333333
公用事业,2,0.0224719101,2,0,0.3333333333
机械设备,2,0.0224719101,2,0,0.3333333333
商业贸易,1,0.0112359551,1,0,0.3333333333
轻工制造,1,0.0112359551,1,0,0.3333333333
采掘,1,0.0112359551,1,0,0.3333333333
