date,signal_date,selected_industries,holdings,exposure,turnover,cost,market_trend,market_score,market_score_ok,risk_on
2014-08-15,2014-08-14,有色金属;钢铁;国防军工,有色金属:0.3333;钢铁:0.3333;国防军工:0.3333,1.000000,1.000000,0.00100000,true,,true,true
2014-09-15,2014-09-12,国防军工;钢铁;有色金属,国防军工:0.3333;钢铁:0.3333;有色金属:0.3333,1.000000,0.000000,0.00000000,true,,true,true
2014-10-21,2014-10-20,国防军工;综合;纺织服装,国防军工:0.3333;综合:0.3333;纺织服装:0.3333,1.000000,1.333333,0.00133333,true,,true,true
2014-11-18,2014-11-17,国防军工;交通运输;建筑装饰,国防军工:0.3333;交通运输:0.3333;建筑装饰:0.3333,1.000000,1.333333,0.00133333,true,,true,true
2014-12-16,2014-12-15,非银金融;银行;交通运输,非银金融:0.3333;银行:0.3333;交通运输:0.3333,1.000000,1.333333,0.00133333,true,,true,true
2015-01-15,2015-01-14,非银金融;建筑装饰;公用事业,非银金融:0.3333;建筑装饰:0.3333;公用事业:0.3333,1.000000,1.333333,0.00133333,true,,true,true
2015-02-12,2015-02-11,非银金融;钢铁;建筑装饰,非银金融:0.3333;钢铁:0.3333;建筑装饰:0.3333,1.000000,0.666667,0.00066667,true,,true,true
2015-03-19,2015-03-18,计算机;传媒;纺织服装,计算机:0.3333;传媒:0.3333;纺织服装:0.3333,1.000000,2.000000,0.00200000,true,,true,true
2015-04-17,2015-04-16,计算机;纺织服装;轻工制造,计算机:0.3333;纺织服装:0.3333;轻工制造:0.3333,1.000000,0.666667,0.00066667,true,,true,true
2015-05-18,2015-05-15,计算机;建筑装饰;机械设备,计算机:0.3333;建筑装饰:0.3333;机械设备:0.3333,1.000000,1.333333,0.00133333,true,,true,true
2015-06-15,2015-06-12,机械设备;计算机;通信,机械设备:0.3333;计算机:0.3333;通信:0.3333,1.000000,0.666667,0.00066667,true,,true,true
2015-07-14,2015-07-13,,,0.000000,1.000000,0.00100000,false,,true,false
2015-08-12,2015-08-11,,,0.000000,0.000000,0.00000000,false,,true,false
2015-09-14,2015-09-11,,,0.000000,0.000000,0.00000000,false,,true,false
2015-10-19,2015-10-16,,,0.000000,0.000000,0.00000000,false,,true,false
2015-11-16,2015-11-13,,,0.000000,0.000000,0.00000000,false,,true,false
2015-12-14,2015-12-11,,,0.000000,0.000000,0.00000000,false,,true,false
2016-01-12,2016-01-11,,,0.000000,0.000000,0.00000000,false,,true,false
2016-02-16,2016-02-15,,,0.000000,0.000000,0.00000000,false,,true,false
2016-03-15,2016-03-14,,,0.000000,0.000000,0.00000000,false,,true,false
2016-04-13,2016-04-12,,,0.000000,0.000000,0.00000000,false,,true,false
2016-05-16,2016-05-13,,,0.000000,0.000000,0.00000000,false,,true,false
2016-06-15,2016-06-14,,,0.000000,0.000000,0.00000000,false,,true,false
2016-07-14,2016-07-13,食品饮料;国防军工;电子,食品饮料:0.3333;国防军工:0.3333;电子:0.3333,1.000000,1.000000,0.00100000,true,,true,true
2016-08-11,2016-08-10,通信;国防军工;有色金属,通信:0.3333;国防军工:0.3333;有色金属:0.3333,1.000000,1.333333,0.00133333,true,,true,true
2016-09-08,2016-09-07,综合;医药生物;建筑材料,综合:0.3333;医药生物:0.3333;建筑材料:0.3333,1.000000,2.000000,0.00200000,true,,true,true
2016-10-17,2016-10-14,建筑材料;房地产;综合,建筑材料:0.3333;房地产:0.3333;综合:0.3333,1.000000,0.666667,0.00066667,true,,true,true
2016-11-14,2016-11-11,建筑材料;建筑装饰;综合,建筑材料:0.3333;建筑装饰:0.3333;综合:0.3333,1.000000,0.666667,0.00066667,true,,true,true
2016-12-12,2016-12-09,建筑装饰;家用电器;钢铁,建筑装饰:0.3333;家用电器:0.3333;钢铁:0.3333,1.000000,1.333333,0.00133333,true,,true,true
2017-01-10,2017-01-09,建筑装饰;建筑材料;商业贸易,建筑装饰:0.3333;建筑材料:0.3333;商业贸易:0.3333,1.000000,1.333333,0.00133333,true,,true,true
2017-02-14,2017-02-13,国防军工;钢铁;家用电器,国防军工:0.3333;钢铁:0.3333;家用电器:0.3333,1.000000,2.000000,0.00200000,true,,true,true
2017-03-14,2017-03-13,国防军工;钢铁;建筑材料,国防军工:0.3333;钢铁:0.3333;建筑材料:0.3333,1.000000,0.666667,0.00066667,true,,true,true
2017-04-14,2017-04-13,家用电器;建筑材料;建筑装饰,家用电器:0.3333;建筑材料:0.3333;建筑装饰:0.3333,1.000000,1.333333,0.00133333,true,,true,true
2017-05-15,2017-05-12,,,0.000000,1.000000,0.00100000,false,,true,false
2017-06-14,2017-06-13,非银金融;公用事业;家用电器,非银金融:0.3333;公用事业:0.3333;家用电器:0.3333,1.000000,1.000000,0.00100000,true,,true,true
2017-07-12,2017-07-11,家用电器;非银金融;食品饮料,家用电器:0.3333;非银金融:0.3333;食品饮料:0.3333,1.000000,0.666667,0.00066667,true,,true,true
2017-08-10,2017-08-09,有色金属;钢铁;非银金融,有色金属:0.3333;钢铁:0.3333;非银金融:0.3333,1.000000,1.333333,0.00133333,true,,true,true
2017-09-07,2017-09-06,有色金属;钢铁;非银金融,有色金属:0.3333;钢铁:0.3333;非银金融:0.3333,1.000000,0.000000,0.00000000,true,,true,true
2017-10-12,2017-10-11,有色金属;食品饮料;钢铁,有色金属:0.3333;食品饮料:0.3333;钢铁:0.3333,1.000000,0.666667,0.00066667,true,,true,true
2017-11-09,2017-11-08,电子;食品饮料;家用电器,电子:0.3333;食品饮料:0.3333;家用电器:0.3333,1.000000,1.333333,0.00133333,true,,true,true
2017-12-07,2017-12-06,食品饮料;家用电器;房地产,食品饮料:0.3333;家用电器:0.3333;房地产:0.3333,1.000000,0.666667,0.00066667,true,,true,true
2018-01-05,2018-01-04,家用电器;食品饮料;非银金融,家用电器:0.3333;食品饮料:0.3333;非银金融:0.3333,1.000000,0.666667,0.00066667,true,,true,true
2018-02-02,2018-02-01,房地产;家用电器;银行,房地产:0.3333;家用电器:0.3333;银行:0.3333,1.000000,1.333333,0.00133333,true,,true,true
2018-03-09,2018-03-08,钢铁;休闲服务;食品饮料,钢铁:0.3333;休闲服务:0.3333;食品饮料:0.3333,1.000000,2.000000,0.00200000,true,,true,true
2018-04-10,2018-04-09,,,0.000000,1.000000,0.00100000,false,,true,false
2018-05-10,2018-05-09,,,0.000000,0.000000,0.00000000,false,,true,false
2018-06-07,2018-06-06,,,0.000000,0.000000,0.00000000,false,,true,false
2018-07-06,2018-07-05,,,0.000000,0.000000,0.00000000,false,,true,false
2018-08-03,2018-08-02,,,0.000000,0.000000,0.00000000,false,,true,false
