section,name,value
summary,folds,11
summary,selection_metric,composite
summary,first_train_start,2014-02-21
summary,last_test_end,2021-12-07
test_mean,final_equity,1.0200876895
test_median,final_equity,1.0182946776
test_std,final_equity,0.1284150689
train_mean,final_equity,1.3848395995
train_median,final_equity,1.2436221136
train_std,final_equity,0.3349988635
test_mean,annualized_return,0.0578046324
test_median,annualized_return,0.0372248740
test_std,annualized_return,0.2682762485
bootstrap_ci_lower,annualized_return,-0.0944428321
bootstrap_ci_upper,annualized_return,0.2244541012
bootstrap_p_positive,annualized_return,0.7617000000
train_mean,annualized_return,0.1687654618
train_median,annualized_return,0.1154197799
train_std,annualized_return,0.1407223687
test_mean,max_drawdown,-0.1224668762
test_median,max_drawdown,-0.0996915930
test_std,max_drawdown,0.0659035994
train_mean,max_drawdown,-0.2416145297
train_median,max_drawdown,-0.1630738389
train_std,max_drawdown,0.1260164973
test_mean,sharpe_ratio,0.2094927482
test_median,sharpe_ratio,0.3062178447
test_std,sharpe_ratio,1.0784246571
train_mean,sharpe_ratio,0.7620539513
train_median,sharpe_ratio,0.6583806780
train_std,sharpe_ratio,0.4789603143
test_mean,calmar_ratio,0.9075246307
test_median,calmar_ratio,0.4053376274
test_std,calmar_ratio,2.6573950063
train_mean,calmar_ratio,0.7334909690
train_median,calmar_ratio,0.6365511708
train_std,calmar_ratio,0.6544917577
test_mean,monthly_win_rate,0.3538961039
test_median,monthly_win_rate,0.4285714286
test_std,monthly_win_rate,0.2213157156
train_mean,monthly_win_rate,0.4400000000
train_median,monthly_win_rate,0.3846153846
train_std,monthly_win_rate,0.1388603425
test_mean,max_consecutive_losing_months,1.9090909091
test_median,max_consecutive_losing_months,2.0000000000
test_std,max_consecutive_losing_months,1.3111095547
train_mean,max_consecutive_losing_months,2.2727272727
train_median,max_consecutive_losing_months,2.0000000000
train_std,max_consecutive_losing_months,0.4453617714
test_mean,average_turnover,0.7479437229
test_median,average_turnover,0.7916666667
test_std,average_turnover,0.2565444073
train_mean,average_turnover,0.6440093240
train_median,average_turnover,0.6533333333
train_std,average_turnover,0.1955985183
test_mean,total_transaction_cost,0.0047560606
test_median,total_transaction_cost,0.0047500000
test_std,total_transaction_cost,0.0018304974
train_mean,total_transaction_cost,0.0160378788
train_median,total_transaction_cost,0.0163333333
train_std,total_transaction_cost,0.0052256559
test_mean,equal_weight_final_equity,1.0339340504
test_median,equal_weight_final_equity,1.0357675025
test_std,equal_weight_final_equity,0.1327995059
train_mean,equal_weight_final_equity,1.1427096166
train_median,equal_weight_final_equity,1.0912958564
train_std,equal_weight_final_equity,0.2993634789
test_mean,excess_return_vs_equal_weight,-0.0078524473
test_median,excess_return_vs_equal_weight,0.0260745616
test_std,excess_return_vs_equal_weight,0.0935300737
train_mean,excess_return_vs_equal_weight,0.2277389166
train_median,excess_return_vs_equal_weight,0.1887459388
train_std,excess_return_vs_equal_weight,0.1414310242
test_mean,benchmark_final_equity,1.0511168512
test_median,benchmark_final_equity,1.0727728984
test_std,benchmark_final_equity,0.1183200299
train_mean,benchmark_final_equity,1.2032091144
train_median,benchmark_final_equity,1.1511012529
train_std,benchmark_final_equity,0.1924427093
test_mean,excess_return_vs_benchmark,-0.0255513056
test_median,excess_return_vs_benchmark,-0.0148347497
test_std,excess_return_vs_benchmark,0.1026601629
train_mean,excess_return_vs_benchmark,0.1432412548
train_median,excess_return_vs_benchmark,0.1169387019
train_std,excess_return_vs_benchmark,0.1554419468
selection_count,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,2
selection_count,ret60_top3_riskoff0_riskctrl1_mscore0,2
selection_count,rel_ret60_ret5_top3_riskoff0_riskctrl1_mscore1,1
selection_count,ret60_ret120_ret5_top3_riskoff0_riskctrl0_mscore0,1
selection_count,ret60_ret120_ret5_top3_riskoff0_riskctrl1_mscore0,1
selection_count,ret60_ret120_ret5_top3_riskoff0p3_riskctrl1_mscore0,1
selection_count,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1
selection_count,ret60_ret5_top3_riskoff0p5_riskctrl1_mscore0,1
selection_count,ret60_top8_riskoff0_riskctrl1_mscore0,1
