date,fold,selected_name,strategy,equal_weight,benchmark
2016-03-18,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0000000000,1.0000000000
2016-03-21,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0250196491,1.0244265375
2016-03-22,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0218743809,1.0169705797
2016-03-23,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0290982117,1.0202177833
2016-03-24,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0137153251,1.0031179460
2016-03-25,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0208299498,1.0081526879
2016-03-28,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0151462742,0.9992969647
2016-03-29,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,0.9973091332,0.9884771561
2016-03-30,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0293019545,1.0139724334
2016-03-31,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0320191380,1.0145430586
2016-04-01,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0295993781,1.0157410560
2016-04-05,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0524903237,1.0291712380
2016-04-06,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0552290260,1.0269770111
2016-04-07,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0394547562,1.0117687487
2016-04-08,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0311689115,1.0043411645
2016-04-11,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0508624768,1.0183293610
2016-04-12,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0453481036,1.0146565530
2016-04-13,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0600551536,1.0281907716
2016-04-14,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0691383879,1.0327463146
2016-04-15,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0681532947,1.0316050644
2016-04-20,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0175859326,1.0028594308
2016-04-21,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0082857576,0.9964186181
2016-04-22,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0146140017,1.0009268717
2016-04-25,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0105502400,0.9968694435
2016-04-26,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0202821641,1.0022698899
2016-04-27,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0171126699,0.9980958146
2016-04-28,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0138968741,0.9964123129
2016-04-29,1,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,1.0000000000,1.0138917800,0.9952048576
