fold,rank_by_train,rank_by_test,selected_by_train,selection_metric,train_selection_score,test_selection_score,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,62,true,composite,-0.2635574767,0.2979777329,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,ret60_ret120,ret60;ret120,8,0.000000,false,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9771006171,-0.0115387626,-0.3955614568,0.0512698810,-0.0291705939,0.3846153846,3.0000000000,0.4375000000,0.0087500000,0.8013752896,0.2192796930,0.7088902278,0.3783524992,1.0170634862,0.0346982030,-0.1401858547,0.2721018340,0.2475157215,0.5714285714,2.0000000000,0.3750000000,0.0022500000,1.0047095454,0.0122960321,0.9538996614,0.0662164244
1,2,63,false,composite,-0.2635574767,0.2979777329,ret60_ret120_top8_riskoff0p2_riskctrl0_mscore0,ret60_ret120,ret60;ret120,8,0.200000,false,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9771006171,-0.0115387626,-0.3955614568,0.0512698810,-0.0291705939,0.3846153846,3.0000000000,0.4375000000,0.0087500000,0.8013752896,0.2192796930,0.7088902278,0.3783524992,1.0170634862,0.0346982030,-0.1401858547,0.2721018340,0.2475157215,0.5714285714,2.0000000000,0.3750000000,0.0022500000,1.0047095454,0.0122960321,0.9538996614,0.0662164244
1,3,64,false,composite,-0.2635574767,0.2979777329,ret60_ret120_top8_riskoff0p3_riskctrl0_mscore0,ret60_ret120,ret60;ret120,8,0.300000,false,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9771006171,-0.0115387626,-0.3955614568,0.0512698810,-0.0291705939,0.3846153846,3.0000000000,0.4375000000,0.0087500000,0.8013752896,0.2192796930,0.7088902278,0.3783524992,1.0170634862,0.0346982030,-0.1401858547,0.2721018340,0.2475157215,0.5714285714,2.0000000000,0.3750000000,0.0022500000,1.0047095454,0.0122960321,0.9538996614,0.0662164244
1,4,65,false,composite,-0.2635574767,0.2979777329,ret60_ret120_top8_riskoff0p5_riskctrl0_mscore0,ret60_ret120,ret60;ret120,8,0.500000,false,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9771006171,-0.0115387626,-0.3955614568,0.0512698810,-0.0291705939,0.3846153846,3.0000000000,0.4375000000,0.0087500000,0.8013752896,0.2192796930,0.7088902278,0.3783524992,1.0170634862,0.0346982030,-0.1401858547,0.2721018340,0.2475157215,0.5714285714,2.0000000000,0.3750000000,0.0022500000,1.0047095454,0.0122960321,0.9538996614,0.0662164244
1,5,131,false,composite,-0.2977062489,-1.5142438356,ret60_ret120_top8_riskoff0p5_riskctrl1_mscore0,ret60_ret120,ret60;ret120,8,0.500000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9623904806,-0.0190223565,-0.3002933225,-0.0490530859,-0.0633459191,0.3846153846,3.0000000000,0.3437500000,0.0068750000,0.8013752896,0.2009235787,0.7088902278,0.3576015621,0.9540095892,-0.0905510542,-0.1410128677,-0.5347878775,-0.6421474554,0.5714285714,2.0000000000,0.5833333333,0.0035000000,1.0047095454,-0.0504623017,0.9538996614,0.0001152404
1,6,104,false,composite,-0.2977062489,-0.7483999763,ret60_ret120_top8_riskoff0p5_riskctrl1_mscore1,ret60_ret120,ret60;ret120,8,0.500000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9623904806,-0.0190223565,-0.3002933225,-0.0490530859,-0.0633459191,0.3846153846,3.0000000000,0.3437500000,0.0068750000,0.8013752896,0.2009235787,0.7088902278,0.3576015621,0.9823895179,-0.0351851501,-0.1154596722,-0.1757768310,-0.3047397366,0.5714285714,2.0000000000,0.5208333333,0.0031250000,1.0047095454,-0.0222154031,0.9538996614,0.0298667225
1,7,78,false,composite,-0.3333036984,0.1125491502,ret60_top8_riskoff0_riskctrl0_mscore0,ret60,ret60,8,0.000000,false,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9631460950,-0.0186365625,-0.4035535864,0.0176895470,-0.0461811346,0.3846153846,3.0000000000,0.4125000000,0.0082500000,0.8013752896,0.2018664756,0.7088902278,0.3586674738,1.0107674070,0.0218258337,-0.1464781355,0.2081604484,0.1490040384,0.5714285714,2.0000000000,0.4166666667,0.0025000000,1.0047095454,0.0060294656,0.9538996614,0.0596160665
1,8,79,false,composite,-0.3333036984,0.1125491502,ret60_top8_riskoff0p2_riskctrl0_mscore0,ret60,ret60,8,0.200000,false,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9631460950,-0.0186365625,-0.4035535864,0.0176895470,-0.0461811346,0.3846153846,3.0000000000,0.4125000000,0.0082500000,0.8013752896,0.2018664756,0.7088902278,0.3586674738,1.0107674070,0.0218258337,-0.1464781355,0.2081604484,0.1490040384,0.5714285714,2.0000000000,0.4166666667,0.0025000000,1.0047095454,0.0060294656,0.9538996614,0.0596160665
1,9,80,false,composite,-0.3333036984,0.1125491502,ret60_top8_riskoff0p3_riskctrl0_mscore0,ret60,ret60,8,0.300000,false,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9631460950,-0.0186365625,-0.4035535864,0.0176895470,-0.0461811346,0.3846153846,3.0000000000,0.4125000000,0.0082500000,0.8013752896,0.2018664756,0.7088902278,0.3586674738,1.0107674070,0.0218258337,-0.1464781355,0.2081604484,0.1490040384,0.5714285714,2.0000000000,0.4166666667,0.0025000000,1.0047095454,0.0060294656,0.9538996614,0.0596160665
1,10,81,false,composite,-0.3333036984,0.1125491502,ret60_top8_riskoff0p5_riskctrl0_mscore0,ret60,ret60,8,0.500000,false,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9631460950,-0.0186365625,-0.4035535864,0.0176895470,-0.0461811346,0.3846153846,3.0000000000,0.4125000000,0.0082500000,0.8013752896,0.2018664756,0.7088902278,0.3586674738,1.0107674070,0.0218258337,-0.1464781355,0.2081604484,0.1490040384,0.5714285714,2.0000000000,0.4166666667,0.0025000000,1.0047095454,0.0060294656,0.9538996614,0.0596160665
