fold,test_rank,selection_metric,train_selection_score,test_selection_score,selected_name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,62,composite,-0.2635574767,0.2979777329,ret60_ret120_top8_riskoff0_riskctrl0_mscore0,ret60_ret120,ret60;ret120,8,0.000000,false,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9771006171,-0.0115387626,-0.3955614568,0.0512698810,-0.0291705939,0.3846153846,3.0000000000,0.4375000000,0.0087500000,0.8013752896,0.2192796930,0.7088902278,0.3783524992,1.0170634862,0.0346982030,-0.1401858547,0.2721018340,0.2475157215,0.5714285714,2.0000000000,0.3750000000,0.0022500000,1.0047095454,0.0122960321,0.9538996614,0.0662164244
2,29,composite,-0.4113868121,12.1062517143,ret60_top3_riskoff0_riskctrl0_mscore1,ret60,ret60,3,0.000000,false,true,0.000000,2010-07-13,2012-08-07,2012-08-08,2013-02-18,0.9780542183,-0.0110555770,-0.2787206275,0.0074106015,-0.0396654425,0.1923076923,4.0000000000,0.4320000000,0.0108000000,0.9706880006,0.0075886564,0.9067331160,0.0786572157,1.1214030449,0.2598523478,-0.0268441285,2.4544781485,9.6800440954,0.4285714286,0.0000000000,0.1500000000,0.0009000000,1.0823584792,0.0360735989,1.1454855866,-0.0210238715
3,175,composite,0.7146394647,-1.9486965690,ret60_top3_riskoff0_riskctrl0_mscore1,ret60,ret60,3,0.000000,false,true,0.000000,2011-01-18,2013-02-18,2013-02-19,2013-08-23,1.0864743694,0.0424267500,-0.1619550872,0.4130048982,0.2619661461,0.2307692308,4.0000000000,0.3120000000,0.0078000000,0.8490578385,0.2796235076,0.9193390761,0.1817994009,0.9580258739,-0.0828159097,-0.0815466247,-0.6792361156,-1.0155651439,0.0000000000,3.0000000000,0.5571428571,0.0039000000,0.9907841408,-0.0330629706,0.8515495548,0.1250383122
4,20,composite,1.6397620374,0.6527636380,ret60_ret120_top3_riskoff0_riskctrl0_mscore1,ret60_ret120,ret60;ret120,3,0.000000,false,true,0.000000,2011-07-26,2013-08-23,2013-08-26,2014-03-06,1.1404361575,0.0680515624,-0.0967716446,0.6813830326,0.7032180005,0.1923076923,2.0000000000,0.2769230769,0.0072000000,0.8024665868,0.4211634181,0.7680008866,0.4849411992,1.0216452762,0.0441167544,-0.0966962554,0.3639142247,0.4562405671,0.1250000000,2.0000000000,0.4000000000,0.0024000000,0.9925582557,0.0293051016,0.9306436835,0.0977834959
5,164,composite,1.5086600997,2.3269032664,ret60_ret120_top3_riskoff0p3_riskctrl0_mscore1,ret60_ret120,ret60;ret120,3,0.300000,false,true,0.000000,2012-02-06,2014-03-06,2014-03-07,2014-09-04,1.1862025133,0.0893141284,-0.0967716446,0.6889682090,0.9229369701,0.5000000000,3.0000000000,0.4640000000,0.0116000000,1.0691069061,0.1095265652,0.8679521786,0.3666680521,1.0439962835,0.0906793445,-0.0565432415,1.0144155421,1.6037167700,0.5714285714,2.0000000000,0.5666666667,0.0034000000,1.1510675988,-0.0930191376,1.1189193676,-0.0669602175
6,177,composite,1.6307472910,14.4258760467,ret60_ret120_top3_riskoff0p5_riskctrl0_mscore1,ret60_ret120,ret60;ret120,3,0.500000,false,true,0.000000,2012-08-08,2014-09-04,2014-09-05,2015-03-19,1.2275566198,0.1081773689,-0.1011340075,0.7927231298,1.0696438473,0.5384615385,5.0000000000,0.5253333333,0.0131333333,1.2265169569,0.0008476547,1.0152440173,0.2091247019,1.4197882316,1.0271352292,-0.0892923273,3.1414712229,11.5030625875,1.0000000000,0.0000000000,0.5000000000,0.0030000000,1.4260134025,-0.0043654365,1.5677143300,-0.0943578148
7,140,composite,4.2278396813,0.0869684213,ret60_ret120_top3_riskoff0p5_riskctrl1_mscore1,ret60_ret120,ret60;ret120,3,0.500000,true,true,0.000000,2013-02-19,2015-03-19,2015-03-20,2015-09-22,1.6325747605,0.2783451924,-0.0949726442,1.5421360562,2.9307933321,0.6923076923,5.0000000000,0.5520000000,0.0138000000,1.6525994114,-0.0121170628,1.4297459423,0.1418635383,1.0367582674,0.0754887072,-0.3821888649,0.3836500484,0.1975167623,0.4285714286,4.0000000000,0.7238095238,0.0050666667,0.9698911978,0.0689428564,0.8577957493,0.2086306888
8,189,composite,1.8762987104,-3.7719719262,ret60_top3_riskoff0_riskctrl0_mscore1,ret60,ret60,3,0.000000,false,true,0.000000,2013-08-26,2015-09-22,2015-09-23,2016-03-31,1.7628148355,0.3284587897,-0.3759321970,1.3959745130,0.8737181661,0.4230769231,2.0000000000,0.4800000000,0.0120000000,1.5988695814,0.1025382283,1.4296118375,0.2330723552,0.8258655901,-0.3200307191,-0.2372731053,-1.9041000306,-1.3487863222,0.1428571429,1.0000000000,0.3000000000,0.0018000000,1.0411984013,-0.2068124681,0.9862275247,-0.1626013578
9,177,composite,2.0513539184,-1.0439406048,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,5,0.000000,true,false,0.000000,2014-03-07,2016-03-31,2016-04-01,2016-10-13,1.8860356732,0.3741965627,-0.4139215860,1.5110316949,0.9040276599,0.3600000000,2.0000000000,0.3520000000,0.0088000000,1.6570101153,0.1382161496,1.4841124168,0.2708172588,0.9831008065,-0.0337763274,-0.0635237038,-0.2519253334,-0.5317121850,0.2857142857,1.0000000000,0.4333333333,0.0026000000,1.0784888878,-0.0884460493,1.0250660327,-0.0409390467
10,88,composite,1.8355229390,-1.2453806780,ret60_ret120_ret5_top5_riskoff0_riskctrl1_mscore0,ret60_ret120_ret5,ret60;ret120;ret5,5,0.000000,true,false,0.000000,2014-09-05,2016-10-13,2016-10-14,2017-04-20,1.7911961125,0.3391314272,-0.4139215860,1.3687457360,0.8193132195,0.4230769231,2.0000000000,0.4160000000,0.0104000000,1.5369987063,0.1653855694,1.3484276884,0.3283590421,0.9765258812,-0.0467595650,-0.0814143377,-0.3452996641,-0.5743406667,0.5714285714,2.0000000000,0.8571428571,0.0060000000,1.0067695353,-0.0300402953,1.0470983257,-0.0673981065
