rank_by_oos_final_equity,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,folds,first_test_start,last_test_end,oos_final_equity,equal_weight_final_equity,oos_excess_vs_equal_weight,benchmark_final_equity,oos_excess_vs_benchmark
1,ret60_ret5_consistency_top3_riskoff0p5_riskctrl1_mscore0,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.500000,true,false,0.000000,27,2012-02-06,2026-03-05,2.5073269174,2.4637303664,0.0176953418,1.7303402141,0.4490369564
2,ret60_ret5_consistency_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.300000,true,false,0.000000,27,2012-02-06,2026-03-05,2.4382013895,2.4637303664,-0.0103619200,1.7303402141,0.4090878601
3,ret60_ret5_consistency_top3_riskoff0p2_riskctrl1_mscore0,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.200000,true,false,0.000000,27,2012-02-06,2026-03-05,2.3900370096,2.4637303664,-0.0299112914,1.7303402141,0.3812526520
4,ret60_ret5_consistency_top3_riskoff0p5_riskctrl1_mscore1,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.500000,true,true,0.000000,27,2012-02-06,2026-03-05,2.3641466867,2.4637303664,-0.0404198775,1.7303402141,0.3662900899
5,ret60_ret5_consistency_top3_riskoff0_riskctrl1_mscore0,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.000000,true,false,0.000000,27,2012-02-06,2026-03-05,2.2693832788,2.4637303664,-0.0788832618,1.7303402141,0.3115243236
6,ret60_ret5_consistency_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,2.2279368552,2.4637303664,-0.0957058915,1.7303402141,0.2875715637
7,ret60_ret5_top3_riskoff0p5_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.500000,true,false,0.000000,27,2012-02-06,2026-03-05,2.2082910621,2.4637303664,-0.1036798944,1.7303402141,0.2762178467
8,ret60_ret5_consistency_top3_riskoff0p2_riskctrl1_mscore1,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.200000,true,true,0.000000,27,2012-02-06,2026-03-05,2.1488574561,2.4637303664,-0.1278033159,1.7303402141,0.2418699159
9,ret60_ret5_top3_riskoff0p5_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.500000,true,true,0.000000,27,2012-02-06,2026-03-05,2.1346543791,2.4637303664,-0.1335681825,1.7303402141,0.2336616590
10,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.300000,true,false,0.000000,27,2012-02-06,2026-03-05,2.1285276701,2.4637303664,-0.1360549437,1.7303402141,0.2301209050
11,ret60_ret5_top3_riskoff0p2_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.200000,true,false,0.000000,27,2012-02-06,2026-03-05,2.0770605527,2.4637303664,-0.1569448585,1.7303402141,0.2003769754
12,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.300000,true,true,0.000000,27,2012-02-06,2026-03-05,2.0187093023,2.4637303664,-0.1806289642,1.7303402141,0.1666545607
13,ret60_ret5_consistency_top3_riskoff0_riskctrl1_mscore1,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.000000,true,true,0.000000,27,2012-02-06,2026-03-05,1.9734219172,2.4637303664,-0.1990105962,1.7303402141,0.1404820284
14,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,27,2012-02-06,2026-03-05,1.9540105482,2.4637303664,-0.2068894491,1.7303402141,0.1292637900
15,ret60_ret5_top3_riskoff0p2_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.200000,true,true,0.000000,27,2012-02-06,2026-03-05,1.9501923522,2.4637303664,-0.2084392112,1.7303402141,0.1270571742
16,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.000000,true,true,0.000000,27,2012-02-06,2026-03-05,1.7962531120,2.4637303664,-0.2709213896,1.7303402141,0.0380924499
