fold,rank_by_train,rank_by_test,selected_by_train,selection_metric,train_selection_score,test_selection_score,name,factor_set,enabled_factors,top_k,risk_off_exposure,risk_control,market_score_control,market_score_threshold,train_start,train_end,test_start,test_end,train_final_equity,train_annualized_return,train_max_drawdown,train_sharpe_ratio,train_calmar_ratio,train_monthly_win_rate,train_max_consecutive_losing_months,train_average_turnover,train_total_transaction_cost,train_equal_weight_final_equity,train_excess_return_vs_equal_weight,train_benchmark_final_equity,train_excess_return_vs_benchmark,test_final_equity,test_annualized_return,test_max_drawdown,test_sharpe_ratio,test_calmar_ratio,test_monthly_win_rate,test_max_consecutive_losing_months,test_average_turnover,test_total_transaction_cost,test_equal_weight_final_equity,test_excess_return_vs_equal_weight,test_benchmark_final_equity,test_excess_return_vs_benchmark
1,1,10,true,composite,-0.5977030040,-1.5351633208,ret60_ret5_top3_riskoff0p5_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.500000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9294950686,-0.0359668205,-0.2670761240,-0.1737496299,-0.1346687976,0.3846153846,3.0000000000,0.7283333333,0.0145666667,0.8013752896,0.1598748809,0.7088902278,0.3111974635,0.9578491328,-0.0831569979,-0.1288195841,-0.4863944908,-0.6455307123,0.5714285714,2.0000000000,0.9111111111,0.0054666667,1.0047095454,-0.0466407558,0.9538996614,0.0041403426
1,2,5,false,composite,-0.5977030040,-0.7537124372,ret60_ret5_top3_riskoff0p5_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.500000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9294950686,-0.0359668205,-0.2670761240,-0.1737496299,-0.1346687976,0.3846153846,3.0000000000,0.7283333333,0.0145666667,0.8013752896,0.1598748809,0.7088902278,0.3111974635,0.9851067987,-0.0297975527,-0.1040282637,-0.1381806732,-0.2864370854,0.5714285714,2.0000000000,0.8222222222,0.0049333333,1.0047095454,-0.0195108594,0.9538996614,0.0327153249
1,3,14,false,composite,-0.6158361617,-2.2296567269,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.300000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9256673779,-0.0379577743,-0.2293936200,-0.2248209680,-0.1654700524,0.3846153846,3.0000000000,0.6050000000,0.0121000000,0.8013752896,0.1550984787,0.7088902278,0.3057979100,0.9365948815,-0.1237089249,-0.1285415148,-0.8542487249,-0.9624044420,0.5714285714,2.0000000000,0.8666666667,0.0052000000,1.0047095454,-0.0677953785,0.9538996614,-0.0181410903
1,4,7,false,composite,-0.6158361617,-1.1173432895,ret60_ret5_top3_riskoff0p3_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.300000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9256673779,-0.0379577743,-0.2293936200,-0.2248209680,-0.1654700524,0.3846153846,3.0000000000,0.6050000000,0.0121000000,0.8013752896,0.1550984787,0.7088902278,0.3057979100,0.9766975953,-0.0464216138,-0.0912277830,-0.3060476214,-0.5088539068,0.5714285714,2.0000000000,0.7333333333,0.0044000000,1.0047095454,-0.0278806450,0.9538996614,0.0238997190
1,5,15,false,composite,-0.6313879256,-2.5818914209,ret60_ret5_top3_riskoff0p2_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.200000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9230309067,-0.0393315117,-0.2102773121,-0.2500399132,-0.1870459124,0.3846153846,3.0000000000,0.5433333333,0.0108666667,0.8013752896,0.1518085454,0.7088902278,0.3020787570,0.9260018375,-0.1435747038,-0.1284963003,-1.0466002011,-1.1173450405,0.5714285714,2.0000000000,0.8444444444,0.0050666667,1.0047095454,-0.0783387679,0.9538996614,-0.0292460779
1,6,9,false,composite,-0.6313879256,-1.3232154043,ret60_ret5_top3_riskoff0p2_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.200000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9230309067,-0.0393315117,-0.2102773121,-0.2500399132,-0.1870459124,0.3846153846,3.0000000000,0.5433333333,0.0108666667,0.8013752896,0.1518085454,0.7088902278,0.3020787570,0.9723298772,-0.0549989751,-0.0867289635,-0.3978886016,-0.6341477275,0.5714285714,2.0000000000,0.6888888889,0.0041333333,1.0047095454,-0.0322278895,0.9538996614,0.0193209166
1,7,16,false,composite,-0.6685614128,-3.2647801424,ret60_ret5_top3_riskoff0_riskctrl1_mscore0,ret60_ret5,ret60;ret5,3,0.000000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9163350634,-0.0428292180,-0.1940949964,-0.2922584085,-0.2206611131,0.0769230769,3.0000000000,0.4200000000,0.0084000000,0.8013752896,0.1434531053,0.7088902278,0.2926332279,0.9048928506,-0.1824772097,-0.1285939195,-1.4178184578,-1.4190189581,0.1428571429,2.0000000000,0.8000000000,0.0048000000,1.0047095454,-0.0993488071,0.9538996614,-0.0513752261
1,8,11,false,composite,-0.6685614128,-1.6021089480,ret60_ret5_top3_riskoff0_riskctrl1_mscore1,ret60_ret5,ret60;ret5,3,0.000000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9163350634,-0.0428292180,-0.1940949964,-0.2922584085,-0.2206611131,0.0769230769,3.0000000000,0.4200000000,0.0084000000,0.8013752896,0.1434531053,0.7088902278,0.2926332279,0.9632760210,-0.0726546237,-0.0986694940,-0.5758568187,-0.7363433293,0.1428571429,2.0000000000,0.6000000000,0.0036000000,1.0047095454,-0.0412393060,0.9538996614,0.0098295031
1,9,2,false,composite,-0.6937941075,0.2635393350,ret60_ret5_consistency_top3_riskoff0p5_riskctrl1_mscore0,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.500000,true,false,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9148644510,-0.0435991279,-0.2844768529,-0.2272578606,-0.1532607219,0.3461538462,3.0000000000,0.6816666667,0.0136333333,0.8013752896,0.1416179946,0.7088902278,0.2905587003,1.0133848042,0.0271672539,-0.0924235913,0.2533854822,0.2939428504,0.5714285714,2.0000000000,0.8000000000,0.0048000000,1.0047095454,0.0086345938,0.9538996614,0.0623599580
1,10,1,false,composite,-0.6937941075,0.5520062034,ret60_ret5_consistency_top3_riskoff0p5_riskctrl1_mscore1,ret60_ret5_consistency,ret60;ret5;consistency60,3,0.500000,true,true,0.000000,2010-01-04,2012-02-03,2012-02-06,2012-08-07,0.9148644510,-0.0435991279,-0.2844768529,-0.2272578606,-0.1532607219,0.3461538462,3.0000000000,0.6816666667,0.0136333333,0.8013752896,0.1416179946,0.7088902278,0.2905587003,1.0204184451,0.0415906038,-0.0924235913,0.3565724405,0.4499998673,0.5714285714,2.0000000000,0.7111111111,0.0042666667,1.0047095454,0.0156352647,0.9538996614,0.0697335228
